error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,180.0909948348999,-1.0,-1.0,-9999.0,-9999,1334.2493896484375,285.0,292.0,-9999.0,-9999.0,0,7,0,285.16,31.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,180.18200397491455,-1.0,-1.0,-9999.0,-9999,206.7376708984375,285.0,292.0,-9999.0,-9999.0,7,7,0,286.16,639.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,180.27299880981445,-1.0,-1.0,-9999.0,-9999,280.8835754394531,285.0,292.0,-9999.0,-9999.0,14,7,0,287.16,14.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,180.36399364471436,-1.0,-1.0,-9999.0,-9999,121.08346557617188,285.0,292.0,-9999.0,-9999.0,21,7,0,288.16,24.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,180.455002784729,-1.0,-1.0,-9999.0,-9999,916.7246704101562,285.0,292.0,-9999.0,-9999.0,28,7,0,289.16,16.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,180.5459976196289,-1.0,-1.0,-9999.0,-9999,469.53668212890625,285.0,292.0,-9999.0,-9999.0,35,7,0,290.16,597.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,180.63700675964355,-1.0,-1.0,-9999.0,-9999,171.65396118164062,285.0,292.0,-9999.0,-9999.0,42,7,0,291.16,13.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,180.72800159454346,-1.0,-1.0,-9999.0,-9999,211.46707153320312,285.0,292.0,-9999.0,-9999.0,49,7,0,285.16,32.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,180.81899642944336,-1.0,-1.0,-9999.0,-9999,177.1935272216797,285.0,292.0,-9999.0,-9999.0,56,7,0,286.16,28.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,180.910005569458,-1.0,-1.0,-9999.0,-9999,361.2601623535156,285.0,292.0,-9999.0,-9999.0,63,7,0,287.16,68.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.0010004043579,-1.0,-1.0,-9999.0,-9999,859.858154296875,285.0,292.0,-9999.0,-9999.0,70,7,0,288.16,24.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.0949993133545,-1.0,-1.0,-9999.0,-9999,453.8594665527344,285.0,292.0,-9999.0,-9999.0,77,7,0,289.16,27.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.1859941482544,-1.0,-1.0,-9999.0,-9999,159.82443237304688,285.0,292.0,-9999.0,-9999.0,84,7,0,290.16,0.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.27700328826904,-1.0,-1.0,-9999.0,-9999,615.0656127929688,285.0,292.0,-9999.0,-9999.0,91,7,0,291.16,27.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.36799812316895,-1.0,-1.0,-9999.0,-9999,129.20814514160156,285.0,292.0,-9999.0,-9999.0,98,7,0,285.16,45.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.45899295806885,-1.0,-1.0,-9999.0,-9999,164.97080993652344,285.0,292.0,-9999.0,-9999.0,105,7,0,286.16,5.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.5500020980835,-1.0,-1.0,-9999.0,-9999,307.43780517578125,285.0,292.0,-9999.0,-9999.0,112,7,0,287.16,185.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.6409969329834,-1.0,-1.0,-9999.0,-9999,151.6521453857422,285.0,292.0,-9999.0,-9999.0,119,7,0,288.16,0.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.73200607299805,-1.0,-1.0,-9999.0,-9999,1017.94873046875,285.0,292.0,-9999.0,-9999.0,126,7,0,289.16,9.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.82300090789795,-1.0,-1.0,-9999.0,-9999,613.0758666992188,285.0,292.0,-9999.0,-9999.0,133,7,0,290.16,13.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.91399574279785,-1.0,-1.0,-9999.0,-9999,186.84303283691406,285.0,292.0,-9999.0,-9999.0,140,7,0,291.16,23.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,182.0050048828125,-1.0,-1.0,-9999.0,-9999,317.4326171875,285.0,292.0,-9999.0,-9999.0,147,7,0,285.16,43.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,182.1000051498413,-1.0,-1.0,-9999.0,-9999,113.00645446777344,285.0,292.0,-9999.0,-9999.0,154,7,0,286.16,0.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,182.1909999847412,-1.0,-1.0,-9999.0,-9999,127.62373352050781,285.0,292.0,-9999.0,-9999.0,161,7,0,287.16,22.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,182.2819948196411,-1.0,-1.0,-9999.0,-9999,132.77012634277344,285.0,292.0,-9999.0,-9999.0,168,7,0,288.16,3.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,182.37300395965576,-1.0,-1.0,-9999.0,-9999,635.638916015625,285.0,292.0,-9999.0,-9999.0,175,7,0,289.16,20.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,182.46399879455566,-1.0,-1.0,-9999.0,-9999,408.6380310058594,285.0,292.0,-9999.0,-9999.0,182,7,0,290.16,22.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,182.55499362945557,-1.0,-1.0,-9999.0,-9999,114.96022033691406,285.0,292.0,-9999.0,-9999.0,189,7,0,291.16,10.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,182.64600276947021,-1.0,-1.0,-9999.0,-9999,125.20533752441406,285.0,292.0,-9999.0,-9999.0,196,7,0,285.16,41.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,182.73699760437012,-1.0,-1.0,-9999.0,-9999,990.56103515625,285.0,292.0,-9999.0,-9999.0,203,7,0,286.16,20.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,182.82800674438477,-1.0,-1.0,-9999.0,-9999,1953.5787353515625,285.0,292.0,-9999.0,-9999.0,210,7,0,287.16,12.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,182.91900157928467,-1.0,-1.0,-9999.0,-9999,2429.73876953125,285.0,292.0,-9999.0,-9999.0,217,7,0,288.16,6.0,,,,,,,,,,
