error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,126.07299327850342,-1.0,-1.0,-9999.0,-9999,178.64599609375,245.0,249.0,-9999.0,-9999.0,0,4,0,245.08,30.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,126.15099906921387,-1.0,-1.0,-9999.0,-9999,191.99798583984375,245.0,249.0,-9999.0,-9999.0,4,4,0,246.08,51.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,126.29399299621582,-1.0,-1.0,-9999.0,-9999,198.0488739013672,245.0,249.0,-9999.0,-9999.0,8,4,0,247.08,35.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,126.43700122833252,-1.0,-1.0,-9999.0,-9999,35.28092575073242,245.0,249.0,-9999.0,-9999.0,12,4,0,248.08,62.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,126.58400058746338,-1.0,-1.0,-9999.0,-9999,78.66178894042969,245.0,249.0,-9999.0,-9999.0,16,4,0,245.08,101.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,126.72699451446533,-1.0,-1.0,-9999.0,-9999,30.254531860351562,245.0,249.0,-9999.0,-9999.0,20,4,0,246.08,49.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,126.87000274658203,-1.0,-1.0,-9999.0,-9999,92.54077911376953,245.0,249.0,-9999.0,-9999.0,24,4,0,247.08,37.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,127.01299667358398,-1.0,-1.0,-9999.0,-9999,85.92953491210938,245.0,249.0,-9999.0,-9999.0,28,4,0,248.08,5.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,127.15600490570068,-1.0,-1.0,-9999.0,-9999,101.00872039794922,245.0,249.0,-9999.0,-9999.0,32,4,0,245.08,26.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,127.29899883270264,-1.0,-1.0,-9999.0,-9999,91.88427734375,245.0,249.0,-9999.0,-9999.0,36,4,0,246.08,16.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
