error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,138.10399532318115,-1.0,-1.0,-9999.0,-9999,839.5738525390625,344.0,352.0,-9999.0,-9999.0,0,8,0,344.21,40.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,138.20799350738525,-1.0,-1.0,-9999.0,-9999,1129.29052734375,344.0,352.0,-9999.0,-9999.0,8,8,0,345.21,44.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,138.3120059967041,-1.0,-1.0,-9999.0,-9999,1313.448974609375,344.0,352.0,-9999.0,-9999.0,16,8,0,346.21,565.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,138.41899394989014,-1.0,-1.0,-9999.0,-9999,186.96417236328125,344.0,352.0,-9999.0,-9999.0,24,8,0,347.21,33.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,138.52300643920898,-1.0,-1.0,-9999.0,-9999,168.4510955810547,344.0,352.0,-9999.0,-9999.0,32,8,0,348.21,61.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,138.6270046234131,-1.0,-1.0,-9999.0,-9999,204.6729278564453,344.0,352.0,-9999.0,-9999.0,40,8,0,349.21,42.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,138.7310028076172,-1.0,-1.0,-9999.0,-9999,153.30361938476562,344.0,352.0,-9999.0,-9999.0,48,8,0,350.21,20.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,138.8350009918213,-1.0,-1.0,-9999.0,-9999,148.98536682128906,344.0,352.0,-9999.0,-9999.0,56,8,0,351.21,34.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,138.9389991760254,-1.0,-1.0,-9999.0,-9999,123.9230728149414,344.0,352.0,-9999.0,-9999.0,64,8,0,344.21,32.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.0429973602295,-1.0,-1.0,-9999.0,-9999,95.67713165283203,344.0,352.0,-9999.0,-9999.0,72,8,0,345.21,22.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.1469955444336,-1.0,-1.0,-9999.0,-9999,350.3655090332031,344.0,352.0,-9999.0,-9999.0,80,8,0,346.21,764.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.2509937286377,-1.0,-1.0,-9999.0,-9999,298.62762451171875,344.0,352.0,-9999.0,-9999.0,88,8,0,347.21,32.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.35500621795654,-1.0,-1.0,-9999.0,-9999,259.3023986816406,344.0,352.0,-9999.0,-9999.0,96,8,0,348.21,15.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.4629955291748,-1.0,-1.0,-9999.0,-9999,123.8129653930664,344.0,352.0,-9999.0,-9999.0,104,8,0,349.21,20.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.5669937133789,-1.0,-1.0,-9999.0,-9999,127.80091857910156,344.0,352.0,-9999.0,-9999.0,112,8,0,350.21,40.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.67100620269775,-1.0,-1.0,-9999.0,-9999,132.97853088378906,344.0,352.0,-9999.0,-9999.0,120,8,0,351.21,203.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.77500438690186,-1.0,-1.0,-9999.0,-9999,141.39483642578125,344.0,352.0,-9999.0,-9999.0,128,8,0,344.21,53.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.87900257110596,-1.0,-1.0,-9999.0,-9999,110.25730895996094,344.0,352.0,-9999.0,-9999.0,136,8,0,345.21,0.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.98300075531006,-1.0,-1.0,-9999.0,-9999,203.19122314453125,344.0,352.0,-9999.0,-9999.0,144,8,0,346.21,269.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,140.08699893951416,-1.0,-1.0,-9999.0,-9999,185.93966674804688,344.0,352.0,-9999.0,-9999.0,152,8,0,347.21,29.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,140.19099712371826,-1.0,-1.0,-9999.0,-9999,104.55904388427734,344.0,352.0,-9999.0,-9999.0,160,8,0,348.21,5.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,140.29499530792236,-1.0,-1.0,-9999.0,-9999,133.3638916015625,344.0,352.0,-9999.0,-9999.0,168,8,0,349.21,24.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,140.39899349212646,-1.0,-1.0,-9999.0,-9999,111.59300231933594,344.0,352.0,-9999.0,-9999.0,176,8,0,350.21,42.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,140.50599575042725,-1.0,-1.0,-9999.0,-9999,150.23008728027344,344.0,352.0,-9999.0,-9999.0,184,8,0,351.21,891.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,140.60999393463135,-1.0,-1.0,-9999.0,-9999,218.33868408203125,344.0,352.0,-9999.0,-9999.0,192,8,0,344.21,41.0,,b' ',,,b' ',,b' ',,b' ',b' '
