error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,144.0820026397705,-1.0,-1.0,-9999.0,-9999,244.76870727539062,259.0,264.0,-9999.0,-9999.0,0,5,0,259.17,14.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,144.1860008239746,-1.0,-1.0,-9999.0,-9999,56.1944580078125,259.0,264.0,-9999.0,-9999.0,5,5,0,260.17,192.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,144.35500144958496,-1.0,-1.0,-9999.0,-9999,1292.69091796875,259.0,264.0,-9999.0,-9999.0,10,5,0,261.17,22.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,144.5240020751953,-1.0,-1.0,-9999.0,-9999,1125.44580078125,259.0,264.0,-9999.0,-9999.0,15,5,0,262.17,18.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,144.69699382781982,-1.0,-1.0,-9999.0,-9999,995.7361450195312,259.0,264.0,-9999.0,-9999.0,20,5,0,263.17,0.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,144.86599445343018,-1.0,-1.0,-9999.0,-9999,139.57046508789062,259.0,264.0,-9999.0,-9999.0,25,5,0,259.17,16.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,145.03499507904053,-1.0,-1.0,-9999.0,-9999,1102.8521728515625,259.0,264.0,-9999.0,-9999.0,30,5,0,260.17,11.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,145.20399570465088,-1.0,-1.0,-9999.0,-9999,437.5946960449219,259.0,264.0,-9999.0,-9999.0,35,5,0,261.17,5.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,145.37299633026123,-1.0,-1.0,-9999.0,-9999,880.9908447265625,259.0,264.0,-9999.0,-9999.0,40,5,0,262.17,18.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,145.54199695587158,-1.0,-1.0,-9999.0,-9999,61.88370132446289,259.0,264.0,-9999.0,-9999.0,45,5,0,263.17,6.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,145.71500301361084,-1.0,-1.0,-9999.0,-9999,1154.31787109375,259.0,264.0,-9999.0,-9999.0,50,5,0,259.17,33.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,145.8840036392212,-1.0,-1.0,-9999.0,-9999,69.7308120727539,259.0,264.0,-9999.0,-9999.0,55,5,0,260.17,1192.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,146.05300426483154,-1.0,-1.0,-9999.0,-9999,64.6082534790039,259.0,264.0,-9999.0,-9999.0,60,5,0,261.17,20.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,146.2220048904419,-1.0,-1.0,-9999.0,-9999,74.85337829589844,259.0,264.0,-9999.0,-9999.0,65,5,0,262.17,32.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
