error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,126.06800079345703,-1.0,-1.0,-9999.0,-9999,59.199462890625,245.0,249.0,-9999.0,-9999.0,0,4,0,245.08,27.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,126.13300323486328,-1.0,-1.0,-9999.0,-9999,126.59501647949219,245.0,249.0,-9999.0,-9999.0,4,4,0,246.08,9.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,126.27599716186523,-1.0,-1.0,-9999.0,-9999,782.2828369140625,245.0,249.0,-9999.0,-9999.0,8,4,0,247.08,23.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,126.41900539398193,-1.0,-1.0,-9999.0,-9999,78.9326171875,245.0,249.0,-9999.0,-9999.0,12,4,0,248.08,0.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,126.56500339508057,-1.0,-1.0,-9999.0,-9999,778.1847534179688,245.0,249.0,-9999.0,-9999.0,16,4,0,245.08,26.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,126.70799732208252,-1.0,-1.0,-9999.0,-9999,83.03065490722656,245.0,249.0,-9999.0,-9999.0,20,4,0,246.08,32.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,126.85100555419922,-1.0,-1.0,-9999.0,-9999,78.24208068847656,245.0,249.0,-9999.0,-9999.0,24,4,0,247.08,32.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,126.99399948120117,-1.0,-1.0,-9999.0,-9999,127.26296997070312,245.0,249.0,-9999.0,-9999.0,28,4,0,248.08,36.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,127.13699340820312,-1.0,-1.0,-9999.0,-9999,92.42955780029297,245.0,249.0,-9999.0,-9999.0,32,4,0,245.08,752.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,127.28100299835205,-1.0,-1.0,-9999.0,-9999,89.0886001586914,245.0,249.0,-9999.0,-9999.0,36,4,0,246.08,0.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,127.423996925354,-1.0,-1.0,-9999.0,-9999,56.036781311035156,245.0,249.0,-9999.0,-9999.0,40,4,0,247.08,7.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,127.56999492645264,-1.0,-1.0,-9999.0,-9999,90.9373550415039,245.0,249.0,-9999.0,-9999.0,44,4,0,248.08,23.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,127.71300315856934,-1.0,-1.0,-9999.0,-9999,105.39195251464844,245.0,249.0,-9999.0,-9999.0,48,4,0,245.08,18.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,127.85599708557129,-1.0,-1.0,-9999.0,-9999,30.15655517578125,245.0,249.0,-9999.0,-9999.0,52,4,0,246.08,20.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,127.99900531768799,-1.0,-1.0,-9999.0,-9999,85.88134765625,245.0,249.0,-9999.0,-9999.0,56,4,0,247.08,16.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,128.14199924468994,-1.0,-1.0,-9999.0,-9999,57.195003509521484,245.0,249.0,-9999.0,-9999.0,60,4,0,248.08,26.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,128.2849931716919,-1.0,-1.0,-9999.0,-9999,55.914371490478516,245.0,249.0,-9999.0,-9999.0,64,4,0,245.08,700.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,128.4280014038086,-1.0,-1.0,-9999.0,-9999,26.993877410888672,245.0,249.0,-9999.0,-9999.0,68,4,0,246.08,10.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,128.57399940490723,-1.0,-1.0,-9999.0,-9999,22.339004516601562,245.0,249.0,-9999.0,-9999.0,72,4,0,247.08,24.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,128.71699333190918,-1.0,-1.0,-9999.0,-9999,18.708641052246094,245.0,249.0,-9999.0,-9999.0,76,4,0,248.08,44.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,128.86000156402588,-1.0,-1.0,-9999.0,-9999,70.55823516845703,245.0,249.0,-9999.0,-9999.0,80,4,0,245.08,38.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,129.00299549102783,-1.0,-1.0,-9999.0,-9999,74.78999328613281,245.0,249.0,-9999.0,-9999.0,84,4,0,246.08,5.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,129.14700508117676,-1.0,-1.0,-9999.0,-9999,65.90335845947266,245.0,249.0,-9999.0,-9999.0,88,4,0,247.08,5.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,129.2899990081787,-1.0,-1.0,-9999.0,-9999,67.39555358886719,245.0,249.0,-9999.0,-9999.0,92,4,0,248.08,34.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,129.43299293518066,-1.0,-1.0,-9999.0,-9999,82.56298065185547,245.0,249.0,-9999.0,-9999.0,96,4,0,245.08,13.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,129.57800388336182,-1.0,-1.0,-9999.0,-9999,58.174949645996094,245.0,249.0,-9999.0,-9999.0,100,4,0,246.08,25.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,129.721999168396,-1.0,-1.0,-9999.0,-9999,115.4810791015625,245.0,249.0,-9999.0,-9999.0,104,4,0,247.08,18.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,129.86599445343018,-1.0,-1.0,-9999.0,-9999,40.9585075378418,245.0,249.0,-9999.0,-9999.0,108,4,0,248.08,22.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,130.00900268554688,-1.0,-1.0,-9999.0,-9999,100.71479797363281,245.0,249.0,-9999.0,-9999.0,112,4,0,245.08,55.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,130.15199661254883,-1.0,-1.0,-9999.0,-9999,79.35572814941406,245.0,249.0,-9999.0,-9999.0,116,4,0,246.08,20.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,130.29500484466553,-1.0,-1.0,-9999.0,-9999,59.199462890625,245.0,249.0,-9999.0,-9999.0,120,4,0,247.08,31.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,130.43799877166748,-1.0,-1.0,-9999.0,-9999,38.486366271972656,245.0,249.0,-9999.0,-9999.0,124,4,0,248.08,22.0,,,,,,,,,,
