error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,312.13099479675293,-1.0,-1.0,-9999.0,-9999,183.29977416992188,301.0,309.0,-9999.0,-9999.0,0,8,0,301.21,21.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,312.26099967956543,-1.0,-1.0,-9999.0,-9999,986.8299560546875,301.0,309.0,-9999.0,-9999.0,8,8,0,302.21,15.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,312.46899604797363,-1.0,-1.0,-9999.0,-9999,978.0098266601562,301.0,309.0,-9999.0,-9999.0,16,8,0,303.21,0.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,312.67699241638184,-1.0,-1.0,-9999.0,-9999,1168.5025634765625,301.0,309.0,-9999.0,-9999.0,24,8,0,304.21,36.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,312.88498878479004,-1.0,-1.0,-9999.0,-9999,1637.6851806640625,301.0,309.0,-9999.0,-9999.0,32,8,0,305.21,36.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,313.09301376342773,-1.0,-1.0,-9999.0,-9999,1802.0076904296875,301.0,309.0,-9999.0,-9999.0,40,8,0,306.21,53.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,313.3040142059326,-1.0,-1.0,-9999.0,-9999,899.5122680664062,301.0,309.0,-9999.0,-9999.0,48,8,0,307.21,11.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.5120105743408,-1.0,-1.0,-9999.0,-9999,1035.271484375,301.0,309.0,-9999.0,-9999.0,56,8,0,308.21,11.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.72100830078125,-1.0,-1.0,-9999.0,-9999,2581.460693359375,301.0,309.0,-9999.0,-9999.0,64,8,0,301.21,24.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.92900466918945,-1.0,-1.0,-9999.0,-9999,1463.250244140625,301.0,309.0,-9999.0,-9999.0,72,8,0,302.21,35.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.13700103759766,-1.0,-1.0,-9999.0,-9999,161.96327209472656,301.0,309.0,-9999.0,-9999.0,80,8,0,303.21,802.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.3459987640381,-1.0,-1.0,-9999.0,-9999,180.96133422851562,301.0,309.0,-9999.0,-9999.0,88,8,0,304.21,39.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.5549964904785,-1.0,-1.0,-9999.0,-9999,122.77538299560547,301.0,309.0,-9999.0,-9999.0,96,8,0,305.21,33.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.7629928588867,-1.0,-1.0,-9999.0,-9999,376.5539855957031,301.0,309.0,-9999.0,-9999.0,104,8,0,306.21,43.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.9709892272949,-1.0,-1.0,-9999.0,-9999,343.124267578125,301.0,309.0,-9999.0,-9999.0,112,8,0,307.21,10.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,315.1819896697998,-1.0,-1.0,-9999.0,-9999,169.2239990234375,301.0,309.0,-9999.0,-9999.0,120,8,0,308.21,0.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,315.389986038208,-1.0,-1.0,-9999.0,-9999,117.88666534423828,301.0,309.0,-9999.0,-9999.0,128,8,0,301.21,39.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,315.5980110168457,-1.0,-1.0,-9999.0,-9999,140.1811065673828,301.0,309.0,-9999.0,-9999.0,136,8,0,302.21,33.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,315.80700874328613,-1.0,-1.0,-9999.0,-9999,170.33766174316406,301.0,309.0,-9999.0,-9999.0,144,8,0,303.21,811.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,316.01500511169434,-1.0,-1.0,-9999.0,-9999,112.35197448730469,301.0,309.0,-9999.0,-9999.0,152,8,0,304.21,26.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,316.225004196167,-1.0,-1.0,-9999.0,-9999,175.2819366455078,301.0,309.0,-9999.0,-9999.0,160,8,0,305.21,0.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,316.4330005645752,-1.0,-1.0,-9999.0,-9999,141.76243591308594,301.0,309.0,-9999.0,-9999.0,168,8,0,306.21,45.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,316.6409969329834,-1.0,-1.0,-9999.0,-9999,188.6897430419922,301.0,309.0,-9999.0,-9999.0,176,8,0,307.21,19.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,316.8489933013916,-1.0,-1.0,-9999.0,-9999,233.1448974609375,301.0,309.0,-9999.0,-9999.0,184,8,0,308.21,5.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,317.0569896697998,-1.0,-1.0,-9999.0,-9999,160.84962463378906,301.0,309.0,-9999.0,-9999.0,192,8,0,301.21,38.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,317.26698875427246,-1.0,-1.0,-9999.0,-9999,152.6535186767578,301.0,309.0,-9999.0,-9999.0,200,8,0,302.21,25.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,317.47501373291016,-1.0,-1.0,-9999.0,-9999,153.07664489746094,301.0,309.0,-9999.0,-9999.0,208,8,0,303.21,987.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,317.68301010131836,-1.0,-1.0,-9999.0,-9999,66.46018981933594,301.0,309.0,-9999.0,-9999.0,216,8,0,304.21,0.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,317.89100646972656,-1.0,-1.0,-9999.0,-9999,117.28527069091797,301.0,309.0,-9999.0,-9999.0,224,8,0,305.21,24.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,318.09900283813477,-1.0,-1.0,-9999.0,-9999,156.57330322265625,301.0,309.0,-9999.0,-9999.0,232,8,0,306.21,35.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,318.3080005645752,-1.0,-1.0,-9999.0,-9999,180.62734985351562,301.0,309.0,-9999.0,-9999.0,240,8,0,307.21,17.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,318.5159969329834,-1.0,-1.0,-9999.0,-9999,139.60198974609375,301.0,309.0,-9999.0,-9999.0,248,8,0,308.21,42.0,,,,,,,,,,
