error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,138.12900066375732,-1.0,-1.0,-9999.0,-9999,192.60955810546875,325.0,333.0,-9999.0,-9999.0,0,8,0,325.21,10.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,138.27499866485596,-1.0,-1.0,-9999.0,-9999,191.5850372314453,325.0,333.0,-9999.0,-9999.0,8,8,0,326.21,10.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,138.4700059890747,-1.0,-1.0,-9999.0,-9999,181.83544921875,325.0,333.0,-9999.0,-9999.0,16,8,0,327.21,22.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,138.6649990081787,-1.0,-1.0,-9999.0,-9999,195.1708221435547,325.0,333.0,-9999.0,-9999.0,24,8,0,328.21,34.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,138.86000633239746,-1.0,-1.0,-9999.0,-9999,177.93560791015625,325.0,333.0,-9999.0,-9999.0,32,8,0,329.21,16.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,139.05499935150146,-1.0,-1.0,-9999.0,-9999,313.8662109375,325.0,333.0,-9999.0,-9999.0,40,8,0,330.21,18.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,139.25000667572021,-1.0,-1.0,-9999.0,-9999,215.56195068359375,325.0,333.0,-9999.0,-9999.0,48,8,0,331.21,10.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.44900512695312,-1.0,-1.0,-9999.0,-9999,181.63723754882812,325.0,333.0,-9999.0,-9999.0,56,8,0,332.21,72.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.64399814605713,-1.0,-1.0,-9999.0,-9999,233.97035217285156,325.0,333.0,-9999.0,-9999.0,64,8,0,325.21,32.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.83900547027588,-1.0,-1.0,-9999.0,-9999,264.028076171875,325.0,333.0,-9999.0,-9999.0,72,8,0,326.21,15.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,140.03399848937988,-1.0,-1.0,-9999.0,-9999,157.54446411132812,325.0,333.0,-9999.0,-9999.0,80,8,0,327.21,0.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,140.22900581359863,-1.0,-1.0,-9999.0,-9999,126.03235626220703,325.0,333.0,-9999.0,-9999.0,88,8,0,328.21,31.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,140.42800426483154,-1.0,-1.0,-9999.0,-9999,179.48910522460938,325.0,333.0,-9999.0,-9999.0,96,8,0,329.21,5.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,140.62299728393555,-1.0,-1.0,-9999.0,-9999,133.0552978515625,325.0,333.0,-9999.0,-9999.0,104,8,0,330.21,20.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,140.8180046081543,-1.0,-1.0,-9999.0,-9999,205.779541015625,325.0,333.0,-9999.0,-9999.0,112,8,0,331.21,60.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,141.0129976272583,-1.0,-1.0,-9999.0,-9999,157.09849548339844,325.0,333.0,-9999.0,-9999.0,120,8,0,332.21,28.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,141.20800495147705,-1.0,-1.0,-9999.0,-9999,159.2466278076172,325.0,333.0,-9999.0,-9999.0,128,8,0,325.21,22.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,141.4050006866455,-1.0,-1.0,-9999.0,-9999,208.80352783203125,325.0,333.0,-9999.0,-9999.0,136,8,0,326.21,10.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,141.5999937057495,-1.0,-1.0,-9999.0,-9999,266.275634765625,325.0,333.0,-9999.0,-9999.0,144,8,0,327.21,52.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,141.79500102996826,-1.0,-1.0,-9999.0,-9999,144.3744659423828,325.0,333.0,-9999.0,-9999.0,152,8,0,328.21,10.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,141.98999404907227,-1.0,-1.0,-9999.0,-9999,158.9158477783203,325.0,333.0,-9999.0,-9999.0,160,8,0,329.21,36.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,142.18500137329102,-1.0,-1.0,-9999.0,-9999,212.9511260986328,325.0,333.0,-9999.0,-9999.0,168,8,0,330.21,10.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,142.38099575042725,-1.0,-1.0,-9999.0,-9999,1495.49169921875,325.0,333.0,-9999.0,-9999.0,176,8,0,331.21,14.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,142.576003074646,-1.0,-1.0,-9999.0,-9999,8260.9755859375,325.0,333.0,-9999.0,-9999.0,184,8,0,332.21,27.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,142.77199745178223,-1.0,-1.0,-9999.0,-9999,12231.1435546875,325.0,333.0,-9999.0,-9999.0,192,8,0,325.21,16.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,142.96700477600098,-1.0,-1.0,-9999.0,-9999,12703.3125,325.0,333.0,-9999.0,-9999.0,200,8,0,326.21,31.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,143.16199779510498,-1.0,-1.0,-9999.0,-9999,14986.3056640625,325.0,333.0,-9999.0,-9999.0,208,8,0,327.21,10.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,143.35999488830566,-1.0,-1.0,-9999.0,-9999,33361.53125,325.0,333.0,-9999.0,-9999.0,216,8,0,328.21,19.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,143.5550022125244,-1.0,-1.0,-9999.0,-9999,37078.4296875,325.0,333.0,-9999.0,-9999.0,224,8,0,329.21,30.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,143.74999523162842,-1.0,-1.0,-9999.0,-9999,67098.0625,325.0,333.0,-9999.0,-9999.0,232,8,0,330.21,13.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,143.94500255584717,-1.0,-1.0,-9999.0,-9999,63732.03125,325.0,333.0,-9999.0,-9999.0,240,8,0,331.21,56.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,144.13999557495117,-1.0,-1.0,-9999.0,-9999,91790.578125,325.0,333.0,-9999.0,-9999.0,248,8,0,332.21,19.0,,,,,,,,,,
