error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,234.14299964904785,-1.0,-1.0,-9999.0,-9999,1314.120849609375,351.0,362.0,-9999.0,-9999.0,0,11,0,351.21,15.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,234.2859935760498,-1.0,-1.0,-9999.0,-9999,257.286376953125,351.0,362.0,-9999.0,-9999.0,11,11,0,352.21,345.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,234.4290018081665,-1.0,-1.0,-9999.0,-9999,217.925048828125,351.0,362.0,-9999.0,-9999.0,22,11,0,353.21,39.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,234.57199573516846,-1.0,-1.0,-9999.0,-9999,264.3588562011719,351.0,362.0,-9999.0,-9999.0,33,11,0,354.21,270.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,234.71500396728516,-1.0,-1.0,-9999.0,-9999,285.4109191894531,351.0,362.0,-9999.0,-9999.0,44,11,0,355.21,43.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,234.8579978942871,-1.0,-1.0,-9999.0,-9999,246.69406127929688,351.0,362.0,-9999.0,-9999.0,55,11,0,356.21,5.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,235.0010061264038,-1.0,-1.0,-9999.0,-9999,893.75634765625,351.0,362.0,-9999.0,-9999.0,66,11,0,357.21,13.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,235.14800548553467,-1.0,-1.0,-9999.0,-9999,560.888916015625,351.0,362.0,-9999.0,-9999.0,77,11,0,358.21,19.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,235.29099941253662,-1.0,-1.0,-9999.0,-9999,262.9707336425781,351.0,362.0,-9999.0,-9999.0,88,11,0,359.21,54.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,235.43399333953857,-1.0,-1.0,-9999.0,-9999,230.0705108642578,351.0,362.0,-9999.0,-9999.0,99,11,0,360.21,46.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,235.57700157165527,-1.0,-1.0,-9999.0,-9999,243.8518829345703,351.0,362.0,-9999.0,-9999.0,110,11,0,361.21,465.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,235.71999549865723,-1.0,-1.0,-9999.0,-9999,202.75555419921875,351.0,362.0,-9999.0,-9999.0,121,11,0,351.21,11.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,235.86300373077393,-1.0,-1.0,-9999.0,-9999,164.31964111328125,351.0,362.0,-9999.0,-9999.0,132,11,0,352.21,19.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,236.00599765777588,-1.0,-1.0,-9999.0,-9999,322.9870910644531,351.0,362.0,-9999.0,-9999.0,143,11,0,353.21,21.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,236.15299701690674,-1.0,-1.0,-9999.0,-9999,281.95703125,351.0,362.0,-9999.0,-9999.0,154,11,0,354.21,16.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,236.29600524902344,-1.0,-1.0,-9999.0,-9999,1179.89306640625,351.0,362.0,-9999.0,-9999.0,165,11,0,355.21,18.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,236.4389991760254,-1.0,-1.0,-9999.0,-9999,955.0950927734375,351.0,362.0,-9999.0,-9999.0,176,11,0,356.21,15.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,236.58199310302734,-1.0,-1.0,-9999.0,-9999,962.2003784179688,351.0,362.0,-9999.0,-9999.0,187,11,0,357.21,46.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,236.72500133514404,-1.0,-1.0,-9999.0,-9999,726.3482666015625,351.0,362.0,-9999.0,-9999.0,198,11,0,358.21,5.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,236.867995262146,-1.0,-1.0,-9999.0,-9999,212.70335388183594,351.0,362.0,-9999.0,-9999.0,209,11,0,359.21,54.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,237.0110034942627,-1.0,-1.0,-9999.0,-9999,938.3392333984375,351.0,362.0,-9999.0,-9999.0,220,11,0,360.21,29.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,237.15800285339355,-1.0,-1.0,-9999.0,-9999,317.76605224609375,351.0,362.0,-9999.0,-9999.0,231,11,0,361.21,22.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,237.3009967803955,-1.0,-1.0,-9999.0,-9999,328.4237060546875,351.0,362.0,-9999.0,-9999.0,242,11,0,351.21,7.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,237.4440050125122,-1.0,-1.0,-9999.0,-9999,398.4374084472656,351.0,362.0,-9999.0,-9999.0,253,11,0,352.21,17.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,237.58699893951416,-1.0,-1.0,-9999.0,-9999,1010.6497192382812,351.0,362.0,-9999.0,-9999.0,264,11,0,353.21,5.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,237.7299928665161,-1.0,-1.0,-9999.0,-9999,881.7929077148438,351.0,362.0,-9999.0,-9999.0,275,11,0,354.21,47.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,237.8730010986328,-1.0,-1.0,-9999.0,-9999,1385.0928955078125,351.0,362.0,-9999.0,-9999.0,286,11,0,355.21,12.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,238.01599502563477,-1.0,-1.0,-9999.0,-9999,938.5869750976562,351.0,362.0,-9999.0,-9999.0,297,11,0,356.21,5.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,238.16299438476562,-1.0,-1.0,-9999.0,-9999,899.556396484375,351.0,362.0,-9999.0,-9999.0,308,11,0,357.21,31.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,238.30600261688232,-1.0,-1.0,-9999.0,-9999,242.26556396484375,351.0,362.0,-9999.0,-9999.0,319,11,0,358.21,40.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,238.44899654388428,-1.0,-1.0,-9999.0,-9999,307.289306640625,351.0,362.0,-9999.0,-9999.0,330,11,0,359.21,13.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,238.59200477600098,-1.0,-1.0,-9999.0,-9999,662.5968017578125,351.0,362.0,-9999.0,-9999.0,341,11,0,360.21,11.0,,,,,,,,,,
