error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,180.0909948348999,-1.0,-1.0,-9999.0,-9999,5618.0419921875,285.0,292.0,-9999.0,-9999.0,0,7,0,285.16,67.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,180.18200397491455,-1.0,-1.0,-9999.0,-9999,8174.1201171875,285.0,292.0,-9999.0,-9999.0,7,7,0,286.16,10.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,180.27299880981445,-1.0,-1.0,-9999.0,-9999,5763.8740234375,285.0,292.0,-9999.0,-9999.0,14,7,0,287.16,65.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,180.36399364471436,-1.0,-1.0,-9999.0,-9999,9632.001953125,285.0,292.0,-9999.0,-9999.0,21,7,0,288.16,39.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,180.455002784729,-1.0,-1.0,-9999.0,-9999,10133.640625,285.0,292.0,-9999.0,-9999.0,28,7,0,289.16,70.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,180.5459976196289,-1.0,-1.0,-9999.0,-9999,8985.6142578125,285.0,292.0,-9999.0,-9999.0,35,7,0,290.16,3212.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,180.63700675964355,-1.0,-1.0,-9999.0,-9999,8699.1240234375,285.0,292.0,-9999.0,-9999.0,42,7,0,291.16,2156.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,180.72800159454346,-1.0,-1.0,-9999.0,-9999,9710.693359375,285.0,292.0,-9999.0,-9999.0,49,7,0,285.16,20.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,180.81899642944336,-1.0,-1.0,-9999.0,-9999,10813.6787109375,285.0,292.0,-9999.0,-9999.0,56,7,0,286.16,59.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,180.910005569458,-1.0,-1.0,-9999.0,-9999,9668.470703125,285.0,292.0,-9999.0,-9999.0,63,7,0,287.16,25.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.0010004043579,-1.0,-1.0,-9999.0,-9999,10255.734375,285.0,292.0,-9999.0,-9999.0,70,7,0,288.16,326.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.09600067138672,-1.0,-1.0,-9999.0,-9999,8694.986328125,285.0,292.0,-9999.0,-9999.0,77,7,0,289.16,5.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.18699550628662,-1.0,-1.0,-9999.0,-9999,5068.58447265625,285.0,292.0,-9999.0,-9999.0,84,7,0,290.16,6119.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.27800464630127,-1.0,-1.0,-9999.0,-9999,9186.0224609375,285.0,292.0,-9999.0,-9999.0,91,7,0,291.16,1619.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.36899948120117,-1.0,-1.0,-9999.0,-9999,7780.2734375,285.0,292.0,-9999.0,-9999.0,98,7,0,285.16,31.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.45999431610107,-1.0,-1.0,-9999.0,-9999,5171.134765625,285.0,292.0,-9999.0,-9999.0,105,7,0,286.16,15.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.55100345611572,-1.0,-1.0,-9999.0,-9999,7027.5732421875,285.0,292.0,-9999.0,-9999.0,112,7,0,287.16,42.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.64199829101562,-1.0,-1.0,-9999.0,-9999,11668.63671875,285.0,292.0,-9999.0,-9999.0,119,7,0,288.16,1271.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.73299312591553,-1.0,-1.0,-9999.0,-9999,9284.0595703125,285.0,292.0,-9999.0,-9999.0,126,7,0,289.16,18.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.82400226593018,-1.0,-1.0,-9999.0,-9999,5691.32958984375,285.0,292.0,-9999.0,-9999.0,133,7,0,290.16,3188.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.91499710083008,-1.0,-1.0,-9999.0,-9999,7619.623046875,285.0,292.0,-9999.0,-9999.0,140,7,0,291.16,1199.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,182.00600624084473,-1.0,-1.0,-9999.0,-9999,5529.1630859375,285.0,292.0,-9999.0,-9999.0,147,7,0,285.16,36.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,182.1000051498413,-1.0,-1.0,-9999.0,-9999,8856.5166015625,285.0,292.0,-9999.0,-9999.0,154,7,0,286.16,15.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,182.1909999847412,-1.0,-1.0,-9999.0,-9999,9094.330078125,285.0,292.0,-9999.0,-9999.0,161,7,0,287.16,15.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,182.2819948196411,-1.0,-1.0,-9999.0,-9999,6230.2265625,285.0,292.0,-9999.0,-9999.0,168,7,0,288.16,19.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,182.37300395965576,-1.0,-1.0,-9999.0,-9999,8840.1328125,285.0,292.0,-9999.0,-9999.0,175,7,0,289.16,27.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,182.46399879455566,-1.0,-1.0,-9999.0,-9999,8161.392578125,285.0,292.0,-9999.0,-9999.0,182,7,0,290.16,4833.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,182.55499362945557,-1.0,-1.0,-9999.0,-9999,4960.123046875,285.0,292.0,-9999.0,-9999.0,189,7,0,291.16,4687.0,,b' ',,,b' ',,b' ',,b' ',b' '
