error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,270.11698722839355,-1.0,-1.0,-9999.0,-9999,1542.939208984375,319.0,326.0,-9999.0,-9999.0,0,7,0,319.21,393.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,270.260009765625,-1.0,-1.0,-9999.0,-9999,725.40380859375,319.0,326.0,-9999.0,-9999.0,7,7,0,320.21,163.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,270.4450035095215,-1.0,-1.0,-9999.0,-9999,1542.968505859375,319.0,326.0,-9999.0,-9999.0,14,7,0,321.21,120.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,270.6269931793213,-1.0,-1.0,-9999.0,-9999,865.1459350585938,319.0,326.0,-9999.0,-9999.0,21,7,0,322.21,474.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,270.8090114593506,-1.0,-1.0,-9999.0,-9999,920.9298706054688,319.0,326.0,-9999.0,-9999.0,28,7,0,323.21,134.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,270.9910011291504,-1.0,-1.0,-9999.0,-9999,1063.2498779296875,319.0,326.0,-9999.0,-9999.0,35,7,0,324.21,144.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,271.1729907989502,-1.0,-1.0,-9999.0,-9999,936.0155029296875,319.0,326.0,-9999.0,-9999.0,42,7,0,325.21,115.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,271.3580131530762,-1.0,-1.0,-9999.0,-9999,760.1490478515625,319.0,326.0,-9999.0,-9999.0,49,7,0,319.21,197.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,271.540002822876,-1.0,-1.0,-9999.0,-9999,882.9337768554688,319.0,326.0,-9999.0,-9999.0,56,7,0,320.21,99.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,271.722993850708,-1.0,-1.0,-9999.0,-9999,720.6337890625,319.0,326.0,-9999.0,-9999.0,63,7,0,321.21,89.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,271.9050121307373,-1.0,-1.0,-9999.0,-9999,684.3860473632812,319.0,326.0,-9999.0,-9999.0,70,7,0,322.21,93.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,272.0870018005371,-1.0,-1.0,-9999.0,-9999,674.6012573242188,319.0,326.0,-9999.0,-9999.0,77,7,0,323.21,131.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,272.2689914703369,-1.0,-1.0,-9999.0,-9999,567.3428955078125,319.0,326.0,-9999.0,-9999.0,84,7,0,324.21,95.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,272.45301246643066,-1.0,-1.0,-9999.0,-9999,1461.3355712890625,319.0,326.0,-9999.0,-9999.0,91,7,0,325.21,20.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,272.63500213623047,-1.0,-1.0,-9999.0,-9999,826.6482543945312,319.0,326.0,-9999.0,-9999.0,98,7,0,319.21,145.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,272.8169918060303,-1.0,-1.0,-9999.0,-9999,373.4239807128906,319.0,326.0,-9999.0,-9999.0,105,7,0,320.21,170.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,272.99901008605957,-1.0,-1.0,-9999.0,-9999,426.7525329589844,319.0,326.0,-9999.0,-9999.0,112,7,0,321.21,175.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,273.1809997558594,-1.0,-1.0,-9999.0,-9999,543.3872680664062,319.0,326.0,-9999.0,-9999.0,119,7,0,322.21,716.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,273.3639907836914,-1.0,-1.0,-9999.0,-9999,613.0550537109375,319.0,326.0,-9999.0,-9999.0,126,7,0,323.21,135.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,273.5460090637207,-1.0,-1.0,-9999.0,-9999,482.0928039550781,319.0,326.0,-9999.0,-9999.0,133,7,0,324.21,94.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,273.7279987335205,-1.0,-1.0,-9999.0,-9999,473.0318603515625,319.0,326.0,-9999.0,-9999.0,140,7,0,325.21,108.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,273.9099884033203,-1.0,-1.0,-9999.0,-9999,164.3936004638672,319.0,326.0,-9999.0,-9999.0,147,7,0,319.21,164.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,274.0920066833496,-1.0,-1.0,-9999.0,-9999,199.78384399414062,319.0,326.0,-9999.0,-9999.0,154,7,0,320.21,105.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,274.27499771118164,-1.0,-1.0,-9999.0,-9999,270.1225891113281,319.0,326.0,-9999.0,-9999.0,161,7,0,321.21,171.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,274.4599914550781,-1.0,-1.0,-9999.0,-9999,302.9608459472656,319.0,326.0,-9999.0,-9999.0,168,7,0,322.21,118.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,274.6420097351074,-1.0,-1.0,-9999.0,-9999,294.00567626953125,319.0,326.0,-9999.0,-9999.0,175,7,0,323.21,106.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,274.8239994049072,-1.0,-1.0,-9999.0,-9999,282.8418273925781,319.0,326.0,-9999.0,-9999.0,182,7,0,324.21,114.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,275.00699043273926,-1.0,-1.0,-9999.0,-9999,256.5923767089844,319.0,326.0,-9999.0,-9999.0,189,7,0,325.21,88.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,275.18900871276855,-1.0,-1.0,-9999.0,-9999,266.2361145019531,319.0,326.0,-9999.0,-9999.0,196,7,0,319.21,227.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,275.37099838256836,-1.0,-1.0,-9999.0,-9999,320.4128112792969,319.0,326.0,-9999.0,-9999.0,203,7,0,320.21,40.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,275.5549907684326,-1.0,-1.0,-9999.0,-9999,217.6422882080078,319.0,326.0,-9999.0,-9999.0,210,7,0,321.21,167.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,275.7370090484619,-1.0,-1.0,-9999.0,-9999,700.5587768554688,319.0,326.0,-9999.0,-9999.0,217,7,0,322.21,114.0,,,,,,,,,,
