error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,144.07899856567383,-1.0,-1.0,-9999.0,-9999,1262.2353515625,259.0,264.0,-9999.0,-9999.0,0,5,0,259.17,5.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,144.18299674987793,-1.0,-1.0,-9999.0,-9999,449.41705322265625,259.0,264.0,-9999.0,-9999.0,5,5,0,260.17,5.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,144.35199737548828,-1.0,-1.0,-9999.0,-9999,604.2705078125,259.0,264.0,-9999.0,-9999.0,10,5,0,261.17,36.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,144.5240020751953,-1.0,-1.0,-9999.0,-9999,112.03031921386719,259.0,264.0,-9999.0,-9999.0,15,5,0,262.17,1216.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,144.6940040588379,-1.0,-1.0,-9999.0,-9999,109.4310302734375,259.0,264.0,-9999.0,-9999.0,20,5,0,263.17,0.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,144.86300468444824,-1.0,-1.0,-9999.0,-9999,210.70571899414062,259.0,264.0,-9999.0,-9999.0,25,5,0,259.17,0.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,145.0320053100586,-1.0,-1.0,-9999.0,-9999,61.33683395385742,259.0,264.0,-9999.0,-9999.0,30,5,0,260.17,417.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,145.20100593566895,-1.0,-1.0,-9999.0,-9999,116.67863464355469,259.0,264.0,-9999.0,-9999.0,35,5,0,261.17,12.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,145.3700065612793,-1.0,-1.0,-9999.0,-9999,172.21046447753906,259.0,264.0,-9999.0,-9999.0,40,5,0,262.17,15.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,145.54199695587158,-1.0,-1.0,-9999.0,-9999,116.60260772705078,259.0,264.0,-9999.0,-9999.0,45,5,0,263.17,5.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,145.71099758148193,-1.0,-1.0,-9999.0,-9999,148.0584259033203,259.0,264.0,-9999.0,-9999.0,50,5,0,259.17,14.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,145.87999820709229,-1.0,-1.0,-9999.0,-9999,129.25697326660156,259.0,264.0,-9999.0,-9999.0,55,5,0,260.17,510.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
