error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,114.0779972076416,-1.0,-1.0,-9999.0,-9999,134.81578063964844,302.0,308.0,-9999.0,-9999.0,0,6,0,302.13,13.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,114.15600299835205,-1.0,-1.0,-9999.0,-9999,1121.4208984375,302.0,308.0,-9999.0,-9999.0,6,6,0,303.13,24.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,114.23400163650513,-1.0,-1.0,-9999.0,-9999,778.929931640625,302.0,308.0,-9999.0,-9999.0,12,6,0,304.13,25.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,114.3120002746582,-1.0,-1.0,-9999.0,-9999,1249.5230712890625,302.0,308.0,-9999.0,-9999.0,18,6,0,305.13,9.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,114.38999891281128,-1.0,-1.0,-9999.0,-9999,1115.82421875,302.0,308.0,-9999.0,-9999.0,24,6,0,306.13,30.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,114.46799755096436,-1.0,-1.0,-9999.0,-9999,110.45553588867188,302.0,308.0,-9999.0,-9999.0,30,6,0,307.13,32.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,114.5460033416748,-1.0,-1.0,-9999.0,-9999,617.645263671875,302.0,308.0,-9999.0,-9999.0,36,6,0,302.13,10.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,114.62400197982788,-1.0,-1.0,-9999.0,-9999,86.05729675292969,302.0,308.0,-9999.0,-9999.0,42,6,0,303.13,14.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,114.70200061798096,-1.0,-1.0,-9999.0,-9999,84.9947738647461,302.0,308.0,-9999.0,-9999.0,48,6,0,304.13,1043.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,114.77999925613403,-1.0,-1.0,-9999.0,-9999,104.27046203613281,302.0,308.0,-9999.0,-9999.0,54,6,0,305.13,36.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,114.85799789428711,-1.0,-1.0,-9999.0,-9999,86.09530639648438,302.0,308.0,-9999.0,-9999.0,60,6,0,306.13,17.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,114.93599653244019,-1.0,-1.0,-9999.0,-9999,109.50704956054688,302.0,308.0,-9999.0,-9999.0,66,6,0,307.13,0.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.01400232315063,-1.0,-1.0,-9999.0,-9999,203.97035217285156,302.0,308.0,-9999.0,-9999.0,72,6,0,302.13,0.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.09599924087524,-1.0,-1.0,-9999.0,-9999,126.98077392578125,302.0,308.0,-9999.0,-9999.0,78,6,0,303.13,15.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.17399787902832,-1.0,-1.0,-9999.0,-9999,73.9151840209961,302.0,308.0,-9999.0,-9999.0,84,6,0,304.13,45.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.2519965171814,-1.0,-1.0,-9999.0,-9999,126.69569396972656,302.0,308.0,-9999.0,-9999.0,90,6,0,305.13,27.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.33000230789185,-1.0,-1.0,-9999.0,-9999,755.726318359375,302.0,308.0,-9999.0,-9999.0,96,6,0,306.13,5.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.40800094604492,-1.0,-1.0,-9999.0,-9999,415.09588623046875,302.0,308.0,-9999.0,-9999.0,102,6,0,307.13,687.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.485999584198,-1.0,-1.0,-9999.0,-9999,87.632080078125,302.0,308.0,-9999.0,-9999.0,108,6,0,302.13,13.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.56399822235107,-1.0,-1.0,-9999.0,-9999,114.00332641601562,302.0,308.0,-9999.0,-9999.0,114,6,0,303.13,24.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.64199686050415,-1.0,-1.0,-9999.0,-9999,72.92867279052734,302.0,308.0,-9999.0,-9999.0,120,6,0,304.13,1158.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.7200026512146,-1.0,-1.0,-9999.0,-9999,72.77664184570312,302.0,308.0,-9999.0,-9999.0,126,6,0,305.13,6.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.79800128936768,-1.0,-1.0,-9999.0,-9999,116.12836456298828,302.0,308.0,-9999.0,-9999.0,132,6,0,306.13,9.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.87599992752075,-1.0,-1.0,-9999.0,-9999,173.1028289794922,302.0,308.0,-9999.0,-9999.0,138,6,0,307.13,39.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.95399856567383,-1.0,-1.0,-9999.0,-9999,116.90668487548828,302.0,308.0,-9999.0,-9999.0,144,6,0,302.13,18.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,116.0319972038269,-1.0,-1.0,-9999.0,-9999,51.603965759277344,302.0,308.0,-9999.0,-9999.0,150,6,0,303.13,6.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,116.11400127410889,-1.0,-1.0,-9999.0,-9999,112.35252380371094,302.0,308.0,-9999.0,-9999.0,156,6,0,304.13,1039.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,116.19199991226196,-1.0,-1.0,-9999.0,-9999,119.4480972290039,302.0,308.0,-9999.0,-9999.0,162,6,0,305.13,10.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,116.26999855041504,-1.0,-1.0,-9999.0,-9999,125.6331787109375,302.0,308.0,-9999.0,-9999.0,168,6,0,306.13,13.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,116.34799718856812,-1.0,-1.0,-9999.0,-9999,132.17849731445312,302.0,308.0,-9999.0,-9999.0,174,6,0,307.13,29.0,,b' ',,,b' ',,b' ',,b' ',b' '
