error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,138.1059980392456,-1.0,-1.0,-9999.0,-9999,246.04803466796875,344.0,352.0,-9999.0,-9999.0,0,8,0,344.21,45.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,138.2099962234497,-1.0,-1.0,-9999.0,-9999,1270.4677734375,344.0,352.0,-9999.0,-9999.0,8,8,0,345.21,26.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,138.3139944076538,-1.0,-1.0,-9999.0,-9999,499.1025695800781,344.0,352.0,-9999.0,-9999.0,16,8,0,346.21,46.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,138.41800689697266,-1.0,-1.0,-9999.0,-9999,222.02159118652344,344.0,352.0,-9999.0,-9999.0,24,8,0,347.21,17.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,138.52599620819092,-1.0,-1.0,-9999.0,-9999,198.3190155029297,344.0,352.0,-9999.0,-9999.0,32,8,0,348.21,0.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,138.62999439239502,-1.0,-1.0,-9999.0,-9999,195.29176330566406,344.0,352.0,-9999.0,-9999.0,40,8,0,349.21,54.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,138.73400688171387,-1.0,-1.0,-9999.0,-9999,124.09480285644531,344.0,352.0,-9999.0,-9999.0,48,8,0,350.21,23.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,138.83800506591797,-1.0,-1.0,-9999.0,-9999,160.276611328125,344.0,352.0,-9999.0,-9999.0,56,8,0,351.21,36.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,138.94200325012207,-1.0,-1.0,-9999.0,-9999,130.66160583496094,344.0,352.0,-9999.0,-9999.0,64,8,0,344.21,6.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.04600143432617,-1.0,-1.0,-9999.0,-9999,191.38211059570312,344.0,352.0,-9999.0,-9999.0,72,8,0,345.21,5.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
