error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,126.07100486755371,-1.0,-1.0,-9999.0,-9999,856.0410766601562,245.0,249.0,-9999.0,-9999.0,0,4,0,245.08,804.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,126.13599300384521,-1.0,-1.0,-9999.0,-9999,122.65425872802734,245.0,249.0,-9999.0,-9999.0,4,4,0,246.08,9.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,126.28000259399414,-1.0,-1.0,-9999.0,-9999,160.47923278808594,245.0,249.0,-9999.0,-9999.0,8,4,0,247.08,17.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,126.4229965209961,-1.0,-1.0,-9999.0,-9999,88.1487808227539,245.0,249.0,-9999.0,-9999.0,12,4,0,248.08,25.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,126.56899452209473,-1.0,-1.0,-9999.0,-9999,126.67033386230469,245.0,249.0,-9999.0,-9999.0,16,4,0,245.08,39.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,126.71200275421143,-1.0,-1.0,-9999.0,-9999,80.03466033935547,245.0,249.0,-9999.0,-9999.0,20,4,0,246.08,39.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,126.85499668121338,-1.0,-1.0,-9999.0,-9999,95.15640258789062,245.0,249.0,-9999.0,-9999.0,24,4,0,247.08,7.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,126.99800491333008,-1.0,-1.0,-9999.0,-9999,37.33307647705078,245.0,249.0,-9999.0,-9999.0,28,4,0,248.08,39.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,127.14099884033203,-1.0,-1.0,-9999.0,-9999,59.70838165283203,245.0,249.0,-9999.0,-9999.0,32,4,0,245.08,16.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,127.28400707244873,-1.0,-1.0,-9999.0,-9999,56.67583465576172,245.0,249.0,-9999.0,-9999.0,36,4,0,246.08,96.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
