error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,306.1039924621582,-1.0,-1.0,-9999.0,-9999,191.583251953125,486.0,494.0,-9999.0,-9999.0,0,8,0,486.21,0.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,306.2079906463623,-1.0,-1.0,-9999.0,-9999,358.6601867675781,486.0,494.0,-9999.0,-9999.0,8,8,0,487.21,40.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,306.3119888305664,-1.0,-1.0,-9999.0,-9999,207.5655517578125,486.0,494.0,-9999.0,-9999.0,16,8,0,488.21,10.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,306.4159870147705,-1.0,-1.0,-9999.0,-9999,199.02114868164062,486.0,494.0,-9999.0,-9999.0,24,8,0,489.21,17.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,306.5200138092041,-1.0,-1.0,-9999.0,-9999,182.79290771484375,486.0,494.0,-9999.0,-9999.0,32,8,0,490.21,81.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,306.6240119934082,-1.0,-1.0,-9999.0,-9999,178.61288452148438,486.0,494.0,-9999.0,-9999.0,40,8,0,491.21,32.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,306.7280101776123,-1.0,-1.0,-9999.0,-9999,196.7671661376953,486.0,494.0,-9999.0,-9999.0,48,8,0,492.21,0.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,306.8320083618164,-1.0,-1.0,-9999.0,-9999,126.62934112548828,486.0,494.0,-9999.0,-9999.0,56,8,0,493.21,11.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,306.9360065460205,-1.0,-1.0,-9999.0,-9999,181.91188049316406,486.0,494.0,-9999.0,-9999.0,64,8,0,486.21,29.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,307.0430088043213,-1.0,-1.0,-9999.0,-9999,129.06765747070312,486.0,494.0,-9999.0,-9999.0,72,8,0,487.21,31.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,307.1470069885254,-1.0,-1.0,-9999.0,-9999,194.24688720703125,486.0,494.0,-9999.0,-9999.0,80,8,0,488.21,119.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,307.2510051727295,-1.0,-1.0,-9999.0,-9999,95.6276626586914,486.0,494.0,-9999.0,-9999.0,88,8,0,489.21,46.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,307.3550033569336,-1.0,-1.0,-9999.0,-9999,258.41192626953125,486.0,494.0,-9999.0,-9999.0,96,8,0,490.21,41.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,307.4590015411377,-1.0,-1.0,-9999.0,-9999,198.5908660888672,486.0,494.0,-9999.0,-9999.0,104,8,0,491.21,29.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,307.5629997253418,-1.0,-1.0,-9999.0,-9999,142.14036560058594,486.0,494.0,-9999.0,-9999.0,112,8,0,492.21,35.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,307.6669979095459,-1.0,-1.0,-9999.0,-9999,213.58963012695312,486.0,494.0,-9999.0,-9999.0,120,8,0,493.21,28.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,307.77099609375,-1.0,-1.0,-9999.0,-9999,157.9383087158203,486.0,494.0,-9999.0,-9999.0,128,8,0,486.21,21.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,307.8749942779541,-1.0,-1.0,-9999.0,-9999,191.84957885742188,486.0,494.0,-9999.0,-9999.0,136,8,0,487.21,10.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,307.9789924621582,-1.0,-1.0,-9999.0,-9999,192.4438018798828,486.0,494.0,-9999.0,-9999.0,144,8,0,488.21,45.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,308.0869960784912,-1.0,-1.0,-9999.0,-9999,170.498779296875,486.0,494.0,-9999.0,-9999.0,152,8,0,489.21,44.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,308.1909942626953,-1.0,-1.0,-9999.0,-9999,124.70329284667969,486.0,494.0,-9999.0,-9999.0,160,8,0,490.21,5.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,308.2949924468994,-1.0,-1.0,-9999.0,-9999,120.40028381347656,486.0,494.0,-9999.0,-9999.0,168,8,0,491.21,28.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,308.3989906311035,-1.0,-1.0,-9999.0,-9999,102.16401672363281,486.0,494.0,-9999.0,-9999.0,176,8,0,492.21,36.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,308.5029888153076,-1.0,-1.0,-9999.0,-9999,96.05793762207031,486.0,494.0,-9999.0,-9999.0,184,8,0,493.21,18.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,308.6069869995117,-1.0,-1.0,-9999.0,-9999,137.7760009765625,486.0,494.0,-9999.0,-9999.0,192,8,0,486.21,5.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,308.7110137939453,-1.0,-1.0,-9999.0,-9999,157.42605590820312,486.0,494.0,-9999.0,-9999.0,200,8,0,487.21,31.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,308.8150119781494,-1.0,-1.0,-9999.0,-9999,144.61965942382812,486.0,494.0,-9999.0,-9999.0,208,8,0,488.21,18.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,308.9190101623535,-1.0,-1.0,-9999.0,-9999,172.67076110839844,486.0,494.0,-9999.0,-9999.0,216,8,0,489.21,37.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,309.0230083465576,-1.0,-1.0,-9999.0,-9999,123.12552642822266,486.0,494.0,-9999.0,-9999.0,224,8,0,490.21,51.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,309.1300106048584,-1.0,-1.0,-9999.0,-9999,169.16696166992188,486.0,494.0,-9999.0,-9999.0,232,8,0,491.21,13.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,309.2340087890625,-1.0,-1.0,-9999.0,-9999,132.73541259765625,486.0,494.0,-9999.0,-9999.0,240,8,0,492.21,33.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,309.3380069732666,-1.0,-1.0,-9999.0,-9999,123.67877197265625,486.0,494.0,-9999.0,-9999.0,248,8,0,493.21,10.0,,,,,,,,,,
