error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,114.066002368927,-1.0,-1.0,-9999.0,-9999,199.00784301757812,275.0,280.0,-9999.0,-9999.0,0,5,0,275.11,84.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,114.13099765777588,-1.0,-1.0,-9999.0,-9999,122.42677307128906,275.0,280.0,-9999.0,-9999.0,5,5,0,276.11,0.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,114.19600009918213,-1.0,-1.0,-9999.0,-9999,85.71589660644531,275.0,280.0,-9999.0,-9999.0,10,5,0,277.11,17.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,114.26100254058838,-1.0,-1.0,-9999.0,-9999,104.12852478027344,275.0,280.0,-9999.0,-9999.0,15,5,0,278.11,54.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,114.32599782943726,-1.0,-1.0,-9999.0,-9999,99.0059585571289,275.0,280.0,-9999.0,-9999.0,20,5,0,279.11,44.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,114.3910002708435,-1.0,-1.0,-9999.0,-9999,83.63827514648438,275.0,280.0,-9999.0,-9999.0,25,5,0,275.11,14.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,114.45600271224976,-1.0,-1.0,-9999.0,-9999,82.61376953125,275.0,280.0,-9999.0,-9999.0,30,5,0,276.11,23.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,114.52099800109863,-1.0,-1.0,-9999.0,-9999,159.19482421875,275.0,280.0,-9999.0,-9999.0,35,5,0,277.11,39.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,114.58600044250488,-1.0,-1.0,-9999.0,-9999,68.35637664794922,275.0,280.0,-9999.0,-9999.0,40,5,0,278.11,5.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,114.65199708938599,-1.0,-1.0,-9999.0,-9999,95.46305847167969,275.0,280.0,-9999.0,-9999.0,45,5,0,279.11,41.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,114.71699953079224,-1.0,-1.0,-9999.0,-9999,106.64691162109375,275.0,280.0,-9999.0,-9999.0,50,5,0,275.11,15.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,114.78200197219849,-1.0,-1.0,-9999.0,-9999,68.35637664794922,275.0,280.0,-9999.0,-9999.0,55,5,0,276.11,25.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,114.84699726104736,-1.0,-1.0,-9999.0,-9999,68.85433959960938,275.0,280.0,-9999.0,-9999.0,60,5,0,277.11,0.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,114.91199970245361,-1.0,-1.0,-9999.0,-9999,61.21338653564453,275.0,280.0,-9999.0,-9999.0,65,5,0,278.11,25.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,114.97600078582764,-1.0,-1.0,-9999.0,-9999,88.24858093261719,275.0,280.0,-9999.0,-9999.0,70,5,0,279.11,19.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.04299879074097,-1.0,-1.0,-9999.0,-9999,83.93730163574219,275.0,280.0,-9999.0,-9999.0,75,5,0,275.11,0.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.10800123214722,-1.0,-1.0,-9999.0,-9999,64.28692626953125,275.0,280.0,-9999.0,-9999.0,80,5,0,276.11,18.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.1729965209961,-1.0,-1.0,-9999.0,-9999,83.63827514648438,275.0,280.0,-9999.0,-9999.0,85,5,0,277.11,48.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.23799896240234,-1.0,-1.0,-9999.0,-9999,72.41152954101562,275.0,280.0,-9999.0,-9999.0,90,5,0,278.11,0.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.3030014038086,-1.0,-1.0,-9999.0,-9999,33.665931701660156,275.0,280.0,-9999.0,-9999.0,95,5,0,279.11,38.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.36799669265747,-1.0,-1.0,-9999.0,-9999,34.16389083862305,275.0,280.0,-9999.0,-9999.0,100,5,0,275.11,6.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.43299913406372,-1.0,-1.0,-9999.0,-9999,66.33594512939453,275.0,280.0,-9999.0,-9999.0,105,5,0,276.11,11.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.49800157546997,-1.0,-1.0,-9999.0,-9999,18.355438232421875,275.0,280.0,-9999.0,-9999.0,110,5,0,277.11,34.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.56299686431885,-1.0,-1.0,-9999.0,-9999,41.29258346557617,275.0,280.0,-9999.0,-9999.0,115,5,0,278.11,23.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.6279993057251,-1.0,-1.0,-9999.0,-9999,67.27467346191406,275.0,280.0,-9999.0,-9999.0,120,5,0,279.11,25.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.69300174713135,-1.0,-1.0,-9999.0,-9999,64.75628662109375,275.0,280.0,-9999.0,-9999.0,125,5,0,275.11,8.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.75799703598022,-1.0,-1.0,-9999.0,-9999,48.45702362060547,275.0,280.0,-9999.0,-9999.0,130,5,0,276.11,29.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.82299947738647,-1.0,-1.0,-9999.0,-9999,86.7118148803711,275.0,280.0,-9999.0,-9999.0,135,5,0,277.11,26.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.88800191879272,-1.0,-1.0,-9999.0,-9999,123.56566619873047,275.0,280.0,-9999.0,-9999.0,140,5,0,278.11,6.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.9529972076416,-1.0,-1.0,-9999.0,-9999,69.92173767089844,275.0,280.0,-9999.0,-9999.0,145,5,0,279.11,14.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,116.01799964904785,-1.0,-1.0,-9999.0,-9999,74.50344848632812,275.0,280.0,-9999.0,-9999.0,150,5,0,275.11,53.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,116.08700037002563,-1.0,-1.0,-9999.0,-9999,95.40586853027344,275.0,280.0,-9999.0,-9999.0,155,5,0,276.11,0.0,,,,,,,,,,
