error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,270.1049995422363,-1.0,-1.0,-9999.0,-9999,228.08050537109375,319.0,326.0,-9999.0,-9999.0,0,7,0,319.21,66.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,270.2610111236572,-1.0,-1.0,-9999.0,-9999,137.056396484375,319.0,326.0,-9999.0,-9999.0,7,7,0,320.21,48.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,270.4460048675537,-1.0,-1.0,-9999.0,-9999,229.10501098632812,319.0,326.0,-9999.0,-9999.0,14,7,0,321.21,37.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,270.6279945373535,-1.0,-1.0,-9999.0,-9999,261.4284362792969,319.0,326.0,-9999.0,-9999.0,21,7,0,322.21,32.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,270.8100128173828,-1.0,-1.0,-9999.0,-9999,275.47613525390625,319.0,326.0,-9999.0,-9999.0,28,7,0,323.21,7.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,270.9920024871826,-1.0,-1.0,-9999.0,-9999,251.30545043945312,319.0,326.0,-9999.0,-9999.0,35,7,0,324.21,12.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,271.1739921569824,-1.0,-1.0,-9999.0,-9999,174.19894409179688,319.0,326.0,-9999.0,-9999.0,42,7,0,325.21,25.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,271.3589859008789,-1.0,-1.0,-9999.0,-9999,183.3328399658203,319.0,326.0,-9999.0,-9999.0,49,7,0,319.21,40.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,271.5410041809082,-1.0,-1.0,-9999.0,-9999,231.28408813476562,319.0,326.0,-9999.0,-9999.0,56,7,0,320.21,28.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,271.72399520874023,-1.0,-1.0,-9999.0,-9999,275.9017028808594,319.0,326.0,-9999.0,-9999.0,63,7,0,321.21,47.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,271.90601348876953,-1.0,-1.0,-9999.0,-9999,198.62179565429688,319.0,326.0,-9999.0,-9999.0,70,7,0,322.21,6.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,272.08800315856934,-1.0,-1.0,-9999.0,-9999,230.12953186035156,319.0,326.0,-9999.0,-9999.0,77,7,0,323.21,5.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,272.26999282836914,-1.0,-1.0,-9999.0,-9999,213.69398498535156,319.0,326.0,-9999.0,-9999.0,84,7,0,324.21,10.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
