error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,354.16900634765625,-1.0,-1.0,-9999.0,-9999,1164.4090576171875,374.0,387.0,-9999.0,-9999.0,0,13,0,374.21,28.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,354.3380069732666,-1.0,-1.0,-9999.0,-9999,3320.989013671875,374.0,387.0,-9999.0,-9999.0,13,13,0,375.21,157.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,354.50700759887695,-1.0,-1.0,-9999.0,-9999,975.7831420898438,374.0,387.0,-9999.0,-9999.0,26,13,0,376.21,710.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,354.6760082244873,-1.0,-1.0,-9999.0,-9999,1331.984375,374.0,387.0,-9999.0,-9999.0,39,13,0,377.21,16.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,354.84500885009766,-1.0,-1.0,-9999.0,-9999,293.8920593261719,374.0,387.0,-9999.0,-9999.0,52,13,0,378.21,43.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,355.014009475708,-1.0,-1.0,-9999.0,-9999,323.5354919433594,374.0,387.0,-9999.0,-9999.0,65,13,0,379.21,10.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,355.1869869232178,-1.0,-1.0,-9999.0,-9999,201.13462829589844,374.0,387.0,-9999.0,-9999.0,78,13,0,380.21,32.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,355.3559875488281,-1.0,-1.0,-9999.0,-9999,214.39529418945312,374.0,387.0,-9999.0,-9999.0,91,13,0,381.21,44.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,355.5249881744385,-1.0,-1.0,-9999.0,-9999,292.1139831542969,374.0,387.0,-9999.0,-9999.0,104,13,0,382.21,16.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,355.6939888000488,-1.0,-1.0,-9999.0,-9999,285.0677795410156,374.0,387.0,-9999.0,-9999.0,117,13,0,383.21,66.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,355.8629894256592,-1.0,-1.0,-9999.0,-9999,266.2882080078125,374.0,387.0,-9999.0,-9999.0,130,13,0,384.21,26.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,356.03199005126953,-1.0,-1.0,-9999.0,-9999,225.3218536376953,374.0,387.0,-9999.0,-9999.0,143,13,0,385.21,10.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,356.20399475097656,-1.0,-1.0,-9999.0,-9999,209.9589080810547,374.0,387.0,-9999.0,-9999.0,156,13,0,386.21,5.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,356.3729953765869,-1.0,-1.0,-9999.0,-9999,149.8119659423828,374.0,387.0,-9999.0,-9999.0,169,13,0,374.21,30.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,356.54199600219727,-1.0,-1.0,-9999.0,-9999,644.5745849609375,374.0,387.0,-9999.0,-9999.0,182,13,0,375.21,0.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,356.7109966278076,-1.0,-1.0,-9999.0,-9999,1335.381591796875,374.0,387.0,-9999.0,-9999.0,195,13,0,376.21,29.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,356.87999725341797,-1.0,-1.0,-9999.0,-9999,1988.697021484375,374.0,387.0,-9999.0,-9999.0,208,13,0,377.21,49.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,357.0489978790283,-1.0,-1.0,-9999.0,-9999,997.81005859375,374.0,387.0,-9999.0,-9999.0,221,13,0,378.21,11.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,357.2220039367676,-1.0,-1.0,-9999.0,-9999,554.0223999023438,374.0,387.0,-9999.0,-9999.0,234,13,0,379.21,29.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,357.39100456237793,-1.0,-1.0,-9999.0,-9999,2114.151123046875,374.0,387.0,-9999.0,-9999.0,247,13,0,380.21,7.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,357.5600051879883,-1.0,-1.0,-9999.0,-9999,2141.10791015625,374.0,387.0,-9999.0,-9999.0,260,13,0,381.21,26.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,357.72900581359863,-1.0,-1.0,-9999.0,-9999,1844.4534912109375,374.0,387.0,-9999.0,-9999.0,273,13,0,382.21,1295.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,357.898006439209,-1.0,-1.0,-9999.0,-9999,2396.192626953125,374.0,387.0,-9999.0,-9999.0,286,13,0,383.21,22.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,358.06700706481934,-1.0,-1.0,-9999.0,-9999,2156.39404296875,374.0,387.0,-9999.0,-9999.0,299,13,0,384.21,762.0,,b' ',,,b' ',,b' ',,b' ',b' '
