error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,114.0779972076416,-1.0,-1.0,-9999.0,-9999,912.8616943359375,302.0,308.0,-9999.0,-9999.0,0,6,0,302.13,750.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,114.15600299835205,-1.0,-1.0,-9999.0,-9999,428.638916015625,302.0,308.0,-9999.0,-9999.0,6,6,0,303.13,63.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,114.23400163650513,-1.0,-1.0,-9999.0,-9999,1438.3992919921875,302.0,308.0,-9999.0,-9999.0,12,6,0,304.13,39.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,114.3120002746582,-1.0,-1.0,-9999.0,-9999,134.4552764892578,302.0,308.0,-9999.0,-9999.0,18,6,0,305.13,17.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,114.38999891281128,-1.0,-1.0,-9999.0,-9999,181.9464569091797,302.0,308.0,-9999.0,-9999.0,24,6,0,306.13,17.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,114.46799755096436,-1.0,-1.0,-9999.0,-9999,148.50515747070312,302.0,308.0,-9999.0,-9999.0,30,6,0,307.13,26.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,114.5460033416748,-1.0,-1.0,-9999.0,-9999,145.32412719726562,302.0,308.0,-9999.0,-9999.0,36,6,0,302.13,57.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,114.62400197982788,-1.0,-1.0,-9999.0,-9999,97.87010192871094,302.0,308.0,-9999.0,-9999.0,42,6,0,303.13,39.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,114.70200061798096,-1.0,-1.0,-9999.0,-9999,107.52865600585938,302.0,308.0,-9999.0,-9999.0,48,6,0,304.13,314.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,114.77999925613403,-1.0,-1.0,-9999.0,-9999,84.05776977539062,302.0,308.0,-9999.0,-9999.0,54,6,0,305.13,11.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,114.85799789428711,-1.0,-1.0,-9999.0,-9999,122.84060668945312,302.0,308.0,-9999.0,-9999.0,60,6,0,306.13,7.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,114.93599653244019,-1.0,-1.0,-9999.0,-9999,94.75940704345703,302.0,308.0,-9999.0,-9999.0,66,6,0,307.13,0.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.01400232315063,-1.0,-1.0,-9999.0,-9999,64.70352172851562,302.0,308.0,-9999.0,-9999.0,72,6,0,302.13,17.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
