error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,138.13000202178955,-1.0,-1.0,-9999.0,-9999,130.9365234375,325.0,333.0,-9999.0,-9999.0,0,8,0,325.21,29.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,138.27499866485596,-1.0,-1.0,-9999.0,-9999,189.3760528564453,325.0,333.0,-9999.0,-9999.0,8,8,0,326.21,16.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,138.4719944000244,-1.0,-1.0,-9999.0,-9999,223.015625,325.0,333.0,-9999.0,-9999.0,16,8,0,327.21,24.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,138.66700172424316,-1.0,-1.0,-9999.0,-9999,90.0248031616211,325.0,333.0,-9999.0,-9999.0,24,8,0,328.21,0.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,138.86199474334717,-1.0,-1.0,-9999.0,-9999,170.34320068359375,325.0,333.0,-9999.0,-9999.0,32,8,0,329.21,12.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,139.05700206756592,-1.0,-1.0,-9999.0,-9999,106.34822845458984,325.0,333.0,-9999.0,-9999.0,40,8,0,330.21,19.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,139.25199508666992,-1.0,-1.0,-9999.0,-9999,93.58943939208984,325.0,333.0,-9999.0,-9999.0,48,8,0,331.21,11.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.45000648498535,-1.0,-1.0,-9999.0,-9999,152.43011474609375,325.0,333.0,-9999.0,-9999.0,56,8,0,332.21,19.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.64499950408936,-1.0,-1.0,-9999.0,-9999,207.15158081054688,325.0,333.0,-9999.0,-9999.0,64,8,0,325.21,24.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.8400068283081,-1.0,-1.0,-9999.0,-9999,194.3504638671875,325.0,333.0,-9999.0,-9999.0,72,8,0,326.21,6.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,140.0349998474121,-1.0,-1.0,-9999.0,-9999,136.05908203125,325.0,333.0,-9999.0,-9999.0,80,8,0,327.21,109.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,140.2299928665161,-1.0,-1.0,-9999.0,-9999,234.90335083007812,325.0,333.0,-9999.0,-9999.0,88,8,0,328.21,15.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,140.42900562286377,-1.0,-1.0,-9999.0,-9999,271.7857971191406,325.0,333.0,-9999.0,-9999.0,96,8,0,329.21,12.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,140.62399864196777,-1.0,-1.0,-9999.0,-9999,247.6568603515625,325.0,333.0,-9999.0,-9999.0,104,8,0,330.21,0.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
