error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,312.1039867401123,-1.0,-1.0,-9999.0,-9999,2804.919921875,301.0,309.0,-9999.0,-9999.0,0,8,0,301.21,7.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,312.2080135345459,-1.0,-1.0,-9999.0,-9999,246.72866821289062,301.0,309.0,-9999.0,-9999.0,8,8,0,302.21,620.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,312.31201171875,-1.0,-1.0,-9999.0,-9999,201.68167114257812,301.0,309.0,-9999.0,-9999.0,16,8,0,303.21,34.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,312.4160099029541,-1.0,-1.0,-9999.0,-9999,1334.27734375,301.0,309.0,-9999.0,-9999.0,24,8,0,304.21,12.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,312.5200080871582,-1.0,-1.0,-9999.0,-9999,350.51708984375,301.0,309.0,-9999.0,-9999.0,32,8,0,305.21,40.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,312.6240062713623,-1.0,-1.0,-9999.0,-9999,670.65478515625,301.0,309.0,-9999.0,-9999.0,40,8,0,306.21,2034.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,312.7280044555664,-1.0,-1.0,-9999.0,-9999,248.29696655273438,301.0,309.0,-9999.0,-9999.0,48,8,0,307.21,44.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,312.8320026397705,-1.0,-1.0,-9999.0,-9999,393.2444152832031,301.0,309.0,-9999.0,-9999.0,56,8,0,308.21,14.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,312.9360008239746,-1.0,-1.0,-9999.0,-9999,973.0973510742188,301.0,309.0,-9999.0,-9999.0,64,8,0,301.21,39.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.0430030822754,-1.0,-1.0,-9999.0,-9999,1409.0667724609375,301.0,309.0,-9999.0,-9999.0,72,8,0,302.21,12.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.1470012664795,-1.0,-1.0,-9999.0,-9999,1438.2469482421875,301.0,309.0,-9999.0,-9999.0,80,8,0,303.21,72.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.2509994506836,-1.0,-1.0,-9999.0,-9999,1099.1097412109375,301.0,309.0,-9999.0,-9999.0,88,8,0,304.21,30.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.3549976348877,-1.0,-1.0,-9999.0,-9999,753.833251953125,301.0,309.0,-9999.0,-9999.0,96,8,0,305.21,5.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.4589958190918,-1.0,-1.0,-9999.0,-9999,1799.4031982421875,301.0,309.0,-9999.0,-9999.0,104,8,0,306.21,31.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.5629940032959,-1.0,-1.0,-9999.0,-9999,1835.5159912109375,301.0,309.0,-9999.0,-9999.0,112,8,0,307.21,0.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.6669921875,-1.0,-1.0,-9999.0,-9999,1983.2191162109375,301.0,309.0,-9999.0,-9999.0,120,8,0,308.21,58.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.7709903717041,-1.0,-1.0,-9999.0,-9999,4485.5244140625,301.0,309.0,-9999.0,-9999.0,128,8,0,301.21,52.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.87598991394043,-1.0,-1.0,-9999.0,-9999,4757.55078125,301.0,309.0,-9999.0,-9999.0,136,8,0,302.21,26.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.9789867401123,-1.0,-1.0,-9999.0,-9999,2350.036376953125,301.0,309.0,-9999.0,-9999.0,144,8,0,303.21,37.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.0869903564453,-1.0,-1.0,-9999.0,-9999,3574.30517578125,301.0,309.0,-9999.0,-9999.0,152,8,0,304.21,28.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.1909885406494,-1.0,-1.0,-9999.0,-9999,2544.18701171875,301.0,309.0,-9999.0,-9999.0,160,8,0,305.21,13.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.2949867248535,-1.0,-1.0,-9999.0,-9999,3307.3486328125,301.0,309.0,-9999.0,-9999.0,168,8,0,306.21,5.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.3990135192871,-1.0,-1.0,-9999.0,-9999,4706.24609375,301.0,309.0,-9999.0,-9999.0,176,8,0,307.21,31.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.5030117034912,-1.0,-1.0,-9999.0,-9999,1995.5552978515625,301.0,309.0,-9999.0,-9999.0,184,8,0,308.21,10.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.6070098876953,-1.0,-1.0,-9999.0,-9999,1223.1046142578125,301.0,309.0,-9999.0,-9999.0,192,8,0,301.21,27.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.7110080718994,-1.0,-1.0,-9999.0,-9999,1619.538330078125,301.0,309.0,-9999.0,-9999.0,200,8,0,302.21,781.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.8150062561035,-1.0,-1.0,-9999.0,-9999,1321.457763671875,301.0,309.0,-9999.0,-9999.0,208,8,0,303.21,444.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.9190044403076,-1.0,-1.0,-9999.0,-9999,1963.8271484375,301.0,309.0,-9999.0,-9999.0,216,8,0,304.21,30.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,315.0230026245117,-1.0,-1.0,-9999.0,-9999,1284.0762939453125,301.0,309.0,-9999.0,-9999.0,224,8,0,305.21,7.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,315.1300048828125,-1.0,-1.0,-9999.0,-9999,1270.22705078125,301.0,309.0,-9999.0,-9999.0,232,8,0,306.21,8.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,315.2340030670166,-1.0,-1.0,-9999.0,-9999,1233.8935546875,301.0,309.0,-9999.0,-9999.0,240,8,0,307.21,0.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,315.3380012512207,-1.0,-1.0,-9999.0,-9999,100.3259506225586,301.0,309.0,-9999.0,-9999.0,248,8,0,308.21,38.0,,,,,,,,,,
