error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,270.10600090026855,-1.0,-1.0,-9999.0,-9999,1155.386962890625,319.0,326.0,-9999.0,-9999.0,0,7,0,319.21,86.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,270.26201248168945,-1.0,-1.0,-9999.0,-9999,351.1500549316406,319.0,326.0,-9999.0,-9999.0,7,7,0,320.21,68.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,270.44800758361816,-1.0,-1.0,-9999.0,-9999,723.021728515625,319.0,326.0,-9999.0,-9999.0,14,7,0,321.21,883.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,270.62999725341797,-1.0,-1.0,-9999.0,-9999,355.237548828125,319.0,326.0,-9999.0,-9999.0,21,7,0,322.21,56.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,270.8119869232178,-1.0,-1.0,-9999.0,-9999,264.8808898925781,319.0,326.0,-9999.0,-9999.0,28,7,0,323.21,23.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,270.99400520324707,-1.0,-1.0,-9999.0,-9999,396.73822021484375,319.0,326.0,-9999.0,-9999.0,35,7,0,324.21,26.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,271.1759948730469,-1.0,-1.0,-9999.0,-9999,330.9290771484375,319.0,326.0,-9999.0,-9999.0,42,7,0,325.21,14.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,271.3629913330078,-1.0,-1.0,-9999.0,-9999,272.31781005859375,319.0,326.0,-9999.0,-9999.0,49,7,0,319.21,40.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,271.5450096130371,-1.0,-1.0,-9999.0,-9999,294.326416015625,319.0,326.0,-9999.0,-9999.0,56,7,0,320.21,38.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,271.7269992828369,-1.0,-1.0,-9999.0,-9999,243.64198303222656,319.0,326.0,-9999.0,-9999.0,63,7,0,321.21,50.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,271.9089889526367,-1.0,-1.0,-9999.0,-9999,243.12973022460938,319.0,326.0,-9999.0,-9999.0,70,7,0,322.21,51.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,272.091007232666,-1.0,-1.0,-9999.0,-9999,154.0602569580078,319.0,326.0,-9999.0,-9999.0,77,7,0,323.21,35.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,272.2729969024658,-1.0,-1.0,-9999.0,-9999,240.5947265625,319.0,326.0,-9999.0,-9999.0,84,7,0,324.21,99.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,272.45598793029785,-1.0,-1.0,-9999.0,-9999,209.86724853515625,319.0,326.0,-9999.0,-9999.0,91,7,0,325.21,38.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,272.6390075683594,-1.0,-1.0,-9999.0,-9999,315.8963928222656,319.0,326.0,-9999.0,-9999.0,98,7,0,319.21,52.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,272.8209972381592,-1.0,-1.0,-9999.0,-9999,261.8468017578125,319.0,326.0,-9999.0,-9999.0,105,7,0,320.21,49.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,273.002986907959,-1.0,-1.0,-9999.0,-9999,157.13905334472656,319.0,326.0,-9999.0,-9999.0,112,7,0,321.21,44.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,273.1850051879883,-1.0,-1.0,-9999.0,-9999,149.4578399658203,319.0,326.0,-9999.0,-9999.0,119,7,0,322.21,38.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,273.3679962158203,-1.0,-1.0,-9999.0,-9999,164.30538940429688,319.0,326.0,-9999.0,-9999.0,126,7,0,323.21,56.0,,b' ',,,b' ',,b' ',,b' ',b' '
