error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,312.1039867401123,-1.0,-1.0,-9999.0,-9999,2627.148193359375,301.0,309.0,-9999.0,-9999.0,0,8,0,301.21,68.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,312.2080135345459,-1.0,-1.0,-9999.0,-9999,4882.099609375,301.0,309.0,-9999.0,-9999.0,8,8,0,302.21,29.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,312.31201171875,-1.0,-1.0,-9999.0,-9999,3212.31103515625,301.0,309.0,-9999.0,-9999.0,16,8,0,303.21,2159.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,312.4160099029541,-1.0,-1.0,-9999.0,-9999,2464.51513671875,301.0,309.0,-9999.0,-9999.0,24,8,0,304.21,229.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,312.5200080871582,-1.0,-1.0,-9999.0,-9999,5369.435546875,301.0,309.0,-9999.0,-9999.0,32,8,0,305.21,26.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,312.6240062713623,-1.0,-1.0,-9999.0,-9999,938.2277221679688,301.0,309.0,-9999.0,-9999.0,40,8,0,306.21,37.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,312.7280044555664,-1.0,-1.0,-9999.0,-9999,2575.34228515625,301.0,309.0,-9999.0,-9999.0,48,8,0,307.21,20.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,312.8320026397705,-1.0,-1.0,-9999.0,-9999,3391.144287109375,301.0,309.0,-9999.0,-9999.0,56,8,0,308.21,59.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,312.9360008239746,-1.0,-1.0,-9999.0,-9999,1208.310546875,301.0,309.0,-9999.0,-9999.0,64,8,0,301.21,20.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.0440044403076,-1.0,-1.0,-9999.0,-9999,1509.822509765625,301.0,309.0,-9999.0,-9999.0,72,8,0,302.21,49.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.1480026245117,-1.0,-1.0,-9999.0,-9999,1966.3394775390625,301.0,309.0,-9999.0,-9999.0,80,8,0,303.21,2927.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.2520008087158,-1.0,-1.0,-9999.0,-9999,2153.935546875,301.0,309.0,-9999.0,-9999.0,88,8,0,304.21,1803.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.3559989929199,-1.0,-1.0,-9999.0,-9999,479.828125,301.0,309.0,-9999.0,-9999.0,96,8,0,305.21,21.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.459997177124,-1.0,-1.0,-9999.0,-9999,2110.87841796875,301.0,309.0,-9999.0,-9999.0,104,8,0,306.21,26.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.5639953613281,-1.0,-1.0,-9999.0,-9999,1622.213623046875,301.0,309.0,-9999.0,-9999.0,112,8,0,307.21,37.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.6679935455322,-1.0,-1.0,-9999.0,-9999,244.6889190673828,301.0,309.0,-9999.0,-9999.0,120,8,0,308.21,0.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.7719917297363,-1.0,-1.0,-9999.0,-9999,2489.3681640625,301.0,309.0,-9999.0,-9999.0,128,8,0,301.21,37.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.87598991394043,-1.0,-1.0,-9999.0,-9999,928.8969116210938,301.0,309.0,-9999.0,-9999.0,136,8,0,302.21,5.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.97998809814453,-1.0,-1.0,-9999.0,-9999,157.6273956298828,301.0,309.0,-9999.0,-9999.0,144,8,0,303.21,2700.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.08799171447754,-1.0,-1.0,-9999.0,-9999,1096.543701171875,301.0,309.0,-9999.0,-9999.0,152,8,0,304.21,36.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.19198989868164,-1.0,-1.0,-9999.0,-9999,688.1908569335938,301.0,309.0,-9999.0,-9999.0,160,8,0,305.21,67.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.29598808288574,-1.0,-1.0,-9999.0,-9999,630.9843139648438,301.0,309.0,-9999.0,-9999.0,168,8,0,306.21,18.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.39998626708984,-1.0,-1.0,-9999.0,-9999,1167.828857421875,301.0,309.0,-9999.0,-9999.0,176,8,0,307.21,6.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.50401306152344,-1.0,-1.0,-9999.0,-9999,843.709716796875,301.0,309.0,-9999.0,-9999.0,184,8,0,308.21,343.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.60801124572754,-1.0,-1.0,-9999.0,-9999,534.6123046875,301.0,309.0,-9999.0,-9999.0,192,8,0,301.21,19.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.71200942993164,-1.0,-1.0,-9999.0,-9999,640.2473754882812,301.0,309.0,-9999.0,-9999.0,200,8,0,302.21,29.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.81600761413574,-1.0,-1.0,-9999.0,-9999,1478.4222412109375,301.0,309.0,-9999.0,-9999.0,208,8,0,303.21,393.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.92000579833984,-1.0,-1.0,-9999.0,-9999,934.974365234375,301.0,309.0,-9999.0,-9999.0,216,8,0,304.21,1918.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,315.02400398254395,-1.0,-1.0,-9999.0,-9999,236.26467895507812,301.0,309.0,-9999.0,-9999.0,224,8,0,305.21,30.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,315.1310062408447,-1.0,-1.0,-9999.0,-9999,422.0550537109375,301.0,309.0,-9999.0,-9999.0,232,8,0,306.21,17.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,315.2350044250488,-1.0,-1.0,-9999.0,-9999,478.9833679199219,301.0,309.0,-9999.0,-9999.0,240,8,0,307.21,12.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,315.33900260925293,-1.0,-1.0,-9999.0,-9999,263.4626159667969,301.0,309.0,-9999.0,-9999.0,248,8,0,308.21,46.0,,,,,,,,,,
