error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,144.07899856567383,-1.0,-1.0,-9999.0,-9999,142.95301818847656,259.0,264.0,-9999.0,-9999.0,0,5,0,259.17,27.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,144.18299674987793,-1.0,-1.0,-9999.0,-9999,1182.7677001953125,259.0,264.0,-9999.0,-9999.0,5,5,0,260.17,0.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,144.35199737548828,-1.0,-1.0,-9999.0,-9999,94.99677276611328,259.0,264.0,-9999.0,-9999.0,10,5,0,261.17,46.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,144.52199935913086,-1.0,-1.0,-9999.0,-9999,73.5255355834961,259.0,264.0,-9999.0,-9999.0,15,5,0,262.17,13.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,144.6909999847412,-1.0,-1.0,-9999.0,-9999,79.65084838867188,259.0,264.0,-9999.0,-9999.0,20,5,0,263.17,57.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,144.8610019683838,-1.0,-1.0,-9999.0,-9999,106.74602508544922,259.0,264.0,-9999.0,-9999.0,25,5,0,259.17,16.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,145.03000259399414,-1.0,-1.0,-9999.0,-9999,66.3757095336914,259.0,264.0,-9999.0,-9999.0,30,5,0,260.17,34.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,145.1990032196045,-1.0,-1.0,-9999.0,-9999,314.22064208984375,259.0,264.0,-9999.0,-9999.0,35,5,0,261.17,17.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,145.36800384521484,-1.0,-1.0,-9999.0,-9999,359.74615478515625,259.0,264.0,-9999.0,-9999.0,40,5,0,262.17,1065.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,145.53999423980713,-1.0,-1.0,-9999.0,-9999,208.25978088378906,259.0,264.0,-9999.0,-9999.0,45,5,0,263.17,50.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,145.70899486541748,-1.0,-1.0,-9999.0,-9999,174.27679443359375,259.0,264.0,-9999.0,-9999.0,50,5,0,259.17,28.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
