error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,354.16900634765625,-1.0,-1.0,-9999.0,-9999,1114.55908203125,374.0,387.0,-9999.0,-9999.0,0,13,0,374.21,683.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,354.3380069732666,-1.0,-1.0,-9999.0,-9999,1560.2259521484375,374.0,387.0,-9999.0,-9999.0,13,13,0,375.21,93.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,354.50700759887695,-1.0,-1.0,-9999.0,-9999,664.84814453125,374.0,387.0,-9999.0,-9999.0,26,13,0,376.21,26.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,354.6760082244873,-1.0,-1.0,-9999.0,-9999,243.24778747558594,374.0,387.0,-9999.0,-9999.0,39,13,0,377.21,134.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,354.84500885009766,-1.0,-1.0,-9999.0,-9999,226.3495635986328,374.0,387.0,-9999.0,-9999.0,52,13,0,378.21,29.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,355.014009475708,-1.0,-1.0,-9999.0,-9999,213.54629516601562,374.0,387.0,-9999.0,-9999.0,65,13,0,379.21,0.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,355.18601417541504,-1.0,-1.0,-9999.0,-9999,229.93850708007812,374.0,387.0,-9999.0,-9999.0,78,13,0,380.21,40.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,355.3549861907959,-1.0,-1.0,-9999.0,-9999,466.0750427246094,374.0,387.0,-9999.0,-9999.0,91,13,0,381.21,30.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,355.52398681640625,-1.0,-1.0,-9999.0,-9999,343.3985290527344,374.0,387.0,-9999.0,-9999.0,104,13,0,382.21,25.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,355.6929874420166,-1.0,-1.0,-9999.0,-9999,236.59056091308594,374.0,387.0,-9999.0,-9999.0,117,13,0,383.21,18.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,355.86198806762695,-1.0,-1.0,-9999.0,-9999,217.1300048828125,374.0,387.0,-9999.0,-9999.0,130,13,0,384.21,27.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,356.0309886932373,-1.0,-1.0,-9999.0,-9999,271.9195556640625,374.0,387.0,-9999.0,-9999.0,143,13,0,385.21,5.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,356.20399475097656,-1.0,-1.0,-9999.0,-9999,248.36721801757812,374.0,387.0,-9999.0,-9999.0,156,13,0,386.21,5.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,356.3729953765869,-1.0,-1.0,-9999.0,-9999,199.20623779296875,374.0,387.0,-9999.0,-9999.0,169,13,0,374.21,12.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,356.54199600219727,-1.0,-1.0,-9999.0,-9999,234.02821350097656,374.0,387.0,-9999.0,-9999.0,182,13,0,375.21,12.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
