error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,312.1039867401123,-1.0,-1.0,-9999.0,-9999,538.9714965820312,301.0,309.0,-9999.0,-9999.0,0,8,0,301.21,54.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,312.2080135345459,-1.0,-1.0,-9999.0,-9999,979.47802734375,301.0,309.0,-9999.0,-9999.0,8,8,0,302.21,23.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,312.31201171875,-1.0,-1.0,-9999.0,-9999,1551.7408447265625,301.0,309.0,-9999.0,-9999.0,16,8,0,303.21,5.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,312.4160099029541,-1.0,-1.0,-9999.0,-9999,669.0338134765625,301.0,309.0,-9999.0,-9999.0,24,8,0,304.21,23.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,312.5200080871582,-1.0,-1.0,-9999.0,-9999,889.5796508789062,301.0,309.0,-9999.0,-9999.0,32,8,0,305.21,27.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,312.6240062713623,-1.0,-1.0,-9999.0,-9999,1086.252197265625,301.0,309.0,-9999.0,-9999.0,40,8,0,306.21,0.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,312.7280044555664,-1.0,-1.0,-9999.0,-9999,2208.2734375,301.0,309.0,-9999.0,-9999.0,48,8,0,307.21,55.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,312.8320026397705,-1.0,-1.0,-9999.0,-9999,2090.532958984375,301.0,309.0,-9999.0,-9999.0,56,8,0,308.21,351.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,312.9360008239746,-1.0,-1.0,-9999.0,-9999,1860.3726806640625,301.0,309.0,-9999.0,-9999.0,64,8,0,301.21,13.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.0430030822754,-1.0,-1.0,-9999.0,-9999,1981.1298828125,301.0,309.0,-9999.0,-9999.0,72,8,0,302.21,5.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.1470012664795,-1.0,-1.0,-9999.0,-9999,2093.195556640625,301.0,309.0,-9999.0,-9999.0,80,8,0,303.21,852.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.2509994506836,-1.0,-1.0,-9999.0,-9999,1607.115478515625,301.0,309.0,-9999.0,-9999.0,88,8,0,304.21,22.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.3549976348877,-1.0,-1.0,-9999.0,-9999,2019.435791015625,301.0,309.0,-9999.0,-9999.0,96,8,0,305.21,21.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.4589958190918,-1.0,-1.0,-9999.0,-9999,2686.96826171875,301.0,309.0,-9999.0,-9999.0,104,8,0,306.21,18.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.5629940032959,-1.0,-1.0,-9999.0,-9999,2071.180419921875,301.0,309.0,-9999.0,-9999.0,112,8,0,307.21,18.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.6669921875,-1.0,-1.0,-9999.0,-9999,976.2354125976562,301.0,309.0,-9999.0,-9999.0,120,8,0,308.21,29.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.7709903717041,-1.0,-1.0,-9999.0,-9999,1053.77197265625,301.0,309.0,-9999.0,-9999.0,128,8,0,301.21,17.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.8749885559082,-1.0,-1.0,-9999.0,-9999,1166.04052734375,301.0,309.0,-9999.0,-9999.0,136,8,0,302.21,564.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.9789867401123,-1.0,-1.0,-9999.0,-9999,1489.7188720703125,301.0,309.0,-9999.0,-9999.0,144,8,0,303.21,773.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.0869903564453,-1.0,-1.0,-9999.0,-9999,157.01434326171875,301.0,309.0,-9999.0,-9999.0,152,8,0,304.21,33.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.1909885406494,-1.0,-1.0,-9999.0,-9999,1090.125244140625,301.0,309.0,-9999.0,-9999.0,160,8,0,305.21,6.0,,b' ',,,b' ',,b' ',,b' ',b' '
