error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,144.08400535583496,-1.0,-1.0,-9999.0,-9999,99.74864196777344,259.0,264.0,-9999.0,-9999.0,0,5,0,259.17,36.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,144.18800354003906,-1.0,-1.0,-9999.0,-9999,53.56973648071289,259.0,264.0,-9999.0,-9999.0,5,5,0,260.17,5.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,144.3570041656494,-1.0,-1.0,-9999.0,-9999,59.13077926635742,259.0,264.0,-9999.0,-9999.0,10,5,0,261.17,20.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,144.52799320220947,-1.0,-1.0,-9999.0,-9999,128.65423583984375,259.0,264.0,-9999.0,-9999.0,15,5,0,262.17,20.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,144.69899654388428,-1.0,-1.0,-9999.0,-9999,117.38459777832031,259.0,264.0,-9999.0,-9999.0,20,5,0,263.17,20.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,144.86799716949463,-1.0,-1.0,-9999.0,-9999,99.3818588256836,259.0,264.0,-9999.0,-9999.0,25,5,0,259.17,18.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,145.03699779510498,-1.0,-1.0,-9999.0,-9999,70.43834686279297,259.0,264.0,-9999.0,-9999.0,30,5,0,260.17,8.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,145.20599842071533,-1.0,-1.0,-9999.0,-9999,80.3546142578125,259.0,264.0,-9999.0,-9999.0,35,5,0,261.17,20.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,145.37499904632568,-1.0,-1.0,-9999.0,-9999,51.30147171020508,259.0,264.0,-9999.0,-9999.0,40,5,0,262.17,8.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,145.54500102996826,-1.0,-1.0,-9999.0,-9999,56.93628692626953,259.0,264.0,-9999.0,-9999.0,45,5,0,263.17,0.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,145.7140016555786,-1.0,-1.0,-9999.0,-9999,625.5426635742188,259.0,264.0,-9999.0,-9999.0,50,5,0,259.17,9.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,145.88300228118896,-1.0,-1.0,-9999.0,-9999,352.4364013671875,259.0,264.0,-9999.0,-9999.0,55,5,0,260.17,0.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,146.05200290679932,-1.0,-1.0,-9999.0,-9999,96.3083267211914,259.0,264.0,-9999.0,-9999.0,60,5,0,261.17,6.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,146.22100353240967,-1.0,-1.0,-9999.0,-9999,59.71681213378906,259.0,264.0,-9999.0,-9999.0,65,5,0,262.17,5.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,146.39000415802002,-1.0,-1.0,-9999.0,-9999,89.5752182006836,259.0,264.0,-9999.0,-9999.0,70,5,0,263.17,39.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,146.56299591064453,-1.0,-1.0,-9999.0,-9999,96.08908081054688,259.0,264.0,-9999.0,-9999.0,75,5,0,259.17,35.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,146.73199653625488,-1.0,-1.0,-9999.0,-9999,101.8335189819336,259.0,264.0,-9999.0,-9999.0,80,5,0,260.17,5.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,146.90099716186523,-1.0,-1.0,-9999.0,-9999,110.65149688720703,259.0,264.0,-9999.0,-9999.0,85,5,0,261.17,19.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,147.0699977874756,-1.0,-1.0,-9999.0,-9999,141.27932739257812,259.0,264.0,-9999.0,-9999.0,90,5,0,262.17,37.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,147.23899841308594,-1.0,-1.0,-9999.0,-9999,76.65919494628906,259.0,264.0,-9999.0,-9999.0,95,5,0,263.17,34.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,147.4079990386963,-1.0,-1.0,-9999.0,-9999,85.2579345703125,259.0,264.0,-9999.0,-9999.0,100,5,0,259.17,5.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,147.58100509643555,-1.0,-1.0,-9999.0,-9999,104.5044174194336,259.0,264.0,-9999.0,-9999.0,105,5,0,260.17,9.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,147.7500057220459,-1.0,-1.0,-9999.0,-9999,97.77130889892578,259.0,264.0,-9999.0,-9999.0,110,5,0,261.17,34.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,147.91900634765625,-1.0,-1.0,-9999.0,-9999,109.3160400390625,259.0,264.0,-9999.0,-9999.0,115,5,0,262.17,42.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,148.0880069732666,-1.0,-1.0,-9999.0,-9999,61.327354431152344,259.0,264.0,-9999.0,-9999.0,120,5,0,263.17,28.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,148.2569932937622,-1.0,-1.0,-9999.0,-9999,110.65149688720703,259.0,264.0,-9999.0,-9999.0,125,5,0,259.17,24.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,148.42599391937256,-1.0,-1.0,-9999.0,-9999,75.7801513671875,259.0,264.0,-9999.0,-9999.0,130,5,0,260.17,11.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,148.59899997711182,-1.0,-1.0,-9999.0,-9999,85.01972198486328,259.0,264.0,-9999.0,-9999.0,135,5,0,261.17,29.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,148.76800060272217,-1.0,-1.0,-9999.0,-9999,71.16984558105469,259.0,264.0,-9999.0,-9999.0,140,5,0,262.17,31.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,148.93700122833252,-1.0,-1.0,-9999.0,-9999,68.71817779541016,259.0,264.0,-9999.0,-9999.0,145,5,0,263.17,5.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,149.10600185394287,-1.0,-1.0,-9999.0,-9999,73.51187896728516,259.0,264.0,-9999.0,-9999.0,150,5,0,259.17,12.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,149.27500247955322,-1.0,-1.0,-9999.0,-9999,678.7456665039062,259.0,264.0,-9999.0,-9999.0,155,5,0,260.17,13.0,,,,,,,,,,
