error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,138.10699939727783,-1.0,-1.0,-9999.0,-9999,185.44505310058594,344.0,352.0,-9999.0,-9999.0,0,8,0,344.21,5.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,138.21099758148193,-1.0,-1.0,-9999.0,-9999,185.07827758789062,344.0,352.0,-9999.0,-9999.0,8,8,0,345.21,35.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,138.31499576568604,-1.0,-1.0,-9999.0,-9999,1256.0604248046875,344.0,352.0,-9999.0,-9999.0,16,8,0,346.21,17.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,138.42199802398682,-1.0,-1.0,-9999.0,-9999,182.22396850585938,344.0,352.0,-9999.0,-9999.0,24,8,0,347.21,35.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,138.52699756622314,-1.0,-1.0,-9999.0,-9999,122.4713134765625,344.0,352.0,-9999.0,-9999.0,32,8,0,348.21,5.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,138.63099575042725,-1.0,-1.0,-9999.0,-9999,167.44232177734375,344.0,352.0,-9999.0,-9999.0,40,8,0,349.21,0.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,138.73499393463135,-1.0,-1.0,-9999.0,-9999,223.79049682617188,344.0,352.0,-9999.0,-9999.0,48,8,0,350.21,37.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,138.8390064239502,-1.0,-1.0,-9999.0,-9999,78.08634948730469,344.0,352.0,-9999.0,-9999.0,56,8,0,351.21,53.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,138.9430046081543,-1.0,-1.0,-9999.0,-9999,139.77841186523438,344.0,352.0,-9999.0,-9999.0,64,8,0,344.21,28.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.0470027923584,-1.0,-1.0,-9999.0,-9999,75.37751007080078,344.0,352.0,-9999.0,-9999.0,72,8,0,345.21,23.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.1510009765625,-1.0,-1.0,-9999.0,-9999,95.3934326171875,344.0,352.0,-9999.0,-9999.0,80,8,0,346.21,5.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.2549991607666,-1.0,-1.0,-9999.0,-9999,145.2677459716797,344.0,352.0,-9999.0,-9999.0,88,8,0,347.21,12.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.3589973449707,-1.0,-1.0,-9999.0,-9999,128.39913940429688,344.0,352.0,-9999.0,-9999.0,96,8,0,348.21,24.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.4670009613037,-1.0,-1.0,-9999.0,-9999,137.2908935546875,344.0,352.0,-9999.0,-9999.0,104,8,0,349.21,59.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.5709991455078,-1.0,-1.0,-9999.0,-9999,105.2000732421875,344.0,352.0,-9999.0,-9999.0,112,8,0,350.21,16.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.6749973297119,-1.0,-1.0,-9999.0,-9999,101.6142807006836,344.0,352.0,-9999.0,-9999.0,120,8,0,351.21,19.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.77899551391602,-1.0,-1.0,-9999.0,-9999,165.64837646484375,344.0,352.0,-9999.0,-9999.0,128,8,0,344.21,12.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.88299369812012,-1.0,-1.0,-9999.0,-9999,155.21986389160156,344.0,352.0,-9999.0,-9999.0,136,8,0,345.21,30.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.98700618743896,-1.0,-1.0,-9999.0,-9999,142.2659149169922,344.0,352.0,-9999.0,-9999.0,144,8,0,346.21,13.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,140.09100437164307,-1.0,-1.0,-9999.0,-9999,151.70785522460938,344.0,352.0,-9999.0,-9999.0,152,8,0,347.21,26.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,140.19500255584717,-1.0,-1.0,-9999.0,-9999,109.77452850341797,344.0,352.0,-9999.0,-9999.0,160,8,0,348.21,21.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,140.29900074005127,-1.0,-1.0,-9999.0,-9999,177.10140991210938,344.0,352.0,-9999.0,-9999.0,168,8,0,349.21,18.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,140.40299892425537,-1.0,-1.0,-9999.0,-9999,147.64564514160156,344.0,352.0,-9999.0,-9999.0,176,8,0,350.21,1131.0,,b' ',,,b' ',,b' ',,b' ',b' '
