error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,153.0780029296875,-1.0,-1.0,-9999.0,-9999,4473.4873046875,289.0,295.0,-9999.0,-9999.0,0,6,0,289.11,35.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,153.1559944152832,-1.0,-1.0,-9999.0,-9999,3939.709228515625,289.0,295.0,-9999.0,-9999.0,6,6,0,290.11,641.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,153.23400020599365,-1.0,-1.0,-9999.0,-9999,2829.86572265625,289.0,295.0,-9999.0,-9999.0,12,6,0,291.11,1167.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,153.3120059967041,-1.0,-1.0,-9999.0,-9999,2315.564208984375,289.0,295.0,-9999.0,-9999.0,18,6,0,292.11,1580.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,153.3899974822998,-1.0,-1.0,-9999.0,-9999,4961.5224609375,289.0,295.0,-9999.0,-9999.0,24,6,0,293.11,1000.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,153.46800327301025,-1.0,-1.0,-9999.0,-9999,3013.88232421875,289.0,295.0,-9999.0,-9999.0,30,6,0,294.11,50.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,153.54599475860596,-1.0,-1.0,-9999.0,-9999,3430.388671875,289.0,295.0,-9999.0,-9999.0,36,6,0,289.11,16.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,153.6240005493164,-1.0,-1.0,-9999.0,-9999,3816.986572265625,289.0,295.0,-9999.0,-9999.0,42,6,0,290.11,889.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,153.70200634002686,-1.0,-1.0,-9999.0,-9999,5195.69775390625,289.0,295.0,-9999.0,-9999.0,48,6,0,291.11,924.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,153.77999782562256,-1.0,-1.0,-9999.0,-9999,4602.20849609375,289.0,295.0,-9999.0,-9999.0,54,6,0,292.11,543.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,153.858003616333,-1.0,-1.0,-9999.0,-9999,5138.61474609375,289.0,295.0,-9999.0,-9999.0,60,6,0,293.11,1523.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,153.9359951019287,-1.0,-1.0,-9999.0,-9999,4511.0654296875,289.0,295.0,-9999.0,-9999.0,66,6,0,294.11,45.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,154.01400089263916,-1.0,-1.0,-9999.0,-9999,3154.6748046875,289.0,295.0,-9999.0,-9999.0,72,6,0,289.11,33.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,154.09599781036377,-1.0,-1.0,-9999.0,-9999,5288.27099609375,289.0,295.0,-9999.0,-9999.0,78,6,0,290.11,6.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,154.17400360107422,-1.0,-1.0,-9999.0,-9999,7201.3642578125,289.0,295.0,-9999.0,-9999.0,84,6,0,291.11,1138.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,154.25199508666992,-1.0,-1.0,-9999.0,-9999,7242.38330078125,289.0,295.0,-9999.0,-9999.0,90,6,0,292.11,1639.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,154.33000087738037,-1.0,-1.0,-9999.0,-9999,4737.45068359375,289.0,295.0,-9999.0,-9999.0,96,6,0,293.11,7.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,154.40800666809082,-1.0,-1.0,-9999.0,-9999,6379.33447265625,289.0,295.0,-9999.0,-9999.0,102,6,0,294.11,7.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,154.48599815368652,-1.0,-1.0,-9999.0,-9999,11111.98046875,289.0,295.0,-9999.0,-9999.0,108,6,0,289.11,32.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,154.56400394439697,-1.0,-1.0,-9999.0,-9999,9909.82421875,289.0,295.0,-9999.0,-9999.0,114,6,0,290.11,39.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,154.64199542999268,-1.0,-1.0,-9999.0,-9999,6715.4873046875,289.0,295.0,-9999.0,-9999.0,120,6,0,291.11,1138.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,154.72000122070312,-1.0,-1.0,-9999.0,-9999,7662.06591796875,289.0,295.0,-9999.0,-9999.0,126,6,0,292.11,1086.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,154.79800701141357,-1.0,-1.0,-9999.0,-9999,9322.3310546875,289.0,295.0,-9999.0,-9999.0,132,6,0,293.11,10.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,154.87599849700928,-1.0,-1.0,-9999.0,-9999,9045.28515625,289.0,295.0,-9999.0,-9999.0,138,6,0,294.11,12.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,154.95400428771973,-1.0,-1.0,-9999.0,-9999,13172.572265625,289.0,295.0,-9999.0,-9999.0,144,6,0,289.11,8.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,155.03199577331543,-1.0,-1.0,-9999.0,-9999,7739.181640625,289.0,295.0,-9999.0,-9999.0,150,6,0,290.11,792.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,155.11400699615479,-1.0,-1.0,-9999.0,-9999,8233.6796875,289.0,295.0,-9999.0,-9999.0,156,6,0,291.11,1137.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,155.19099712371826,-1.0,-1.0,-9999.0,-9999,5741.32470703125,289.0,295.0,-9999.0,-9999.0,162,6,0,292.11,1955.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,155.2690029144287,-1.0,-1.0,-9999.0,-9999,6483.912109375,289.0,295.0,-9999.0,-9999.0,168,6,0,293.11,1029.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,155.3469944000244,-1.0,-1.0,-9999.0,-9999,5137.51953125,289.0,295.0,-9999.0,-9999.0,174,6,0,294.11,40.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,155.42500019073486,-1.0,-1.0,-9999.0,-9999,7821.16943359375,289.0,295.0,-9999.0,-9999.0,180,6,0,289.11,24.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,155.5030059814453,-1.0,-1.0,-9999.0,-9999,9749.6337890625,289.0,295.0,-9999.0,-9999.0,186,6,0,290.11,1461.0,,,,,,,,,,
