error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,144.08999919891357,-1.0,-1.0,-9999.0,-9999,196.210205078125,259.0,264.0,-9999.0,-9999.0,0,5,0,259.17,31.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,144.18099403381348,-1.0,-1.0,-9999.0,-9999,1091.9620361328125,259.0,264.0,-9999.0,-9999.0,5,5,0,260.17,28.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,144.34999465942383,-1.0,-1.0,-9999.0,-9999,127.15965270996094,259.0,264.0,-9999.0,-9999.0,10,5,0,261.17,79.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,144.52099800109863,-1.0,-1.0,-9999.0,-9999,151.0095977783203,259.0,264.0,-9999.0,-9999.0,15,5,0,262.17,42.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,144.68999862670898,-1.0,-1.0,-9999.0,-9999,122.22119140625,259.0,264.0,-9999.0,-9999.0,20,5,0,263.17,16.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,144.85899925231934,-1.0,-1.0,-9999.0,-9999,150.5994110107422,259.0,264.0,-9999.0,-9999.0,25,5,0,259.17,38.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,145.0279998779297,-1.0,-1.0,-9999.0,-9999,134.16714477539062,259.0,264.0,-9999.0,-9999.0,30,5,0,260.17,10.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,145.19700050354004,-1.0,-1.0,-9999.0,-9999,76.57032775878906,259.0,264.0,-9999.0,-9999.0,35,5,0,261.17,27.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,145.3660011291504,-1.0,-1.0,-9999.0,-9999,69.82896423339844,259.0,264.0,-9999.0,-9999.0,40,5,0,262.17,985.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,145.53600311279297,-1.0,-1.0,-9999.0,-9999,58.96951675415039,259.0,264.0,-9999.0,-9999.0,45,5,0,263.17,32.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,145.70500373840332,-1.0,-1.0,-9999.0,-9999,78.29119110107422,259.0,264.0,-9999.0,-9999.0,50,5,0,259.17,12.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,145.87400436401367,-1.0,-1.0,-9999.0,-9999,183.05564880371094,259.0,264.0,-9999.0,-9999.0,55,5,0,260.17,45.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,146.04300498962402,-1.0,-1.0,-9999.0,-9999,194.7554931640625,259.0,264.0,-9999.0,-9999.0,60,5,0,261.17,0.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,146.21200561523438,-1.0,-1.0,-9999.0,-9999,137.77297973632812,259.0,264.0,-9999.0,-9999.0,65,5,0,262.17,55.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,146.38100624084473,-1.0,-1.0,-9999.0,-9999,618.965576171875,259.0,264.0,-9999.0,-9999.0,70,5,0,263.17,15.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,146.55399799346924,-1.0,-1.0,-9999.0,-9999,684.0020751953125,259.0,264.0,-9999.0,-9999.0,75,5,0,259.17,41.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,146.7229986190796,-1.0,-1.0,-9999.0,-9999,961.4187622070312,259.0,264.0,-9999.0,-9999.0,80,5,0,260.17,28.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,146.89199924468994,-1.0,-1.0,-9999.0,-9999,87.53182983398438,259.0,264.0,-9999.0,-9999.0,85,5,0,261.17,17.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,147.0609998703003,-1.0,-1.0,-9999.0,-9999,215.3697509765625,259.0,264.0,-9999.0,-9999.0,90,5,0,262.17,52.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,147.23000049591064,-1.0,-1.0,-9999.0,-9999,184.06011962890625,259.0,264.0,-9999.0,-9999.0,95,5,0,263.17,13.0,,b' ',,,b' ',,b' ',,b' ',b' '
