error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,30.077998638153076,-1.0,-1.0,-9999.0,-9999,163.52061462402344,303.0,309.0,-9999.0,-9999.0,0,6,0,303.11,12.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,30.15600085258484,-1.0,-1.0,-9999.0,-9999,131.981689453125,303.0,309.0,-9999.0,-9999.0,6,6,0,304.11,89.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,30.233999490737915,-1.0,-1.0,-9999.0,-9999,157.4538116455078,303.0,309.0,-9999.0,-9999.0,12,6,0,305.11,26.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,30.312001705169678,-1.0,-1.0,-9999.0,-9999,89.11270904541016,303.0,309.0,-9999.0,-9999.0,18,6,0,306.11,21.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,30.390000343322754,-1.0,-1.0,-9999.0,-9999,97.78093719482422,303.0,309.0,-9999.0,-9999.0,24,6,0,307.11,16.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,30.46799898147583,-1.0,-1.0,-9999.0,-9999,176.65846252441406,303.0,309.0,-9999.0,-9999.0,30,6,0,308.11,0.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,30.546001195907593,-1.0,-1.0,-9999.0,-9999,132.0570068359375,303.0,309.0,-9999.0,-9999.0,36,6,0,303.11,10.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,30.62399983406067,-1.0,-1.0,-9999.0,-9999,122.10814666748047,303.0,309.0,-9999.0,-9999.0,42,6,0,304.11,49.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,30.701998472213745,-1.0,-1.0,-9999.0,-9999,103.96318054199219,303.0,309.0,-9999.0,-9999.0,48,6,0,305.11,30.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,30.780000686645508,-1.0,-1.0,-9999.0,-9999,89.36387634277344,303.0,309.0,-9999.0,-9999.0,54,6,0,306.11,11.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,30.857999324798584,-1.0,-1.0,-9999.0,-9999,53.114097595214844,303.0,309.0,-9999.0,-9999.0,60,6,0,307.11,11.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,30.936001539230347,-1.0,-1.0,-9999.0,-9999,155.73622131347656,303.0,309.0,-9999.0,-9999.0,66,6,0,308.11,21.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,31.014000177383423,-1.0,-1.0,-9999.0,-9999,130.2138214111328,303.0,309.0,-9999.0,-9999.0,72,6,0,303.11,13.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,31.094999313354492,-1.0,-1.0,-9999.0,-9999,95.8423843383789,303.0,309.0,-9999.0,-9999.0,78,6,0,304.11,43.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,31.173001527786255,-1.0,-1.0,-9999.0,-9999,97.78093719482422,303.0,309.0,-9999.0,-9999.0,84,6,0,305.11,7.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,31.252001523971558,-1.0,-1.0,-9999.0,-9999,81.1375732421875,303.0,309.0,-9999.0,-9999.0,90,6,0,306.11,26.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,31.328998804092407,-1.0,-1.0,-9999.0,-9999,56.00681686401367,303.0,309.0,-9999.0,-9999.0,96,6,0,307.11,42.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,31.40700101852417,-1.0,-1.0,-9999.0,-9999,60.576988220214844,303.0,309.0,-9999.0,-9999.0,102,6,0,308.11,27.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,31.484999656677246,-1.0,-1.0,-9999.0,-9999,82.70951843261719,303.0,309.0,-9999.0,-9999.0,108,6,0,303.11,0.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,31.562998294830322,-1.0,-1.0,-9999.0,-9999,48.433448791503906,303.0,309.0,-9999.0,-9999.0,114,6,0,304.11,26.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,31.641000509262085,-1.0,-1.0,-9999.0,-9999,60.797943115234375,303.0,309.0,-9999.0,-9999.0,120,6,0,305.11,25.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,31.71899914741516,-1.0,-1.0,-9999.0,-9999,107.69462585449219,303.0,309.0,-9999.0,-9999.0,126,6,0,306.11,23.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,31.797001361846924,-1.0,-1.0,-9999.0,-9999,140.21792602539062,303.0,309.0,-9999.0,-9999.0,132,6,0,307.11,16.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,31.875,-1.0,-1.0,-9999.0,-9999,122.14826965332031,303.0,309.0,-9999.0,-9999.0,138,6,0,308.11,0.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,31.953999996185303,-1.0,-1.0,-9999.0,-9999,131.62005615234375,303.0,309.0,-9999.0,-9999.0,144,6,0,303.11,7.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,32.03199863433838,-1.0,-1.0,-9999.0,-9999,119.54685974121094,303.0,309.0,-9999.0,-9999.0,150,6,0,304.11,13.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,32.11099863052368,-1.0,-1.0,-9999.0,-9999,125.11133575439453,303.0,309.0,-9999.0,-9999.0,156,6,0,305.11,32.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,32.189000844955444,-1.0,-1.0,-9999.0,-9999,109.23139953613281,303.0,309.0,-9999.0,-9999.0,162,6,0,306.11,5.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,32.26699948310852,-1.0,-1.0,-9999.0,-9999,81.35852813720703,303.0,309.0,-9999.0,-9999.0,168,6,0,307.11,15.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,32.34500169754028,-1.0,-1.0,-9999.0,-9999,89.33366394042969,303.0,309.0,-9999.0,-9999.0,174,6,0,308.11,26.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,32.42300033569336,-1.0,-1.0,-9999.0,-9999,123.35360717773438,303.0,309.0,-9999.0,-9999.0,180,6,0,303.11,15.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,32.500998973846436,-1.0,-1.0,-9999.0,-9999,114.50456237792969,303.0,309.0,-9999.0,-9999.0,186,6,0,304.11,21.0,,,,,,,,,,
