error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,126.06499671936035,-1.0,-1.0,-9999.0,-9999,118.10877227783203,245.0,249.0,-9999.0,-9999.0,0,4,0,245.08,5.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,126.1299991607666,-1.0,-1.0,-9999.0,-9999,111.28514862060547,245.0,249.0,-9999.0,-9999.0,4,4,0,246.08,61.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,126.27299308776855,-1.0,-1.0,-9999.0,-9999,120.6603775024414,245.0,249.0,-9999.0,-9999.0,8,4,0,247.08,31.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,126.4180040359497,-1.0,-1.0,-9999.0,-9999,86.9481430053711,245.0,249.0,-9999.0,-9999.0,12,4,0,248.08,21.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,126.56300067901611,-1.0,-1.0,-9999.0,-9999,97.10626983642578,245.0,249.0,-9999.0,-9999.0,16,4,0,245.08,21.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,126.70599460601807,-1.0,-1.0,-9999.0,-9999,87.42173767089844,245.0,249.0,-9999.0,-9999.0,20,4,0,246.08,38.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,126.84900283813477,-1.0,-1.0,-9999.0,-9999,71.6771240234375,245.0,249.0,-9999.0,-9999.0,24,4,0,247.08,42.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,126.99199676513672,-1.0,-1.0,-9999.0,-9999,84.99578857421875,245.0,249.0,-9999.0,-9999.0,28,4,0,248.08,10.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,127.13500499725342,-1.0,-1.0,-9999.0,-9999,142.67770385742188,245.0,249.0,-9999.0,-9999.0,32,4,0,245.08,20.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,127.27799892425537,-1.0,-1.0,-9999.0,-9999,127.49368286132812,245.0,249.0,-9999.0,-9999.0,36,4,0,246.08,48.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,127.42099285125732,-1.0,-1.0,-9999.0,-9999,164.1248321533203,245.0,249.0,-9999.0,-9999.0,40,4,0,247.08,23.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,127.56600379943848,-1.0,-1.0,-9999.0,-9999,109.28929901123047,245.0,249.0,-9999.0,-9999.0,44,4,0,248.08,30.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,127.70899772644043,-1.0,-1.0,-9999.0,-9999,120.33177947998047,245.0,249.0,-9999.0,-9999.0,48,4,0,245.08,16.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,127.85200595855713,-1.0,-1.0,-9999.0,-9999,618.8536376953125,245.0,249.0,-9999.0,-9999.0,52,4,0,246.08,35.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,127.99499988555908,-1.0,-1.0,-9999.0,-9999,562.205810546875,245.0,249.0,-9999.0,-9999.0,56,4,0,247.08,10.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,128.13799381256104,-1.0,-1.0,-9999.0,-9999,70.4786376953125,245.0,249.0,-9999.0,-9999.0,60,4,0,248.08,26.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,128.28100204467773,-1.0,-1.0,-9999.0,-9999,117.92510986328125,245.0,249.0,-9999.0,-9999.0,64,4,0,245.08,25.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,128.4239959716797,-1.0,-1.0,-9999.0,-9999,84.6478271484375,245.0,249.0,-9999.0,-9999.0,68,4,0,246.08,23.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,128.5680055618286,-1.0,-1.0,-9999.0,-9999,90.28264617919922,245.0,249.0,-9999.0,-9999.0,72,4,0,247.08,28.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,128.71099948883057,-1.0,-1.0,-9999.0,-9999,118.78532409667969,245.0,249.0,-9999.0,-9999.0,76,4,0,248.08,21.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,128.85399341583252,-1.0,-1.0,-9999.0,-9999,136.1150360107422,245.0,249.0,-9999.0,-9999.0,80,4,0,245.08,23.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,128.99700164794922,-1.0,-1.0,-9999.0,-9999,109.99966430664062,245.0,249.0,-9999.0,-9999.0,84,4,0,246.08,15.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,129.13999557495117,-1.0,-1.0,-9999.0,-9999,75.86216735839844,245.0,249.0,-9999.0,-9999.0,88,4,0,247.08,34.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,129.28300380706787,-1.0,-1.0,-9999.0,-9999,114.86125183105469,245.0,249.0,-9999.0,-9999.0,92,4,0,248.08,16.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,129.42699909210205,-1.0,-1.0,-9999.0,-9999,1335.2003173828125,245.0,249.0,-9999.0,-9999.0,96,4,0,245.08,20.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,129.57099437713623,-1.0,-1.0,-9999.0,-9999,1139.856689453125,245.0,249.0,-9999.0,-9999.0,100,4,0,246.08,0.0,,b' ',,,b' ',,b' ',,b' ',b' '
