error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,354.16900634765625,-1.0,-1.0,-9999.0,-9999,1514.5244140625,374.0,387.0,-9999.0,-9999.0,0,13,0,374.21,701.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,354.3380069732666,-1.0,-1.0,-9999.0,-9999,385.44696044921875,374.0,387.0,-9999.0,-9999.0,13,13,0,375.21,18.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,354.50700759887695,-1.0,-1.0,-9999.0,-9999,235.42819213867188,374.0,387.0,-9999.0,-9999.0,26,13,0,376.21,8.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,354.6760082244873,-1.0,-1.0,-9999.0,-9999,457.04022216796875,374.0,387.0,-9999.0,-9999.0,39,13,0,377.21,42.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,354.84500885009766,-1.0,-1.0,-9999.0,-9999,355.6297607421875,374.0,387.0,-9999.0,-9999.0,52,13,0,378.21,138.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,355.014009475708,-1.0,-1.0,-9999.0,-9999,340.03472900390625,374.0,387.0,-9999.0,-9999.0,65,13,0,379.21,5.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,355.1869869232178,-1.0,-1.0,-9999.0,-9999,787.0630493164062,374.0,387.0,-9999.0,-9999.0,78,13,0,380.21,63.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,355.3559875488281,-1.0,-1.0,-9999.0,-9999,958.3441162109375,374.0,387.0,-9999.0,-9999.0,91,13,0,381.21,5.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,355.5249881744385,-1.0,-1.0,-9999.0,-9999,321.8208923339844,374.0,387.0,-9999.0,-9999.0,104,13,0,382.21,18.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,355.6939888000488,-1.0,-1.0,-9999.0,-9999,744.20849609375,374.0,387.0,-9999.0,-9999.0,117,13,0,383.21,7.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,355.8629894256592,-1.0,-1.0,-9999.0,-9999,198.46826171875,374.0,387.0,-9999.0,-9999.0,130,13,0,384.21,19.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,356.03199005126953,-1.0,-1.0,-9999.0,-9999,402.32623291015625,374.0,387.0,-9999.0,-9999.0,143,13,0,385.21,23.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,356.20399475097656,-1.0,-1.0,-9999.0,-9999,335.2856750488281,374.0,387.0,-9999.0,-9999.0,156,13,0,386.21,465.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,356.3729953765869,-1.0,-1.0,-9999.0,-9999,266.65960693359375,374.0,387.0,-9999.0,-9999.0,169,13,0,374.21,29.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,356.54199600219727,-1.0,-1.0,-9999.0,-9999,285.77178955078125,374.0,387.0,-9999.0,-9999.0,182,13,0,375.21,41.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,356.7109966278076,-1.0,-1.0,-9999.0,-9999,287.9632568359375,374.0,387.0,-9999.0,-9999.0,195,13,0,376.21,31.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,356.8809986114502,-1.0,-1.0,-9999.0,-9999,216.63711547851562,374.0,387.0,-9999.0,-9999.0,208,13,0,377.21,14.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,357.04999923706055,-1.0,-1.0,-9999.0,-9999,232.4521026611328,374.0,387.0,-9999.0,-9999.0,221,13,0,378.21,29.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,357.2200012207031,-1.0,-1.0,-9999.0,-9999,270.29412841796875,374.0,387.0,-9999.0,-9999.0,234,13,0,379.21,31.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,357.3890018463135,-1.0,-1.0,-9999.0,-9999,290.5894470214844,374.0,387.0,-9999.0,-9999.0,247,13,0,380.21,16.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,357.5580024719238,-1.0,-1.0,-9999.0,-9999,182.9906005859375,374.0,387.0,-9999.0,-9999.0,260,13,0,381.21,34.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,357.7270030975342,-1.0,-1.0,-9999.0,-9999,275.3679504394531,374.0,387.0,-9999.0,-9999.0,273,13,0,382.21,64.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,357.89600372314453,-1.0,-1.0,-9999.0,-9999,556.1286010742188,374.0,387.0,-9999.0,-9999.0,286,13,0,383.21,47.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,358.06700706481934,-1.0,-1.0,-9999.0,-9999,371.4845886230469,374.0,387.0,-9999.0,-9999.0,299,13,0,384.21,10.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,358.23801040649414,-1.0,-1.0,-9999.0,-9999,312.5677795410156,374.0,387.0,-9999.0,-9999.0,312,13,0,385.21,5.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,358.4070110321045,-1.0,-1.0,-9999.0,-9999,286.39398193359375,374.0,387.0,-9999.0,-9999.0,325,13,0,386.21,36.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,358.57601165771484,-1.0,-1.0,-9999.0,-9999,319.2108459472656,374.0,387.0,-9999.0,-9999.0,338,13,0,374.21,5.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,358.7450122833252,-1.0,-1.0,-9999.0,-9999,281.5799865722656,374.0,387.0,-9999.0,-9999.0,351,13,0,375.21,10.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,358.91401290893555,-1.0,-1.0,-9999.0,-9999,271.1805725097656,374.0,387.0,-9999.0,-9999.0,364,13,0,376.21,0.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,359.08498764038086,-1.0,-1.0,-9999.0,-9999,261.5694885253906,374.0,387.0,-9999.0,-9999.0,377,13,0,377.21,15.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,359.25498962402344,-1.0,-1.0,-9999.0,-9999,300.09869384765625,374.0,387.0,-9999.0,-9999.0,390,13,0,378.21,5.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,359.4239902496338,-1.0,-1.0,-9999.0,-9999,312.13671875,374.0,387.0,-9999.0,-9999.0,403,13,0,379.21,35.0,,,,,,,,,,
