error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,312.1299934387207,-1.0,-1.0,-9999.0,-9999,715.8590698242188,301.0,309.0,-9999.0,-9999.0,0,8,0,301.21,31.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,312.2599983215332,-1.0,-1.0,-9999.0,-9999,879.69775390625,301.0,309.0,-9999.0,-9999.0,8,8,0,302.21,179.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,312.4679946899414,-1.0,-1.0,-9999.0,-9999,1408.262939453125,301.0,309.0,-9999.0,-9999.0,16,8,0,303.21,16.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,312.6759910583496,-1.0,-1.0,-9999.0,-9999,974.4859619140625,301.0,309.0,-9999.0,-9999.0,24,8,0,304.21,40.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,312.8839874267578,-1.0,-1.0,-9999.0,-9999,483.6717224121094,301.0,309.0,-9999.0,-9999.0,32,8,0,305.21,12.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,313.0920124053955,-1.0,-1.0,-9999.0,-9999,1540.71630859375,301.0,309.0,-9999.0,-9999.0,40,8,0,306.21,47.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,313.3040142059326,-1.0,-1.0,-9999.0,-9999,1761.8028564453125,301.0,309.0,-9999.0,-9999.0,48,8,0,307.21,378.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.5120105743408,-1.0,-1.0,-9999.0,-9999,1042.8367919921875,301.0,309.0,-9999.0,-9999.0,56,8,0,308.21,11.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.720006942749,-1.0,-1.0,-9999.0,-9999,153.1519775390625,301.0,309.0,-9999.0,-9999.0,64,8,0,301.21,0.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.9280033111572,-1.0,-1.0,-9999.0,-9999,155.2010040283203,301.0,309.0,-9999.0,-9999.0,72,8,0,302.21,62.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.1390037536621,-1.0,-1.0,-9999.0,-9999,125.91912841796875,301.0,309.0,-9999.0,-9999.0,80,8,0,303.21,33.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.34800148010254,-1.0,-1.0,-9999.0,-9999,107.90689086914062,301.0,309.0,-9999.0,-9999.0,88,8,0,304.21,6.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.55599784851074,-1.0,-1.0,-9999.0,-9999,126.93324279785156,301.0,309.0,-9999.0,-9999.0,96,8,0,305.21,694.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.76399421691895,-1.0,-1.0,-9999.0,-9999,178.82723999023438,301.0,309.0,-9999.0,-9999.0,104,8,0,306.21,41.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.97199058532715,-1.0,-1.0,-9999.0,-9999,107.37382507324219,301.0,309.0,-9999.0,-9999.0,112,8,0,307.21,31.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,315.18399238586426,-1.0,-1.0,-9999.0,-9999,166.53309631347656,301.0,309.0,-9999.0,-9999.0,120,8,0,308.21,13.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,315.39198875427246,-1.0,-1.0,-9999.0,-9999,189.6366729736328,301.0,309.0,-9999.0,-9999.0,128,8,0,301.21,0.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,315.60001373291016,-1.0,-1.0,-9999.0,-9999,260.9443359375,301.0,309.0,-9999.0,-9999.0,136,8,0,302.21,0.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,315.80801010131836,-1.0,-1.0,-9999.0,-9999,210.68081665039062,301.0,309.0,-9999.0,-9999.0,144,8,0,303.21,1308.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,316.01600646972656,-1.0,-1.0,-9999.0,-9999,233.83644104003906,301.0,309.0,-9999.0,-9999.0,152,8,0,304.21,26.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,316.2280082702637,-1.0,-1.0,-9999.0,-9999,202.955322265625,301.0,309.0,-9999.0,-9999.0,160,8,0,305.21,0.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,316.4360046386719,-1.0,-1.0,-9999.0,-9999,201.94122314453125,301.0,309.0,-9999.0,-9999.0,168,8,0,306.21,37.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,316.6440010070801,-1.0,-1.0,-9999.0,-9999,156.75860595703125,301.0,309.0,-9999.0,-9999.0,176,8,0,307.21,5.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,316.8519973754883,-1.0,-1.0,-9999.0,-9999,135.66241455078125,301.0,309.0,-9999.0,-9999.0,184,8,0,308.21,33.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,317.0599937438965,-1.0,-1.0,-9999.0,-9999,122.32292938232422,301.0,309.0,-9999.0,-9999.0,192,8,0,301.21,15.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,317.2719955444336,-1.0,-1.0,-9999.0,-9999,106.31806945800781,301.0,309.0,-9999.0,-9999.0,200,8,0,302.21,39.0,,b' ',,,b' ',,b' ',,b' ',b' '
