error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,180.0909948348999,-1.0,-1.0,-9999.0,-9999,867.2579956054688,285.0,292.0,-9999.0,-9999.0,0,7,0,285.16,30.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,180.18200397491455,-1.0,-1.0,-9999.0,-9999,2141.80419921875,285.0,292.0,-9999.0,-9999.0,7,7,0,286.16,15.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,180.27299880981445,-1.0,-1.0,-9999.0,-9999,2602.78173828125,285.0,292.0,-9999.0,-9999.0,14,7,0,287.16,119.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,180.36399364471436,-1.0,-1.0,-9999.0,-9999,663.6585083007812,285.0,292.0,-9999.0,-9999.0,21,7,0,288.16,0.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,180.455002784729,-1.0,-1.0,-9999.0,-9999,1689.927978515625,285.0,292.0,-9999.0,-9999.0,28,7,0,289.16,18.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,180.5459976196289,-1.0,-1.0,-9999.0,-9999,506.80206298828125,285.0,292.0,-9999.0,-9999.0,35,7,0,290.16,179.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,180.63700675964355,-1.0,-1.0,-9999.0,-9999,283.0389709472656,285.0,292.0,-9999.0,-9999.0,42,7,0,291.16,506.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,180.72800159454346,-1.0,-1.0,-9999.0,-9999,82.793212890625,285.0,292.0,-9999.0,-9999.0,49,7,0,285.16,48.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,180.81899642944336,-1.0,-1.0,-9999.0,-9999,237.342041015625,285.0,292.0,-9999.0,-9999.0,56,7,0,286.16,36.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,180.910005569458,-1.0,-1.0,-9999.0,-9999,103.28346252441406,285.0,292.0,-9999.0,-9999.0,63,7,0,287.16,16.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.0010004043579,-1.0,-1.0,-9999.0,-9999,1046.706787109375,285.0,292.0,-9999.0,-9999.0,70,7,0,288.16,914.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.0949993133545,-1.0,-1.0,-9999.0,-9999,1057.031494140625,285.0,292.0,-9999.0,-9999.0,77,7,0,289.16,0.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.1859941482544,-1.0,-1.0,-9999.0,-9999,216.81204223632812,285.0,292.0,-9999.0,-9999.0,84,7,0,290.16,30.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.27700328826904,-1.0,-1.0,-9999.0,-9999,1125.5345458984375,285.0,292.0,-9999.0,-9999.0,91,7,0,291.16,1098.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.36799812316895,-1.0,-1.0,-9999.0,-9999,870.95654296875,285.0,292.0,-9999.0,-9999.0,98,7,0,285.16,41.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.45899295806885,-1.0,-1.0,-9999.0,-9999,649.6883544921875,285.0,292.0,-9999.0,-9999.0,105,7,0,286.16,29.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.5500020980835,-1.0,-1.0,-9999.0,-9999,680.9227905273438,285.0,292.0,-9999.0,-9999.0,112,7,0,287.16,26.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.6409969329834,-1.0,-1.0,-9999.0,-9999,709.63232421875,285.0,292.0,-9999.0,-9999.0,119,7,0,288.16,17.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.73200607299805,-1.0,-1.0,-9999.0,-9999,1215.1329345703125,285.0,292.0,-9999.0,-9999.0,126,7,0,289.16,26.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.82300090789795,-1.0,-1.0,-9999.0,-9999,948.8260498046875,285.0,292.0,-9999.0,-9999.0,133,7,0,290.16,746.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,181.91399574279785,-1.0,-1.0,-9999.0,-9999,107.36161804199219,285.0,292.0,-9999.0,-9999.0,140,7,0,291.16,1719.0,,b' ',,,b' ',,b' ',,b' ',b' '
