error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,153.0780029296875,-1.0,-1.0,-9999.0,-9999,105.49153137207031,289.0,295.0,-9999.0,-9999.0,0,6,0,289.11,0.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,153.1559944152832,-1.0,-1.0,-9999.0,-9999,157.4772186279297,289.0,295.0,-9999.0,-9999.0,6,6,0,290.11,27.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,153.23400020599365,-1.0,-1.0,-9999.0,-9999,1568.593994140625,289.0,295.0,-9999.0,-9999.0,12,6,0,291.11,18.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,153.3120059967041,-1.0,-1.0,-9999.0,-9999,47.07788848876953,289.0,295.0,-9999.0,-9999.0,18,6,0,292.11,13.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,153.3899974822998,-1.0,-1.0,-9999.0,-9999,107.5405502319336,289.0,295.0,-9999.0,-9999.0,24,6,0,293.11,14.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,153.46800327301025,-1.0,-1.0,-9999.0,-9999,924.8368530273438,289.0,295.0,-9999.0,-9999.0,30,6,0,294.11,32.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,153.54599475860596,-1.0,-1.0,-9999.0,-9999,96.81622314453125,289.0,295.0,-9999.0,-9999.0,36,6,0,289.11,71.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,153.6240005493164,-1.0,-1.0,-9999.0,-9999,112.59701538085938,289.0,295.0,-9999.0,-9999.0,42,6,0,290.11,5.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,153.70200634002686,-1.0,-1.0,-9999.0,-9999,76.45819854736328,289.0,295.0,-9999.0,-9999.0,48,6,0,291.11,34.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,153.77999782562256,-1.0,-1.0,-9999.0,-9999,126.87406158447266,289.0,295.0,-9999.0,-9999.0,54,6,0,292.11,10.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,153.858003616333,-1.0,-1.0,-9999.0,-9999,153.2469482421875,289.0,295.0,-9999.0,-9999.0,60,6,0,293.11,5.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,153.9359951019287,-1.0,-1.0,-9999.0,-9999,63.91623306274414,289.0,295.0,-9999.0,-9999.0,66,6,0,294.11,33.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,154.01400089263916,-1.0,-1.0,-9999.0,-9999,109.5895767211914,289.0,295.0,-9999.0,-9999.0,72,6,0,289.11,10.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,154.09599781036377,-1.0,-1.0,-9999.0,-9999,122.26375579833984,289.0,295.0,-9999.0,-9999.0,78,6,0,290.11,43.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,154.17400360107422,-1.0,-1.0,-9999.0,-9999,102.96330261230469,289.0,295.0,-9999.0,-9999.0,84,6,0,291.11,1410.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,154.25199508666992,-1.0,-1.0,-9999.0,-9999,121.71844482421875,289.0,295.0,-9999.0,-9999.0,90,6,0,292.11,59.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,154.33000087738037,-1.0,-1.0,-9999.0,-9999,93.77574157714844,289.0,295.0,-9999.0,-9999.0,96,6,0,293.11,47.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,154.40800666809082,-1.0,-1.0,-9999.0,-9999,82.8283462524414,289.0,295.0,-9999.0,-9999.0,102,6,0,294.11,0.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,154.48599815368652,-1.0,-1.0,-9999.0,-9999,82.19218444824219,289.0,295.0,-9999.0,-9999.0,108,6,0,289.11,0.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,154.56400394439697,-1.0,-1.0,-9999.0,-9999,111.0932846069336,289.0,295.0,-9999.0,-9999.0,114,6,0,290.11,0.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,154.64199542999268,-1.0,-1.0,-9999.0,-9999,82.299560546875,289.0,295.0,-9999.0,-9999.0,120,6,0,291.11,15.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,154.72000122070312,-1.0,-1.0,-9999.0,-9999,104.4670181274414,289.0,295.0,-9999.0,-9999.0,126,6,0,292.11,12.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,154.79800701141357,-1.0,-1.0,-9999.0,-9999,130.492919921875,289.0,295.0,-9999.0,-9999.0,132,6,0,293.11,10.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,154.87599849700928,-1.0,-1.0,-9999.0,-9999,85.36488342285156,289.0,295.0,-9999.0,-9999.0,138,6,0,294.11,10.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,154.95400428771973,-1.0,-1.0,-9999.0,-9999,181.66885375976562,289.0,295.0,-9999.0,-9999.0,144,6,0,289.11,10.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,155.03199577331543,-1.0,-1.0,-9999.0,-9999,118.61185455322266,289.0,295.0,-9999.0,-9999.0,150,6,0,290.11,0.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,155.11300563812256,-1.0,-1.0,-9999.0,-9999,58.760616302490234,289.0,295.0,-9999.0,-9999.0,156,6,0,291.11,27.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,155.19099712371826,-1.0,-1.0,-9999.0,-9999,93.80879974365234,289.0,295.0,-9999.0,-9999.0,162,6,0,292.11,23.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,155.2690029144287,-1.0,-1.0,-9999.0,-9999,94.08145141601562,289.0,295.0,-9999.0,-9999.0,168,6,0,293.11,27.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,155.3469944000244,-1.0,-1.0,-9999.0,-9999,98.31993865966797,289.0,295.0,-9999.0,-9999.0,174,6,0,294.11,19.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,155.42500019073486,-1.0,-1.0,-9999.0,-9999,106.51603698730469,289.0,295.0,-9999.0,-9999.0,180,6,0,289.11,0.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,155.5030059814453,-1.0,-1.0,-9999.0,-9999,496.3924560546875,289.0,295.0,-9999.0,-9999.0,186,6,0,290.11,5.0,,,,,,,,,,
