error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,312.1039867401123,-1.0,-1.0,-9999.0,-9999,2582.474609375,301.0,309.0,-9999.0,-9999.0,0,8,0,301.21,35.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,312.2080135345459,-1.0,-1.0,-9999.0,-9999,3082.62060546875,301.0,309.0,-9999.0,-9999.0,8,8,0,302.21,675.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,312.31201171875,-1.0,-1.0,-9999.0,-9999,3501.265625,301.0,309.0,-9999.0,-9999.0,16,8,0,303.21,1354.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,312.4160099029541,-1.0,-1.0,-9999.0,-9999,448.44952392578125,301.0,309.0,-9999.0,-9999.0,24,8,0,304.21,23.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,312.5200080871582,-1.0,-1.0,-9999.0,-9999,1402.4720458984375,301.0,309.0,-9999.0,-9999.0,32,8,0,305.21,49.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,312.6240062713623,-1.0,-1.0,-9999.0,-9999,2828.564697265625,301.0,309.0,-9999.0,-9999.0,40,8,0,306.21,339.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,312.7280044555664,-1.0,-1.0,-9999.0,-9999,1587.6617431640625,301.0,309.0,-9999.0,-9999.0,48,8,0,307.21,104.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,312.8320026397705,-1.0,-1.0,-9999.0,-9999,2712.673828125,301.0,309.0,-9999.0,-9999.0,56,8,0,308.21,5.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,312.9360008239746,-1.0,-1.0,-9999.0,-9999,2078.4951171875,301.0,309.0,-9999.0,-9999.0,64,8,0,301.21,12.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.0440044403076,-1.0,-1.0,-9999.0,-9999,2586.739501953125,301.0,309.0,-9999.0,-9999.0,72,8,0,302.21,813.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.1480026245117,-1.0,-1.0,-9999.0,-9999,965.839599609375,301.0,309.0,-9999.0,-9999.0,80,8,0,303.21,1820.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.2520008087158,-1.0,-1.0,-9999.0,-9999,501.2232971191406,301.0,309.0,-9999.0,-9999.0,88,8,0,304.21,310.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.3559989929199,-1.0,-1.0,-9999.0,-9999,2739.840576171875,301.0,309.0,-9999.0,-9999.0,96,8,0,305.21,44.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.459997177124,-1.0,-1.0,-9999.0,-9999,1318.9742431640625,301.0,309.0,-9999.0,-9999.0,104,8,0,306.21,36.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.5639953613281,-1.0,-1.0,-9999.0,-9999,1433.8173828125,301.0,309.0,-9999.0,-9999.0,112,8,0,307.21,23.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.6679935455322,-1.0,-1.0,-9999.0,-9999,2488.656494140625,301.0,309.0,-9999.0,-9999.0,120,8,0,308.21,26.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.7719917297363,-1.0,-1.0,-9999.0,-9999,1435.04345703125,301.0,309.0,-9999.0,-9999.0,128,8,0,301.21,15.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.87598991394043,-1.0,-1.0,-9999.0,-9999,1420.893310546875,301.0,309.0,-9999.0,-9999.0,136,8,0,302.21,613.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.97998809814453,-1.0,-1.0,-9999.0,-9999,997.217041015625,301.0,309.0,-9999.0,-9999.0,144,8,0,303.21,1563.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.0869903564453,-1.0,-1.0,-9999.0,-9999,2054.26318359375,301.0,309.0,-9999.0,-9999.0,152,8,0,304.21,1240.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.1909885406494,-1.0,-1.0,-9999.0,-9999,1744.3311767578125,301.0,309.0,-9999.0,-9999.0,160,8,0,305.21,26.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.2949867248535,-1.0,-1.0,-9999.0,-9999,631.8486328125,301.0,309.0,-9999.0,-9999.0,168,8,0,306.21,22.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.3990135192871,-1.0,-1.0,-9999.0,-9999,627.8313598632812,301.0,309.0,-9999.0,-9999.0,176,8,0,307.21,18.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.5030117034912,-1.0,-1.0,-9999.0,-9999,558.8782958984375,301.0,309.0,-9999.0,-9999.0,184,8,0,308.21,5.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.60801124572754,-1.0,-1.0,-9999.0,-9999,275.5027770996094,301.0,309.0,-9999.0,-9999.0,192,8,0,301.21,62.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.7110080718994,-1.0,-1.0,-9999.0,-9999,321.28369140625,301.0,309.0,-9999.0,-9999.0,200,8,0,302.21,84.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.8150062561035,-1.0,-1.0,-9999.0,-9999,752.4075927734375,301.0,309.0,-9999.0,-9999.0,208,8,0,303.21,207.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.9190044403076,-1.0,-1.0,-9999.0,-9999,499.3069152832031,301.0,309.0,-9999.0,-9999.0,216,8,0,304.21,12.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,315.0230026245117,-1.0,-1.0,-9999.0,-9999,754.6751098632812,301.0,309.0,-9999.0,-9999.0,224,8,0,305.21,41.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,315.1310062408447,-1.0,-1.0,-9999.0,-9999,1131.7103271484375,301.0,309.0,-9999.0,-9999.0,232,8,0,306.21,6.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,315.2350044250488,-1.0,-1.0,-9999.0,-9999,2773.430908203125,301.0,309.0,-9999.0,-9999.0,240,8,0,307.21,25.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,315.33900260925293,-1.0,-1.0,-9999.0,-9999,2231.19580078125,301.0,309.0,-9999.0,-9999.0,248,8,0,308.21,12.0,,,,,,,,,,
