error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,138.1149959564209,-1.0,-1.0,-9999.0,-9999,171.663818359375,344.0,352.0,-9999.0,-9999.0,0,8,0,344.21,16.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,138.218994140625,-1.0,-1.0,-9999.0,-9999,147.14820861816406,344.0,352.0,-9999.0,-9999.0,8,8,0,345.21,21.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,138.32300662994385,-1.0,-1.0,-9999.0,-9999,215.6269989013672,344.0,352.0,-9999.0,-9999.0,16,8,0,346.21,0.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,138.4309959411621,-1.0,-1.0,-9999.0,-9999,107.79533386230469,344.0,352.0,-9999.0,-9999.0,24,8,0,347.21,34.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,138.53400707244873,-1.0,-1.0,-9999.0,-9999,102.70002746582031,344.0,352.0,-9999.0,-9999.0,32,8,0,348.21,12.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,138.63800525665283,-1.0,-1.0,-9999.0,-9999,257.4957580566406,344.0,352.0,-9999.0,-9999.0,40,8,0,349.21,20.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,138.74300479888916,-1.0,-1.0,-9999.0,-9999,168.0780487060547,344.0,352.0,-9999.0,-9999.0,48,8,0,350.21,12.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,138.84600162506104,-1.0,-1.0,-9999.0,-9999,172.6338348388672,344.0,352.0,-9999.0,-9999.0,56,8,0,351.21,55.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,138.94999980926514,-1.0,-1.0,-9999.0,-9999,245.31968688964844,344.0,352.0,-9999.0,-9999.0,64,8,0,344.21,22.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.05399799346924,-1.0,-1.0,-9999.0,-9999,82.20069885253906,344.0,352.0,-9999.0,-9999.0,72,8,0,345.21,17.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.15799617767334,-1.0,-1.0,-9999.0,-9999,208.4735870361328,344.0,352.0,-9999.0,-9999.0,80,8,0,346.21,8.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
