error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,144.08599376678467,-1.0,-1.0,-9999.0,-9999,92.23258972167969,259.0,264.0,-9999.0,-9999.0,0,5,0,259.17,10.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,144.19000625610352,-1.0,-1.0,-9999.0,-9999,103.35964965820312,259.0,264.0,-9999.0,-9999.0,5,5,0,260.17,30.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,144.35900688171387,-1.0,-1.0,-9999.0,-9999,327.22882080078125,259.0,264.0,-9999.0,-9999.0,10,5,0,261.17,18.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,144.53099727630615,-1.0,-1.0,-9999.0,-9999,392.99822998046875,259.0,264.0,-9999.0,-9999.0,15,5,0,262.17,5.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,144.6999979019165,-1.0,-1.0,-9999.0,-9999,257.4351806640625,259.0,264.0,-9999.0,-9999.0,20,5,0,263.17,28.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,144.86899852752686,-1.0,-1.0,-9999.0,-9999,92.92306518554688,259.0,264.0,-9999.0,-9999.0,25,5,0,259.17,25.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,145.0379991531372,-1.0,-1.0,-9999.0,-9999,195.18487548828125,259.0,264.0,-9999.0,-9999.0,30,5,0,260.17,29.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,145.20699977874756,-1.0,-1.0,-9999.0,-9999,146.8657684326172,259.0,264.0,-9999.0,-9999.0,35,5,0,261.17,0.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,145.3760004043579,-1.0,-1.0,-9999.0,-9999,68.000732421875,259.0,264.0,-9999.0,-9999.0,40,5,0,262.17,15.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,145.54900646209717,-1.0,-1.0,-9999.0,-9999,97.35514068603516,259.0,264.0,-9999.0,-9999.0,45,5,0,263.17,33.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,145.71800708770752,-1.0,-1.0,-9999.0,-9999,82.09439849853516,259.0,264.0,-9999.0,-9999.0,50,5,0,259.17,210.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,145.88699340820312,-1.0,-1.0,-9999.0,-9999,81.03424072265625,259.0,264.0,-9999.0,-9999.0,55,5,0,260.17,42.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,146.05599403381348,-1.0,-1.0,-9999.0,-9999,681.8526000976562,259.0,264.0,-9999.0,-9999.0,60,5,0,261.17,16.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,146.22499465942383,-1.0,-1.0,-9999.0,-9999,468.8834228515625,259.0,264.0,-9999.0,-9999.0,65,5,0,262.17,22.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,146.39399528503418,-1.0,-1.0,-9999.0,-9999,331.0152282714844,259.0,264.0,-9999.0,-9999.0,70,5,0,263.17,38.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,146.5659999847412,-1.0,-1.0,-9999.0,-9999,534.2515869140625,259.0,264.0,-9999.0,-9999.0,75,5,0,259.17,5.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,146.73500061035156,-1.0,-1.0,-9999.0,-9999,89.77824401855469,259.0,264.0,-9999.0,-9999.0,80,5,0,260.17,347.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,146.90500259399414,-1.0,-1.0,-9999.0,-9999,51.75111389160156,259.0,264.0,-9999.0,-9999.0,85,5,0,261.17,8.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,147.0740032196045,-1.0,-1.0,-9999.0,-9999,118.62039184570312,259.0,264.0,-9999.0,-9999.0,90,5,0,262.17,12.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,147.24300384521484,-1.0,-1.0,-9999.0,-9999,85.06100463867188,259.0,264.0,-9999.0,-9999.0,95,5,0,263.17,20.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,147.4120044708252,-1.0,-1.0,-9999.0,-9999,132.7497100830078,259.0,264.0,-9999.0,-9999.0,100,5,0,259.17,22.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,147.58200645446777,-1.0,-1.0,-9999.0,-9999,101.9654541015625,259.0,264.0,-9999.0,-9999.0,105,5,0,260.17,190.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,147.75100708007812,-1.0,-1.0,-9999.0,-9999,68.95396423339844,259.0,264.0,-9999.0,-9999.0,110,5,0,261.17,12.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,147.91999340057373,-1.0,-1.0,-9999.0,-9999,120.74071502685547,259.0,264.0,-9999.0,-9999.0,115,5,0,262.17,11.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,148.08899402618408,-1.0,-1.0,-9999.0,-9999,108.60696411132812,259.0,264.0,-9999.0,-9999.0,120,5,0,263.17,22.0,,b' ',,,b' ',,b' ',,b' ',b' '
