error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,138.1100034713745,-1.0,-1.0,-9999.0,-9999,120.6337890625,344.0,352.0,-9999.0,-9999.0,0,8,0,344.21,10.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,138.2140016555786,-1.0,-1.0,-9999.0,-9999,1230.1357421875,344.0,352.0,-9999.0,-9999.0,8,8,0,345.21,0.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,138.31799983978271,-1.0,-1.0,-9999.0,-9999,154.22882080078125,344.0,352.0,-9999.0,-9999.0,16,8,0,346.21,31.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,138.4250020980835,-1.0,-1.0,-9999.0,-9999,139.2308349609375,344.0,352.0,-9999.0,-9999.0,24,8,0,347.21,19.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,138.5290002822876,-1.0,-1.0,-9999.0,-9999,107.31511688232422,344.0,352.0,-9999.0,-9999.0,32,8,0,348.21,15.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,138.6329984664917,-1.0,-1.0,-9999.0,-9999,144.31773376464844,344.0,352.0,-9999.0,-9999.0,40,8,0,349.21,0.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,138.7369966506958,-1.0,-1.0,-9999.0,-9999,144.49595642089844,344.0,352.0,-9999.0,-9999.0,48,8,0,350.21,11.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,138.8409948348999,-1.0,-1.0,-9999.0,-9999,146.06837463378906,344.0,352.0,-9999.0,-9999.0,56,8,0,351.21,33.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,138.944993019104,-1.0,-1.0,-9999.0,-9999,151.04837036132812,344.0,352.0,-9999.0,-9999.0,64,8,0,344.21,21.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.04900550842285,-1.0,-1.0,-9999.0,-9999,147.76095581054688,344.0,352.0,-9999.0,-9999.0,72,8,0,345.21,36.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.15300369262695,-1.0,-1.0,-9999.0,-9999,167.73895263671875,344.0,352.0,-9999.0,-9999.0,80,8,0,346.21,68.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.25700187683105,-1.0,-1.0,-9999.0,-9999,198.1046142578125,344.0,352.0,-9999.0,-9999.0,88,8,0,347.21,0.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.36100006103516,-1.0,-1.0,-9999.0,-9999,131.4268035888672,344.0,352.0,-9999.0,-9999.0,96,8,0,348.21,6.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.46900367736816,-1.0,-1.0,-9999.0,-9999,121.58700561523438,344.0,352.0,-9999.0,-9999.0,104,8,0,349.21,36.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.57300186157227,-1.0,-1.0,-9999.0,-9999,144.86563110351562,344.0,352.0,-9999.0,-9999.0,112,8,0,350.21,21.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.67700004577637,-1.0,-1.0,-9999.0,-9999,142.9591827392578,344.0,352.0,-9999.0,-9999.0,120,8,0,351.21,1041.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.78099822998047,-1.0,-1.0,-9999.0,-9999,87.07437896728516,344.0,352.0,-9999.0,-9999.0,128,8,0,344.21,11.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
