error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,138.12900066375732,-1.0,-1.0,-9999.0,-9999,313.0469970703125,325.0,333.0,-9999.0,-9999.0,0,8,0,325.21,98.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,138.27499866485596,-1.0,-1.0,-9999.0,-9999,109.52766418457031,325.0,333.0,-9999.0,-9999.0,8,8,0,326.21,16.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,138.4709930419922,-1.0,-1.0,-9999.0,-9999,213.0399627685547,325.0,333.0,-9999.0,-9999.0,16,8,0,327.21,33.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,138.66600036621094,-1.0,-1.0,-9999.0,-9999,174.9829864501953,325.0,333.0,-9999.0,-9999.0,24,8,0,328.21,49.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,138.86099338531494,-1.0,-1.0,-9999.0,-9999,143.0072479248047,325.0,333.0,-9999.0,-9999.0,32,8,0,329.21,38.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,139.0560007095337,-1.0,-1.0,-9999.0,-9999,147.65048217773438,325.0,333.0,-9999.0,-9999.0,40,8,0,330.21,21.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,139.2509937286377,-1.0,-1.0,-9999.0,-9999,96.2419204711914,325.0,333.0,-9999.0,-9999.0,48,8,0,331.21,27.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.45000648498535,-1.0,-1.0,-9999.0,-9999,82.60859680175781,325.0,333.0,-9999.0,-9999.0,56,8,0,332.21,30.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.64499950408936,-1.0,-1.0,-9999.0,-9999,150.047119140625,325.0,333.0,-9999.0,-9999.0,64,8,0,325.21,14.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.8400068283081,-1.0,-1.0,-9999.0,-9999,149.15431213378906,325.0,333.0,-9999.0,-9999.0,72,8,0,326.21,5.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,140.0349998474121,-1.0,-1.0,-9999.0,-9999,136.5125732421875,325.0,333.0,-9999.0,-9999.0,80,8,0,327.21,27.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,140.2299928665161,-1.0,-1.0,-9999.0,-9999,124.8624038696289,325.0,333.0,-9999.0,-9999.0,88,8,0,328.21,48.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,140.42800426483154,-1.0,-1.0,-9999.0,-9999,141.56927490234375,325.0,333.0,-9999.0,-9999.0,96,8,0,329.21,5.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,140.62299728393555,-1.0,-1.0,-9999.0,-9999,141.37167358398438,325.0,333.0,-9999.0,-9999.0,104,8,0,330.21,0.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,140.81900596618652,-1.0,-1.0,-9999.0,-9999,115.64179992675781,325.0,333.0,-9999.0,-9999.0,112,8,0,331.21,5.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,141.01399898529053,-1.0,-1.0,-9999.0,-9999,131.1668243408203,325.0,333.0,-9999.0,-9999.0,120,8,0,332.21,5.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,141.20900630950928,-1.0,-1.0,-9999.0,-9999,153.731689453125,325.0,333.0,-9999.0,-9999.0,128,8,0,325.21,22.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,141.40700340270996,-1.0,-1.0,-9999.0,-9999,150.24468994140625,325.0,333.0,-9999.0,-9999.0,136,8,0,326.21,32.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,141.60199642181396,-1.0,-1.0,-9999.0,-9999,130.91067504882812,325.0,333.0,-9999.0,-9999.0,144,8,0,327.21,68.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,141.79700374603271,-1.0,-1.0,-9999.0,-9999,136.54550170898438,325.0,333.0,-9999.0,-9999.0,152,8,0,328.21,29.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,141.99199676513672,-1.0,-1.0,-9999.0,-9999,193.29249572753906,325.0,333.0,-9999.0,-9999.0,160,8,0,329.21,28.0,,b' ',,,b' ',,b' ',,b' ',b' '
