error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,114.0779972076416,-1.0,-1.0,-9999.0,-9999,2344.521484375,302.0,308.0,-9999.0,-9999.0,0,6,0,302.13,67.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,114.15600299835205,-1.0,-1.0,-9999.0,-9999,3309.8486328125,302.0,308.0,-9999.0,-9999.0,6,6,0,303.13,10.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,114.23500299453735,-1.0,-1.0,-9999.0,-9999,3640.1923828125,302.0,308.0,-9999.0,-9999.0,12,6,0,304.13,20.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,114.3120002746582,-1.0,-1.0,-9999.0,-9999,5128.330078125,302.0,308.0,-9999.0,-9999.0,18,6,0,305.13,956.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,114.38999891281128,-1.0,-1.0,-9999.0,-9999,4299.14501953125,302.0,308.0,-9999.0,-9999.0,24,6,0,306.13,1280.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,114.46799755096436,-1.0,-1.0,-9999.0,-9999,2725.03857421875,302.0,308.0,-9999.0,-9999.0,30,6,0,307.13,12.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,114.5460033416748,-1.0,-1.0,-9999.0,-9999,2969.418212890625,302.0,308.0,-9999.0,-9999.0,36,6,0,302.13,19.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,114.62400197982788,-1.0,-1.0,-9999.0,-9999,2106.96484375,302.0,308.0,-9999.0,-9999.0,42,6,0,303.13,51.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,114.70200061798096,-1.0,-1.0,-9999.0,-9999,2410.4794921875,302.0,308.0,-9999.0,-9999.0,48,6,0,304.13,1892.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,114.77999925613403,-1.0,-1.0,-9999.0,-9999,2653.5478515625,302.0,308.0,-9999.0,-9999.0,54,6,0,305.13,762.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,114.85799789428711,-1.0,-1.0,-9999.0,-9999,5692.87548828125,302.0,308.0,-9999.0,-9999.0,60,6,0,306.13,548.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,114.93599653244019,-1.0,-1.0,-9999.0,-9999,4876.001953125,302.0,308.0,-9999.0,-9999.0,66,6,0,307.13,39.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.01400232315063,-1.0,-1.0,-9999.0,-9999,2569.757568359375,302.0,308.0,-9999.0,-9999.0,72,6,0,302.13,38.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.09599924087524,-1.0,-1.0,-9999.0,-9999,3588.38134765625,302.0,308.0,-9999.0,-9999.0,78,6,0,303.13,23.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.17399787902832,-1.0,-1.0,-9999.0,-9999,2677.71923828125,302.0,308.0,-9999.0,-9999.0,84,6,0,304.13,590.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.2519965171814,-1.0,-1.0,-9999.0,-9999,2253.30712890625,302.0,308.0,-9999.0,-9999.0,90,6,0,305.13,1338.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.33000230789185,-1.0,-1.0,-9999.0,-9999,2828.671875,302.0,308.0,-9999.0,-9999.0,96,6,0,306.13,1647.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.40800094604492,-1.0,-1.0,-9999.0,-9999,3714.306396484375,302.0,308.0,-9999.0,-9999.0,102,6,0,307.13,5.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.485999584198,-1.0,-1.0,-9999.0,-9999,3299.342041015625,302.0,308.0,-9999.0,-9999.0,108,6,0,302.13,34.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.56399822235107,-1.0,-1.0,-9999.0,-9999,1631.87841796875,302.0,308.0,-9999.0,-9999.0,114,6,0,303.13,57.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.64199686050415,-1.0,-1.0,-9999.0,-9999,1080.015380859375,302.0,308.0,-9999.0,-9999.0,120,6,0,304.13,329.0,,b' ',,,b' ',,b' ',,b' ',b' '
