error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,138.10900211334229,-1.0,-1.0,-9999.0,-9999,535.0665893554688,344.0,352.0,-9999.0,-9999.0,0,8,0,344.21,27.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,138.2130002975464,-1.0,-1.0,-9999.0,-9999,364.9701843261719,344.0,352.0,-9999.0,-9999.0,8,8,0,345.21,440.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,138.3169984817505,-1.0,-1.0,-9999.0,-9999,142.31544494628906,344.0,352.0,-9999.0,-9999.0,16,8,0,346.21,18.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,138.4209966659546,-1.0,-1.0,-9999.0,-9999,188.11988830566406,344.0,352.0,-9999.0,-9999.0,24,8,0,347.21,7.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,138.52799892425537,-1.0,-1.0,-9999.0,-9999,219.8017120361328,344.0,352.0,-9999.0,-9999.0,32,8,0,348.21,5.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,138.63199710845947,-1.0,-1.0,-9999.0,-9999,316.07366943359375,344.0,352.0,-9999.0,-9999.0,40,8,0,349.21,11.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,138.7369966506958,-1.0,-1.0,-9999.0,-9999,246.31268310546875,344.0,352.0,-9999.0,-9999.0,48,8,0,350.21,23.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,138.83999347686768,-1.0,-1.0,-9999.0,-9999,172.0516357421875,344.0,352.0,-9999.0,-9999.0,56,8,0,351.21,5.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,138.94400596618652,-1.0,-1.0,-9999.0,-9999,91.75137329101562,344.0,352.0,-9999.0,-9999.0,64,8,0,344.21,48.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.04800415039062,-1.0,-1.0,-9999.0,-9999,179.26223754882812,344.0,352.0,-9999.0,-9999.0,72,8,0,345.21,66.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.15200233459473,-1.0,-1.0,-9999.0,-9999,178.93148803710938,344.0,352.0,-9999.0,-9999.0,80,8,0,346.21,15.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.25600051879883,-1.0,-1.0,-9999.0,-9999,144.3644561767578,344.0,352.0,-9999.0,-9999.0,88,8,0,347.21,82.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.36100006103516,-1.0,-1.0,-9999.0,-9999,207.507568359375,344.0,352.0,-9999.0,-9999.0,96,8,0,348.21,69.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.46599960327148,-1.0,-1.0,-9999.0,-9999,168.50486755371094,344.0,352.0,-9999.0,-9999.0,104,8,0,349.21,14.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.5699977874756,-1.0,-1.0,-9999.0,-9999,175.89697265625,344.0,352.0,-9999.0,-9999.0,112,8,0,350.21,33.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.6739959716797,-1.0,-1.0,-9999.0,-9999,138.58035278320312,344.0,352.0,-9999.0,-9999.0,120,8,0,351.21,38.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.7779941558838,-1.0,-1.0,-9999.0,-9999,152.261962890625,344.0,352.0,-9999.0,-9999.0,128,8,0,344.21,21.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.88200664520264,-1.0,-1.0,-9999.0,-9999,156.28878784179688,344.0,352.0,-9999.0,-9999.0,136,8,0,345.21,48.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.98600482940674,-1.0,-1.0,-9999.0,-9999,68.88817596435547,344.0,352.0,-9999.0,-9999.0,144,8,0,346.21,7.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,140.09000301361084,-1.0,-1.0,-9999.0,-9999,176.96054077148438,344.0,352.0,-9999.0,-9999.0,152,8,0,347.21,0.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,140.19400119781494,-1.0,-1.0,-9999.0,-9999,273.2509765625,344.0,352.0,-9999.0,-9999.0,160,8,0,348.21,0.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,140.29799938201904,-1.0,-1.0,-9999.0,-9999,186.61532592773438,344.0,352.0,-9999.0,-9999.0,168,8,0,349.21,55.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,140.40199756622314,-1.0,-1.0,-9999.0,-9999,157.89678955078125,344.0,352.0,-9999.0,-9999.0,176,8,0,350.21,0.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,140.51000118255615,-1.0,-1.0,-9999.0,-9999,1082.519287109375,344.0,352.0,-9999.0,-9999.0,184,8,0,351.21,12.0,,b' ',,,b' ',,b' ',,b' ',b' '
