error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,270.1120090484619,-1.0,-1.0,-9999.0,-9999,1463.5579833984375,319.0,326.0,-9999.0,-9999.0,0,7,0,319.21,330.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,270.25500297546387,-1.0,-1.0,-9999.0,-9999,1881.1527099609375,319.0,326.0,-9999.0,-9999.0,7,7,0,320.21,280.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,270.4409980773926,-1.0,-1.0,-9999.0,-9999,1486.9185791015625,319.0,326.0,-9999.0,-9999.0,14,7,0,321.21,222.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,270.6229877471924,-1.0,-1.0,-9999.0,-9999,1070.651123046875,319.0,326.0,-9999.0,-9999.0,21,7,0,322.21,174.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,270.8050060272217,-1.0,-1.0,-9999.0,-9999,781.2091674804688,319.0,326.0,-9999.0,-9999.0,28,7,0,323.21,212.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,270.9869956970215,-1.0,-1.0,-9999.0,-9999,848.5567626953125,319.0,326.0,-9999.0,-9999.0,35,7,0,324.21,98.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,271.1690139770508,-1.0,-1.0,-9999.0,-9999,862.5115966796875,319.0,326.0,-9999.0,-9999.0,42,7,0,325.21,148.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,271.35400772094727,-1.0,-1.0,-9999.0,-9999,853.9833984375,319.0,326.0,-9999.0,-9999.0,49,7,0,319.21,145.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,271.5369987487793,-1.0,-1.0,-9999.0,-9999,888.5804443359375,319.0,326.0,-9999.0,-9999.0,56,7,0,320.21,190.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,271.7189884185791,-1.0,-1.0,-9999.0,-9999,869.35107421875,319.0,326.0,-9999.0,-9999.0,63,7,0,321.21,1067.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,271.9010066986084,-1.0,-1.0,-9999.0,-9999,905.991455078125,319.0,326.0,-9999.0,-9999.0,70,7,0,322.21,92.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,272.0829963684082,-1.0,-1.0,-9999.0,-9999,851.3320922851562,319.0,326.0,-9999.0,-9999.0,77,7,0,323.21,133.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,272.264986038208,-1.0,-1.0,-9999.0,-9999,913.7091064453125,319.0,326.0,-9999.0,-9999.0,84,7,0,324.21,73.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,272.450008392334,-1.0,-1.0,-9999.0,-9999,689.6558227539062,319.0,326.0,-9999.0,-9999.0,91,7,0,325.21,182.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,272.6319980621338,-1.0,-1.0,-9999.0,-9999,812.574951171875,319.0,326.0,-9999.0,-9999.0,98,7,0,319.21,228.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,272.8139877319336,-1.0,-1.0,-9999.0,-9999,698.3023071289062,319.0,326.0,-9999.0,-9999.0,105,7,0,320.21,231.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
