error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,138.12200546264648,-1.0,-1.0,-9999.0,-9999,176.25558471679688,325.0,333.0,-9999.0,-9999.0,0,8,0,325.21,17.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,138.26900482177734,-1.0,-1.0,-9999.0,-9999,183.6533966064453,325.0,333.0,-9999.0,-9999.0,8,8,0,326.21,17.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,138.46399784088135,-1.0,-1.0,-9999.0,-9999,220.4293212890625,325.0,333.0,-9999.0,-9999.0,16,8,0,327.21,10.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,138.6590051651001,-1.0,-1.0,-9999.0,-9999,201.41598510742188,325.0,333.0,-9999.0,-9999.0,24,8,0,328.21,38.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,138.8539981842041,-1.0,-1.0,-9999.0,-9999,213.88308715820312,325.0,333.0,-9999.0,-9999.0,32,8,0,329.21,13.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,139.04900550842285,-1.0,-1.0,-9999.0,-9999,143.23182678222656,325.0,333.0,-9999.0,-9999.0,40,8,0,330.21,25.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,139.24700260162354,-1.0,-1.0,-9999.0,-9999,162.59103393554688,325.0,333.0,-9999.0,-9999.0,48,8,0,331.21,15.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.44199562072754,-1.0,-1.0,-9999.0,-9999,237.5001220703125,325.0,333.0,-9999.0,-9999.0,56,8,0,332.21,43.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.6370029449463,-1.0,-1.0,-9999.0,-9999,185.92861938476562,325.0,333.0,-9999.0,-9999.0,64,8,0,325.21,31.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.8319959640503,-1.0,-1.0,-9999.0,-9999,194.9230194091797,325.0,333.0,-9999.0,-9999.0,72,8,0,326.21,12.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
