error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,114.06500101089478,-1.0,-1.0,-9999.0,-9999,95.12557220458984,275.0,280.0,-9999.0,-9999.0,0,5,0,275.11,20.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,114.13000345230103,-1.0,-1.0,-9999.0,-9999,129.83079528808594,275.0,280.0,-9999.0,-9999.0,5,5,0,276.11,21.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,114.1949987411499,-1.0,-1.0,-9999.0,-9999,176.8301544189453,275.0,280.0,-9999.0,-9999.0,10,5,0,277.11,13.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,114.26000118255615,-1.0,-1.0,-9999.0,-9999,63.775611877441406,275.0,280.0,-9999.0,-9999.0,15,5,0,278.11,37.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,114.32499647140503,-1.0,-1.0,-9999.0,-9999,89.77247619628906,275.0,280.0,-9999.0,-9999.0,20,5,0,279.11,5.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,114.38999891281128,-1.0,-1.0,-9999.0,-9999,129.60025024414062,275.0,280.0,-9999.0,-9999.0,25,5,0,275.11,10.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,114.45500135421753,-1.0,-1.0,-9999.0,-9999,90.79698181152344,275.0,280.0,-9999.0,-9999.0,30,5,0,276.11,0.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,114.5199966430664,-1.0,-1.0,-9999.0,-9999,111.85066223144531,275.0,280.0,-9999.0,-9999.0,35,5,0,277.11,29.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,114.58499908447266,-1.0,-1.0,-9999.0,-9999,58.371337890625,275.0,280.0,-9999.0,-9999.0,40,5,0,278.11,52.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,114.6500015258789,-1.0,-1.0,-9999.0,-9999,104.67906188964844,275.0,280.0,-9999.0,-9999.0,45,5,0,279.11,39.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,114.71499681472778,-1.0,-1.0,-9999.0,-9999,74.41771697998047,275.0,280.0,-9999.0,-9999.0,50,5,0,275.11,31.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,114.77999925613403,-1.0,-1.0,-9999.0,-9999,106.72808837890625,275.0,280.0,-9999.0,-9999.0,55,5,0,276.11,68.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,114.84500169754028,-1.0,-1.0,-9999.0,-9999,102.57887268066406,275.0,280.0,-9999.0,-9999.0,60,5,0,277.11,47.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,114.90999698638916,-1.0,-1.0,-9999.0,-9999,143.14944458007812,275.0,280.0,-9999.0,-9999.0,65,5,0,278.11,17.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,114.97499942779541,-1.0,-1.0,-9999.0,-9999,51.99372100830078,275.0,280.0,-9999.0,-9999.0,70,5,0,279.11,15.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.0440001487732,-1.0,-1.0,-9999.0,-9999,105.70357513427734,275.0,280.0,-9999.0,-9999.0,75,5,0,275.11,27.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.10900259017944,-1.0,-1.0,-9999.0,-9999,100.75392150878906,275.0,280.0,-9999.0,-9999.0,80,5,0,276.11,16.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.17399787902832,-1.0,-1.0,-9999.0,-9999,82.26800537109375,275.0,280.0,-9999.0,-9999.0,85,5,0,277.11,21.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.23900032043457,-1.0,-1.0,-9999.0,-9999,74.07190704345703,275.0,280.0,-9999.0,-9999.0,90,5,0,278.11,0.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.30400276184082,-1.0,-1.0,-9999.0,-9999,152.70294189453125,275.0,280.0,-9999.0,-9999.0,95,5,0,279.11,0.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.3689980506897,-1.0,-1.0,-9999.0,-9999,142.97007751464844,275.0,280.0,-9999.0,-9999.0,100,5,0,275.11,24.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.43400049209595,-1.0,-1.0,-9999.0,-9999,111.51776885986328,275.0,280.0,-9999.0,-9999.0,105,5,0,276.11,14.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.4990029335022,-1.0,-1.0,-9999.0,-9999,58.99886703491211,275.0,280.0,-9999.0,-9999.0,110,5,0,277.11,7.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.56399822235107,-1.0,-1.0,-9999.0,-9999,108.61067199707031,275.0,280.0,-9999.0,-9999.0,115,5,0,278.11,32.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.62900066375732,-1.0,-1.0,-9999.0,-9999,83.06196594238281,275.0,280.0,-9999.0,-9999.0,120,5,0,279.11,13.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.69400310516357,-1.0,-1.0,-9999.0,-9999,81.12821960449219,275.0,280.0,-9999.0,-9999.0,125,5,0,275.11,33.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.75899839401245,-1.0,-1.0,-9999.0,-9999,121.865234375,275.0,280.0,-9999.0,-9999.0,130,5,0,276.11,66.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.8240008354187,-1.0,-1.0,-9999.0,-9999,72.48396301269531,275.0,280.0,-9999.0,-9999.0,135,5,0,277.11,13.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.88900327682495,-1.0,-1.0,-9999.0,-9999,80.615966796875,275.0,280.0,-9999.0,-9999.0,140,5,0,278.11,0.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,115.95399856567383,-1.0,-1.0,-9999.0,-9999,65.3123779296875,275.0,280.0,-9999.0,-9999.0,145,5,0,279.11,18.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,116.01900100708008,-1.0,-1.0,-9999.0,-9999,68.55235290527344,275.0,280.0,-9999.0,-9999.0,150,5,0,275.11,22.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,116.08800172805786,-1.0,-1.0,-9999.0,-9999,63.23130798339844,275.0,280.0,-9999.0,-9999.0,155,5,0,276.11,13.0,,,,,,,,,,
