error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,126.07100486755371,-1.0,-1.0,-9999.0,-9999,100.3609619140625,245.0,249.0,-9999.0,-9999.0,0,4,0,245.08,18.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,126.13599300384521,-1.0,-1.0,-9999.0,-9999,106.50804138183594,245.0,249.0,-9999.0,-9999.0,4,4,0,246.08,38.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,126.27900123596191,-1.0,-1.0,-9999.0,-9999,93.18938446044922,245.0,249.0,-9999.0,-9999.0,8,4,0,247.08,29.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,126.42199516296387,-1.0,-1.0,-9999.0,-9999,59.175662994384766,245.0,249.0,-9999.0,-9999.0,12,4,0,248.08,16.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,126.5660047531128,-1.0,-1.0,-9999.0,-9999,51.348411560058594,245.0,249.0,-9999.0,-9999.0,16,4,0,245.08,16.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,126.70899868011475,-1.0,-1.0,-9999.0,-9999,69.93304443359375,245.0,249.0,-9999.0,-9999.0,20,4,0,246.08,41.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,126.85200691223145,-1.0,-1.0,-9999.0,-9999,103.06566619873047,245.0,249.0,-9999.0,-9999.0,24,4,0,247.08,27.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,126.9950008392334,-1.0,-1.0,-9999.0,-9999,51.06158447265625,245.0,249.0,-9999.0,-9999.0,28,4,0,248.08,23.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,127.13799476623535,-1.0,-1.0,-9999.0,-9999,92.17518615722656,245.0,249.0,-9999.0,-9999.0,32,4,0,245.08,19.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,127.28100299835205,-1.0,-1.0,-9999.0,-9999,71.91036224365234,245.0,249.0,-9999.0,-9999.0,36,4,0,246.08,24.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,127.423996925354,-1.0,-1.0,-9999.0,-9999,54.278533935546875,245.0,249.0,-9999.0,-9999.0,40,4,0,247.08,38.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
