error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,312.13099479675293,-1.0,-1.0,-9999.0,-9999,795.0823974609375,301.0,309.0,-9999.0,-9999.0,0,8,0,301.21,13.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,312.26099967956543,-1.0,-1.0,-9999.0,-9999,250.6156005859375,301.0,309.0,-9999.0,-9999.0,8,8,0,302.21,656.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,312.46899604797363,-1.0,-1.0,-9999.0,-9999,1362.7850341796875,301.0,309.0,-9999.0,-9999.0,16,8,0,303.21,39.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,312.67699241638184,-1.0,-1.0,-9999.0,-9999,201.68504333496094,301.0,309.0,-9999.0,-9999.0,24,8,0,304.21,15.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,312.88498878479004,-1.0,-1.0,-9999.0,-9999,116.89657592773438,301.0,309.0,-9999.0,-9999.0,32,8,0,305.21,29.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,313.09301376342773,-1.0,-1.0,-9999.0,-9999,225.88388061523438,301.0,309.0,-9999.0,-9999.0,40,8,0,306.21,6.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,313.30498695373535,-1.0,-1.0,-9999.0,-9999,437.2408447265625,301.0,309.0,-9999.0,-9999.0,48,8,0,307.21,24.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.51301193237305,-1.0,-1.0,-9999.0,-9999,399.48248291015625,301.0,309.0,-9999.0,-9999.0,56,8,0,308.21,14.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.72100830078125,-1.0,-1.0,-9999.0,-9999,327.84344482421875,301.0,309.0,-9999.0,-9999.0,64,8,0,301.21,0.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,313.92900466918945,-1.0,-1.0,-9999.0,-9999,486.8682556152344,301.0,309.0,-9999.0,-9999.0,72,8,0,302.21,54.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.13700103759766,-1.0,-1.0,-9999.0,-9999,323.9708557128906,301.0,309.0,-9999.0,-9999.0,80,8,0,303.21,0.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.34800148010254,-1.0,-1.0,-9999.0,-9999,190.84564208984375,301.0,309.0,-9999.0,-9999.0,88,8,0,304.21,40.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,314.55599784851074,-1.0,-1.0,-9999.0,-9999,122.00882720947266,301.0,309.0,-9999.0,-9999.0,96,8,0,305.21,56.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
