error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,306.1039924621582,-1.0,-1.0,-9999.0,-9999,268.91339111328125,486.0,494.0,-9999.0,-9999.0,0,8,0,486.21,5.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,306.2079906463623,-1.0,-1.0,-9999.0,-9999,139.12838745117188,486.0,494.0,-9999.0,-9999.0,8,8,0,487.21,6.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,306.3119888305664,-1.0,-1.0,-9999.0,-9999,793.299560546875,486.0,494.0,-9999.0,-9999.0,16,8,0,488.21,139.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,306.4159870147705,-1.0,-1.0,-9999.0,-9999,113.82303619384766,486.0,494.0,-9999.0,-9999.0,24,8,0,489.21,7.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,306.5200138092041,-1.0,-1.0,-9999.0,-9999,668.9136962890625,486.0,494.0,-9999.0,-9999.0,32,8,0,490.21,41.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,306.6240119934082,-1.0,-1.0,-9999.0,-9999,376.3643798828125,486.0,494.0,-9999.0,-9999.0,40,8,0,491.21,28.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,306.7280101776123,-1.0,-1.0,-9999.0,-9999,212.42181396484375,486.0,494.0,-9999.0,-9999.0,48,8,0,492.21,29.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,306.8320083618164,-1.0,-1.0,-9999.0,-9999,185.5899658203125,486.0,494.0,-9999.0,-9999.0,56,8,0,493.21,13.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,306.9360065460205,-1.0,-1.0,-9999.0,-9999,169.4128875732422,486.0,494.0,-9999.0,-9999.0,64,8,0,486.21,14.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,307.0430088043213,-1.0,-1.0,-9999.0,-9999,175.85711669921875,486.0,494.0,-9999.0,-9999.0,72,8,0,487.21,16.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,307.1470069885254,-1.0,-1.0,-9999.0,-9999,153.54327392578125,486.0,494.0,-9999.0,-9999.0,80,8,0,488.21,42.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,307.2510051727295,-1.0,-1.0,-9999.0,-9999,131.45486450195312,486.0,494.0,-9999.0,-9999.0,88,8,0,489.21,12.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,307.3550033569336,-1.0,-1.0,-9999.0,-9999,183.31552124023438,486.0,494.0,-9999.0,-9999.0,96,8,0,490.21,0.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,307.4590015411377,-1.0,-1.0,-9999.0,-9999,111.9891357421875,486.0,494.0,-9999.0,-9999.0,104,8,0,491.21,39.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,307.5629997253418,-1.0,-1.0,-9999.0,-9999,105.04298400878906,486.0,494.0,-9999.0,-9999.0,112,8,0,492.21,12.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,307.6669979095459,-1.0,-1.0,-9999.0,-9999,94.7978515625,486.0,494.0,-9999.0,-9999.0,120,8,0,493.21,6.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,307.77099609375,-1.0,-1.0,-9999.0,-9999,145.34718322753906,486.0,494.0,-9999.0,-9999.0,128,8,0,486.21,25.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,307.8749942779541,-1.0,-1.0,-9999.0,-9999,225.82249450683594,486.0,494.0,-9999.0,-9999.0,136,8,0,487.21,26.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,307.9789924621582,-1.0,-1.0,-9999.0,-9999,186.90133666992188,486.0,494.0,-9999.0,-9999.0,144,8,0,488.21,5.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,308.0869960784912,-1.0,-1.0,-9999.0,-9999,172.48646545410156,486.0,494.0,-9999.0,-9999.0,152,8,0,489.21,598.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,308.1909942626953,-1.0,-1.0,-9999.0,-9999,70.07645416259766,486.0,494.0,-9999.0,-9999.0,160,8,0,490.21,37.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,308.2949924468994,-1.0,-1.0,-9999.0,-9999,106.06748962402344,486.0,494.0,-9999.0,-9999.0,168,8,0,491.21,66.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,308.3989906311035,-1.0,-1.0,-9999.0,-9999,113.5259017944336,486.0,494.0,-9999.0,-9999.0,176,8,0,492.21,11.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,308.5029888153076,-1.0,-1.0,-9999.0,-9999,132.76622009277344,486.0,494.0,-9999.0,-9999.0,184,8,0,493.21,26.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,308.6069869995117,-1.0,-1.0,-9999.0,-9999,216.089599609375,486.0,494.0,-9999.0,-9999.0,192,8,0,486.21,5.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,308.7110137939453,-1.0,-1.0,-9999.0,-9999,256.3117980957031,486.0,494.0,-9999.0,-9999.0,200,8,0,487.21,0.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,308.8150119781494,-1.0,-1.0,-9999.0,-9999,196.48046875,486.0,494.0,-9999.0,-9999.0,208,8,0,488.21,5.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,308.9190101623535,-1.0,-1.0,-9999.0,-9999,169.92515563964844,486.0,494.0,-9999.0,-9999.0,216,8,0,489.21,34.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,309.0230083465576,-1.0,-1.0,-9999.0,-9999,156.975341796875,486.0,494.0,-9999.0,-9999.0,224,8,0,490.21,11.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,309.1300106048584,-1.0,-1.0,-9999.0,-9999,212.729248046875,486.0,494.0,-9999.0,-9999.0,232,8,0,491.21,42.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,309.2340087890625,-1.0,-1.0,-9999.0,-9999,207.104736328125,486.0,494.0,-9999.0,-9999.0,240,8,0,492.21,9.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,309.3380069732666,-1.0,-1.0,-9999.0,-9999,120.40036010742188,486.0,494.0,-9999.0,-9999.0,248,8,0,493.21,7.0,,,,,,,,,,
