error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,144.07899856567383,-1.0,-1.0,-9999.0,-9999,615.1991577148438,259.0,264.0,-9999.0,-9999.0,0,5,0,259.17,36.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,144.18299674987793,-1.0,-1.0,-9999.0,-9999,79.55683135986328,259.0,264.0,-9999.0,-9999.0,5,5,0,260.17,11.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,144.35199737548828,-1.0,-1.0,-9999.0,-9999,145.08921813964844,259.0,264.0,-9999.0,-9999.0,10,5,0,261.17,11.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,144.5230007171631,-1.0,-1.0,-9999.0,-9999,110.71566772460938,259.0,264.0,-9999.0,-9999.0,15,5,0,262.17,539.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,144.6940040588379,-1.0,-1.0,-9999.0,-9999,125.20000457763672,259.0,264.0,-9999.0,-9999.0,20,5,0,263.17,19.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,144.86300468444824,-1.0,-1.0,-9999.0,-9999,78.25,259.0,264.0,-9999.0,-9999.0,25,5,0,259.17,18.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,145.0320053100586,-1.0,-1.0,-9999.0,-9999,89.2191162109375,259.0,264.0,-9999.0,-9999.0,30,5,0,260.17,16.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,145.20100593566895,-1.0,-1.0,-9999.0,-9999,143.92355346679688,259.0,264.0,-9999.0,-9999.0,35,5,0,261.17,23.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,145.3700065612793,-1.0,-1.0,-9999.0,-9999,96.09019470214844,259.0,264.0,-9999.0,-9999.0,40,5,0,262.17,16.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,145.53999423980713,-1.0,-1.0,-9999.0,-9999,99.30487823486328,259.0,264.0,-9999.0,-9999.0,45,5,0,263.17,7.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,145.70899486541748,-1.0,-1.0,-9999.0,-9999,118.0284194946289,259.0,264.0,-9999.0,-9999.0,50,5,0,259.17,42.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,145.87799549102783,-1.0,-1.0,-9999.0,-9999,118.61125946044922,259.0,264.0,-9999.0,-9999.0,55,5,0,260.17,19.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,146.04699611663818,-1.0,-1.0,-9999.0,-9999,73.1980209350586,259.0,264.0,-9999.0,-9999.0,60,5,0,261.17,28.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,146.21599674224854,-1.0,-1.0,-9999.0,-9999,81.4646987915039,259.0,264.0,-9999.0,-9999.0,65,5,0,262.17,45.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,146.3849973678589,-1.0,-1.0,-9999.0,-9999,65.95585632324219,259.0,264.0,-9999.0,-9999.0,70,5,0,263.17,12.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,146.55800342559814,-1.0,-1.0,-9999.0,-9999,65.67353820800781,259.0,264.0,-9999.0,-9999.0,75,5,0,259.17,24.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,146.7270040512085,-1.0,-1.0,-9999.0,-9999,89.59021759033203,259.0,264.0,-9999.0,-9999.0,80,5,0,260.17,5.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,146.89600467681885,-1.0,-1.0,-9999.0,-9999,59.526466369628906,259.0,264.0,-9999.0,-9999.0,85,5,0,261.17,5.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,147.0650053024292,-1.0,-1.0,-9999.0,-9999,30.928903579711914,259.0,264.0,-9999.0,-9999.0,90,5,0,262.17,56.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,147.23400592803955,-1.0,-1.0,-9999.0,-9999,67.56320190429688,259.0,264.0,-9999.0,-9999.0,95,5,0,263.17,20.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,147.4030065536499,-1.0,-1.0,-9999.0,-9999,107.71272277832031,259.0,264.0,-9999.0,-9999.0,100,5,0,259.17,0.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,147.5749969482422,-1.0,-1.0,-9999.0,-9999,83.88482666015625,259.0,264.0,-9999.0,-9999.0,105,5,0,260.17,11.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,147.74499893188477,-1.0,-1.0,-9999.0,-9999,72.31466674804688,259.0,264.0,-9999.0,-9999.0,110,5,0,261.17,33.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,147.91399955749512,-1.0,-1.0,-9999.0,-9999,127.68161010742188,259.0,264.0,-9999.0,-9999.0,115,5,0,262.17,71.0,,b' ',,,b' ',,b' ',,b' ',b' '
