error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,138.10499668121338,-1.0,-1.0,-9999.0,-9999,188.36463928222656,344.0,352.0,-9999.0,-9999.0,0,8,0,344.21,5.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,138.20899486541748,-1.0,-1.0,-9999.0,-9999,92.13329315185547,344.0,352.0,-9999.0,-9999.0,8,8,0,345.21,70.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,138.31299304962158,-1.0,-1.0,-9999.0,-9999,392.02862548828125,344.0,352.0,-9999.0,-9999.0,16,8,0,346.21,21.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,138.41700553894043,-1.0,-1.0,-9999.0,-9999,206.80587768554688,344.0,352.0,-9999.0,-9999.0,24,8,0,347.21,16.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,138.5249948501587,-1.0,-1.0,-9999.0,-9999,186.59793090820312,344.0,352.0,-9999.0,-9999.0,32,8,0,348.21,5.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,138.6289930343628,-1.0,-1.0,-9999.0,-9999,233.47735595703125,344.0,352.0,-9999.0,-9999.0,40,8,0,349.21,0.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,138.73300552368164,-1.0,-1.0,-9999.0,-9999,153.12594604492188,344.0,352.0,-9999.0,-9999.0,48,8,0,350.21,31.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,138.83700370788574,-1.0,-1.0,-9999.0,-9999,120.94258880615234,344.0,352.0,-9999.0,-9999.0,56,8,0,351.21,40.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,138.94100189208984,-1.0,-1.0,-9999.0,-9999,105.73426818847656,344.0,352.0,-9999.0,-9999.0,64,8,0,344.21,17.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.04500007629395,-1.0,-1.0,-9999.0,-9999,215.2136993408203,344.0,352.0,-9999.0,-9999.0,72,8,0,345.21,11.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.14899826049805,-1.0,-1.0,-9999.0,-9999,201.68328857421875,344.0,352.0,-9999.0,-9999.0,80,8,0,346.21,13.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.25299644470215,-1.0,-1.0,-9999.0,-9999,212.74119567871094,344.0,352.0,-9999.0,-9999.0,88,8,0,347.21,14.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.35699462890625,-1.0,-1.0,-9999.0,-9999,226.27159118652344,344.0,352.0,-9999.0,-9999.0,96,8,0,348.21,22.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.46399688720703,-1.0,-1.0,-9999.0,-9999,199.51132202148438,344.0,352.0,-9999.0,-9999.0,104,8,0,349.21,0.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.56799507141113,-1.0,-1.0,-9999.0,-9999,154.59213256835938,344.0,352.0,-9999.0,-9999.0,112,8,0,350.21,5.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.67199325561523,-1.0,-1.0,-9999.0,-9999,140.0372314453125,344.0,352.0,-9999.0,-9999.0,120,8,0,351.21,12.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.77600574493408,-1.0,-1.0,-9999.0,-9999,141.87451171875,344.0,352.0,-9999.0,-9999.0,128,8,0,344.21,70.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.88000392913818,-1.0,-1.0,-9999.0,-9999,131.7705535888672,344.0,352.0,-9999.0,-9999.0,136,8,0,345.21,21.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.98400211334229,-1.0,-1.0,-9999.0,-9999,140.97296142578125,344.0,352.0,-9999.0,-9999.0,144,8,0,346.21,45.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,140.0880002975464,-1.0,-1.0,-9999.0,-9999,125.76463317871094,344.0,352.0,-9999.0,-9999.0,152,8,0,347.21,199.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,140.1919984817505,-1.0,-1.0,-9999.0,-9999,148.51565551757812,344.0,352.0,-9999.0,-9999.0,160,8,0,348.21,19.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,140.2959966659546,-1.0,-1.0,-9999.0,-9999,129.439208984375,344.0,352.0,-9999.0,-9999.0,168,8,0,349.21,13.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,140.3999948501587,-1.0,-1.0,-9999.0,-9999,133.2367401123047,344.0,352.0,-9999.0,-9999.0,176,8,0,350.21,0.0,,b' ',,,b' ',,b' ',,b' ',b' '
