error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,138.12900066375732,-1.0,-1.0,-9999.0,-9999,372.114501953125,325.0,333.0,-9999.0,-9999.0,0,8,0,325.21,18.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,138.27600002288818,-1.0,-1.0,-9999.0,-9999,258.0302429199219,325.0,333.0,-9999.0,-9999.0,8,8,0,326.21,56.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,138.4709930419922,-1.0,-1.0,-9999.0,-9999,324.80523681640625,325.0,333.0,-9999.0,-9999.0,16,8,0,327.21,62.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,138.66600036621094,-1.0,-1.0,-9999.0,-9999,184.68673706054688,325.0,333.0,-9999.0,-9999.0,24,8,0,328.21,56.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,138.86099338531494,-1.0,-1.0,-9999.0,-9999,238.69979858398438,325.0,333.0,-9999.0,-9999.0,32,8,0,329.21,11.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,139.0560007095337,-1.0,-1.0,-9999.0,-9999,156.85865783691406,325.0,333.0,-9999.0,-9999.0,40,8,0,330.21,27.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,139.2509937286377,-1.0,-1.0,-9999.0,-9999,167.90213012695312,325.0,333.0,-9999.0,-9999.0,48,8,0,331.21,68.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.44900512695312,-1.0,-1.0,-9999.0,-9999,252.74139404296875,325.0,333.0,-9999.0,-9999.0,56,8,0,332.21,74.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.64399814605713,-1.0,-1.0,-9999.0,-9999,166.56832885742188,325.0,333.0,-9999.0,-9999.0,64,8,0,325.21,42.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,139.8400068283081,-1.0,-1.0,-9999.0,-9999,148.70700073242188,325.0,333.0,-9999.0,-9999.0,72,8,0,326.21,47.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
