error_log,a_d_sampling_rate,a_d_coaddition_factor,scan_acquisition_time,scan_duration,inter_scan_time,resolution,actual_scan_number,total_intensity,mass_range_min,mass_range_max,time_range_min,time_range_max,scan_index,point_count,flag_count,mass_values,intensity_values,instrument_name,instrument_id,instrument_mfr,instrument_model,instrument_serial_no,instrument_sw_version,instrument_fw_version,instrument_os_version,instrument_app_version,instrument_comments
b' ',-9999.0,-9999,354.16900634765625,-1.0,-1.0,-9999.0,-9999,385.4331359863281,374.0,387.0,-9999.0,-9999.0,0,13,0,374.21,79.0,b'M',b' ',b'V',b'X',b' ',b'2',b' ',b'M',b' ',b' '
b' ',-9999.0,-9999,354.3380069732666,-1.0,-1.0,-9999.0,-9999,356.1437072753906,374.0,387.0,-9999.0,-9999.0,13,13,0,375.21,23.0,b'a',b' ',b'G',b'E',b' ',b'.',b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,354.50700759887695,-1.0,-1.0,-9999.0,-9999,351.4734802246094,374.0,387.0,-9999.0,-9999.0,26,13,0,376.21,26.0,b's',b' ',b' ',b'V',b' ',b'2',b' ',b'-',b' ',b' '
b' ',-9999.0,-9999,354.6760082244873,-1.0,-1.0,-9999.0,-9999,168.1282958984375,374.0,387.0,-9999.0,-9999.0,39,13,0,377.21,5.0,b's',b' ',b'B',b'O',b' ',,b' ',b'D',b' ',b' '
b' ',-9999.0,-9999,354.84500885009766,-1.0,-1.0,-9999.0,-9999,223.76898193359375,374.0,387.0,-9999.0,-9999.0,52,13,0,378.21,47.0,b' ',b' ',b'i',b'-',b' ',,b' ',b'O',b' ',b' '
b' ',-9999.0,-9999,355.014009475708,-1.0,-1.0,-9999.0,-9999,295.5467224121094,374.0,387.0,-9999.0,-9999.0,65,13,0,379.21,28.0,b's',b' ',b'o',b'T',b' ',,b' ',b'S',b' ',b' '
b' ',-9999.0,-9999,355.18601417541504,-1.0,-1.0,-9999.0,-9999,237.2084503173828,374.0,387.0,-9999.0,-9999.0,78,13,0,380.21,20.0,b'p',b' ',b'T',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,355.3549861907959,-1.0,-1.0,-9999.0,-9999,319.2902526855469,374.0,387.0,-9999.0,-9999.0,91,13,0,381.21,19.0,b'e',b' ',b'e',b'D',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,355.52398681640625,-1.0,-1.0,-9999.0,-9999,248.508056640625,374.0,387.0,-9999.0,-9999.0,104,13,0,382.21,34.0,b'c',b' ',b'c',b'#',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,355.6929874420166,-1.0,-1.0,-9999.0,-9999,207.30140686035156,374.0,387.0,-9999.0,-9999.0,117,13,0,383.21,0.0,b't',b' ',b'h',b'Q',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,355.86198806762695,-1.0,-1.0,-9999.0,-9999,330.45550537109375,374.0,387.0,-9999.0,-9999.0,130,13,0,384.21,43.0,b'r',b' ',,b'C',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,356.03199005126953,-1.0,-1.0,-9999.0,-9999,259.0856628417969,374.0,387.0,-9999.0,-9999.0,143,13,0,385.21,47.0,b'o',b' ',,b'A',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,356.2019920349121,-1.0,-1.0,-9999.0,-9999,314.5446472167969,374.0,387.0,-9999.0,-9999.0,156,13,0,386.21,14.0,b'm',b' ',,b'1',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,356.37099266052246,-1.0,-1.0,-9999.0,-9999,218.42799377441406,374.0,387.0,-9999.0,-9999.0,169,13,0,374.21,35.0,b'e',b' ',,b'3',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,356.5399932861328,-1.0,-1.0,-9999.0,-9999,184.1590118408203,374.0,387.0,-9999.0,-9999.0,182,13,0,375.21,24.0,b't',b' ',,b'5',b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,356.70899391174316,-1.0,-1.0,-9999.0,-9999,249.18653869628906,374.0,387.0,-9999.0,-9999.0,195,13,0,376.21,17.0,b'e',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,356.8779945373535,-1.0,-1.0,-9999.0,-9999,331.77386474609375,374.0,387.0,-9999.0,-9999.0,208,13,0,377.21,10.0,b'r',b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,357.04699516296387,-1.0,-1.0,-9999.0,-9999,332.4136962890625,374.0,387.0,-9999.0,-9999.0,221,13,0,378.21,35.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,357.21699714660645,-1.0,-1.0,-9999.0,-9999,319.03509521484375,374.0,387.0,-9999.0,-9999.0,234,13,0,379.21,71.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,357.3859977722168,-1.0,-1.0,-9999.0,-9999,321.1595458984375,374.0,387.0,-9999.0,-9999.0,247,13,0,380.21,13.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,357.55499839782715,-1.0,-1.0,-9999.0,-9999,216.31130981445312,374.0,387.0,-9999.0,-9999.0,260,13,0,381.21,13.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,357.7239990234375,-1.0,-1.0,-9999.0,-9999,306.81634521484375,374.0,387.0,-9999.0,-9999.0,273,13,0,382.21,24.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,357.89299964904785,-1.0,-1.0,-9999.0,-9999,351.247314453125,374.0,387.0,-9999.0,-9999.0,286,13,0,383.21,19.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,358.0650043487549,-1.0,-1.0,-9999.0,-9999,296.0434875488281,374.0,387.0,-9999.0,-9999.0,299,13,0,384.21,42.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,358.23500633239746,-1.0,-1.0,-9999.0,-9999,284.2461242675781,374.0,387.0,-9999.0,-9999.0,312,13,0,385.21,13.0,,b' ',,,b' ',,b' ',,b' ',b' '
b' ',-9999.0,-9999,358.4040069580078,-1.0,-1.0,-9999.0,-9999,353.7930908203125,374.0,387.0,-9999.0,-9999.0,325,13,0,386.21,42.0,,b' ',,,b' ',,b' ',,b' ',b' '
